day,camera,replicate,treatment,t1_distance,t2_distance,t3_distance,t4_distance,t5_distance,t6_distance,t7_distance,t8_distance,t9_distance,t10_distance,t11_distance,t12_distance,t13_distance,t14_distance,t15_distance,t16_distance,t17_distance,t18_distance,total_distance,t1_time_spent_in_open,t2_time_spent_in_open,t3_time_spent_in_open,t4_time_spent_in_open,t5_time_spent_in_open,t6_time_spent_in_open,t7_time_spent_in_open,t8_time_spent_in_open,t9_time_spent_in_open,t10_time_spent_in_open,t11_time_spent_in_open,t12_time_spent_in_open,t13_time_spent_in_open,t14_time_spent_in_open,t15_time_spent_in_open,t16_time_spent_in_open,t17_time_spent_in_open,t18_time_spent_in_open,total_opentime,t1_distance_spent_in_open,t2_distance_spent_in_open,t3_distance_spent_in_open,t4_distance_spent_in_open,t5_distance_spent_in_open,t6_distance_spent_in_open,t7_distance_spent_in_open,t8_distance_spent_in_open,t9_distance_spent_in_open,t10_distance_spent_in_open,t11_distance_spent_in_open,t12_distance_spent_in_open,t13_distance_spent_in_open,t14_distance_spent_in_open,t15_distance_spent_in_open,t16_distance_spent_in_open,t17_distance_spent_in_open,t18_distance_spent_in_open,total_open_distance
day 1,cam 1,rep1,infected,112.86,163.94,143.06,80.98,86.38,81.8,60.64,71.21,67.93,90.95,99.31,78.97,95.76,106.44,100.56,96.95,NA,NA,1537.74,0,150.6354515,52.17391304,0,0,0,54.31438127,182.2073579,0,30.50167224,0,0,51.10367893,44.94983278,13.91304348,47.090301,NA,NA,626.8896321,0,46.33,20.97,0,0,0,8.99,17.41,0,5.73,0,0,20.45,15.91,5.36,16.39,NA,NA,157.54
day 1,cam 1,rep1,infected,189.85,147.78,165.93,173.29,110.43,126.26,126.08,75.24,94.13,85.36,142.15,118.79,93.83,110.82,62.49,45.91,NA,NA,1868.34,63.14381271,17.12374582,34.51505017,139.6655518,0,39.06354515,58.59531773,0,0,2.140468227,76.78929766,0,0,36.92307692,0,0,NA,NA,467.9598662,47.45,13.54,27.2,20.89,0,15.46,21.45,0,0,0.46,25.5,0,0,10.26,0,0,NA,NA,182.21
day 1,cam 1,rep1,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
day 1,cam 1,rep1,control,261.18,324.56,300.8,162.53,167.89,176.32,190.3,82.87,125.28,98.79,123.71,132.76,85.54,23.47,0,0,NA,NA,2256,17.12374582,51.90635452,108.361204,41.20401338,20.33444816,40.40133779,136.4548495,0,0,85.6187291,35.58528428,166.9565217,203.3444816,0,0,0,NA,NA,907.2909699,20.18,33.61,87.21,27.66,16.66,18.36,69.74,0,0,11.29,22.64,66.05,27.58,0,0,0,NA,NA,400.98
day 1,cam 2,rep2,infected,143.64,144.71,133.89,136.82,99.09,49.28,121.34,113.59,101.43,41.63,97.1,121.03,142.04,120.08,82.57,77.32,NA,NA,1725.56,0,42.80936455,12.04013378,134.0468227,0,0,85.88628763,76.78929766,50.8361204,0,0,42.00668896,0,2.675585284,0,0,NA,NA,447.090301,0,18.56,4.57,31.39,0,0,31.81,27.79,10.55,0,0,10.02,0,1.04,0,0,NA,NA,135.73
day 1,cam 2,rep2,infected,58.4,64.8,47.5,114.61,93.36,124.54,87.13,67.03,88.54,103.21,88.53,70.93,109.47,100.95,71.74,63,NA,NA,1353.74,0,2.140468227,0,0,9.364548495,23.01003344,0,0,0,25.4180602,0,0,0,0,37.45819398,0,NA,NA,97.39130435,0,7.57,0,0,5.7,11.22,0,0,0,11.68,0,0,0,0,5.12,0,NA,NA,41.29
day 1,cam 2,rep2,control,162.91,188.72,173.49,160.87,150.86,182.84,95.67,146.64,81.85,119.65,75.75,123.38,99.95,126.33,123.37,65.01,NA,NA,2077.29,6.421404682,36.12040134,43.61204013,8.829431438,36.12040134,16.85618729,0,6.688963211,0,42.54180602,0,147.1571906,0,0,72.77591973,0,NA,NA,417.1237458,5.41,30.83,17.99,7.35,17.22,9.08,0,4.88,0,19.27,0,37.25,0,0,27.27,0,NA,NA,176.55
day 1,cam 2,rep2,control,29.86,97.87,135.83,117.53,98.19,106.86,104.56,121.02,117.91,107.8,98.35,101.24,85.82,103.24,105.66,107.71,NA,NA,1639.45,0,0,39.06354515,0,0,5.08361204,0,80,71.17056856,72.5083612,127.8929766,2.675585284,0,0,0,0,NA,NA,398.3946488,0,0,17.55,0,0,3.47,0,30.61,28.78,15.68,34.17,1.42,0,0,0,0,NA,NA,131.68
day 1,cam 3,rep3,infected,124.68,170.7,165.14,108.47,71.46,68.55,78.5,62.89,98.15,86.47,79.16,105.34,95.16,24.18,0,0,NA,NA,1338.85,0,141.270903,39.06354515,54.84949833,0,0,0,0,0,1.605351171,0,81.07023411,0,0,0,0,NA,NA,317.8595318,0,37.82,11.16,14.24,0,0,0,0,0,0.52,0,26.48,0,0,0,0,NA,NA,90.22
day 1,cam 3,rep3,infected,235.8,125.41,124,74.74,89.05,86.82,88.05,62.75,41.71,42.71,51.65,60.98,62.27,54.02,0,0,NA,NA,1199.96,27.2909699,21.40468227,111.8394649,0,0,40.40133779,0,0,0,0,0,0,0,0,0,0,NA,NA,200.9364548,15.31,4.46,30.7,0,0,5.43,0,0,0,0,0,0,0,0,0,0,NA,NA,55.9
day 1,cam 3,rep3,control,126.75,106.84,155.88,122.72,55.57,67.47,16.86,0,0,0,0,0,89.48,79.23,23.55,78,NA,NA,922.35,0,0,12.84280936,18.46153846,0,0,0,0,0,0,0,0,0,0,0,83.7458194,NA,NA,115.0501672,0,0,8.79,9.6,0,0,0,0,0,0,0,0,0,0,0,12.1,NA,NA,30.49
day 1,cam 3,rep3,control,112.87,203.23,165.31,176.56,164.18,94.8,96.48,99.16,119.81,68.89,78.83,90.49,82.13,122.1,93.22,0,NA,NA,1768.06,15.51839465,45.2173913,17.65886288,117.7257525,41.47157191,0,0,4.548494983,59.39799331,0,15.25083612,0,0,66.62207358,158.9297659,0,NA,NA,542.3411371,9.62,13.15,6.9,57.35,16.15,0,0,2.43,18.33,0,9.11,0,0,22.79,34.14,0,NA,NA,189.97
day 1,cam 4,rep4,infected,162.03,100.35,57.72,70.89,142.19,51.34,24.14,0,0,0,0,0,0.08,0,0,0,NA,NA,608.74,9.899665552,4.013377926,0,0,46.82274247,0,0,0,0,0,0,0,0,0,0,0,NA,NA,60.73578595,8.71,2.87,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0,NA,NA,27.19
