day,camera,replicate,treatment,t1_distance,t2_distance,t3_distance,t4_distance,t5_distance,t6_distance,t7_distance,t8_distance,t9_distance,t10_distance,t11_distance,t12_distance,t13_distance,t14_distance,t15_distance,t16_distance,t17_distance,t18_distance,total_distance,t1_time_spent_in_open,t2_time_spent_in_open,t3_time_spent_in_open,t4_time_spent_in_open,t5_time_spent_in_open,t6_time_spent_in_open,t7_time_spent_in_open,t8_time_spent_in_open,t9_time_spent_in_open,t10_time_spent_in_open,t11_time_spent_in_open,t12_time_spent_in_open,t13_time_spent_in_open,t14_time_spent_in_open,t15_time_spent_in_open,t16_time_spent_in_open,t17_time_spent_in_open,t18_time_spent_in_open,total_opentime,t1_distance_spent_in_open,t2_distance_spent_in_open,t3_distance_spent_in_open,t4_distance_spent_in_open,t5_distance_spent_in_open,t6_distance_spent_in_open,t7_distance_spent_in_open,t8_distance_spent_in_open,t9_distance_spent_in_open,t10_distance_spent_in_open,t11_distance_spent_in_open,t12_distance_spent_in_open,t13_distance_spent_in_open,t14_distance_spent_in_open,t15_distance_spent_in_open,t16_distance_spent_in_open,t17_distance_spent_in_open,t18_distance_spent_in_open,total_open_distance
day 1,cam 1,rep1,infected,112.86,163.94,143.06,80.98,86.38,81.8,60.64,71.21,67.93,90.95,99.31,78.97,95.76,106.44,100.56,96.95,NA,NA,1537.74,0,150.6354515,52.17391304,0,0,0,54.31438127,182.2073579,0,30.50167224,0,0,51.10367893,44.94983278,13.91304348,47.090301,NA,NA,626.8896321,0,46.33,20.97,0,0,0,8.99,17.41,0,5.73,0,0,20.45,15.91,5.36,16.39,NA,NA,157.54
day 1,cam 1,rep1,infected,189.85,147.78,165.93,173.29,110.43,126.26,126.08,75.24,94.13,85.36,142.15,118.79,93.83,110.82,62.49,45.91,NA,NA,1868.34,63.14381271,17.12374582,34.51505017,139.6655518,0,39.06354515,58.59531773,0,0,2.140468227,76.78929766,0,0,36.92307692,0,0,NA,NA,467.9598662,47.45,13.54,27.2,20.89,0,15.46,21.45,0,0,0.46,25.5,0,0,10.26,0,0,NA,NA,182.21
day 1,cam 2,rep2,infected,143.64,144.71,133.89,136.82,99.09,49.28,121.34,113.59,101.43,41.63,97.1,121.03,142.04,120.08,82.57,77.32,NA,NA,1725.56,0,42.80936455,12.04013378,134.0468227,0,0,85.88628763,76.78929766,50.8361204,0,0,42.00668896,0,2.675585284,0,0,NA,NA,447.090301,0,18.56,4.57,31.39,0,0,31.81,27.79,10.55,0,0,10.02,0,1.04,0,0,NA,NA,135.73
day 1,cam 2,rep2,infected,58.4,64.8,47.5,114.61,93.36,124.54,87.13,67.03,88.54,103.21,88.53,70.93,109.47,100.95,71.74,63,NA,NA,1353.74,0,2.140468227,0,0,9.364548495,23.01003344,0,0,0,25.4180602,0,0,0,0,37.45819398,0,NA,NA,97.39130435,0,7.57,0,0,5.7,11.22,0,0,0,11.68,0,0,0,0,5.12,0,NA,NA,41.29
day 1,cam 3,rep3,infected,124.68,170.7,165.14,108.47,71.46,68.55,78.5,62.89,98.15,86.47,79.16,105.34,95.16,24.18,0,0,NA,NA,1338.85,0,141.270903,39.06354515,54.84949833,0,0,0,0,0,1.605351171,0,81.07023411,0,0,0,0,NA,NA,317.8595318,0,37.82,11.16,14.24,0,0,0,0,0,0.52,0,26.48,0,0,0,0,NA,NA,90.22
day 1,cam 3,rep3,infected,235.8,125.41,124,74.74,89.05,86.82,88.05,62.75,41.71,42.71,51.65,60.98,62.27,54.02,0,0,NA,NA,1199.96,27.2909699,21.40468227,111.8394649,0,0,40.40133779,0,0,0,0,0,0,0,0,0,0,NA,NA,200.9364548,15.31,4.46,30.7,0,0,5.43,0,0,0,0,0,0,0,0,0,0,NA,NA,55.9
day 1,cam 4,rep4,infected,162.03,100.35,57.72,70.89,142.19,51.34,24.14,0,0,0,0,0,0.08,0,0,0,NA,NA,608.74,9.899665552,4.013377926,0,0,46.82274247,0,0,0,0,0,0,0,0,0,0,0,NA,NA,60.73578595,8.71,2.87,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0,NA,NA,27.19
day 1,cam 4,rep4,infected,186.78,190.35,182.28,143.76,82.07,107.75,120.19,86.85,104.55,110.8,75.42,120.52,106.27,96.53,89.59,24.39,NA,NA,1828.1,53.77926421,22.47491639,89.63210702,41.47157191,0,11.50501672,55.91973244,0,0,83.47826087,0,51.10367893,0,0,0,0,NA,NA,409.3645485,11.75,16.79,20.25,25.45,0,4.2,19.6,0,0,17.79,0,20.88,0,0,0,0,NA,NA,136.71
day 2,cam 1,rep5,infected,309.25,243.57,255.65,182.9,149.74,128.57,73.93,113.22,10.37,0,0,0,14.57,0,0,0,0,0,1481.77,32.10702341,36.92307692,27.2909699,0,91.50501672,44.68227425,0,22.74247492,0,0,0,0,0,0,0,0,0,0,255.2508361,28.87,15.3,32.48,0,21.16,17.96,0,19.82,0,0,0,0,0,0,0,0,0,0,135.59
day 2,cam 1,rep5,infected,285.2,198.61,189.81,166.09,133.8,102.24,147.37,136.23,121.8,110.83,114.29,72.58,86.33,133.74,94.18,101.45,71.79,96.36,2362.7,7.224080268,20.06688963,9.364548495,0,36.92307692,62.60869565,0,26.75585284,0,52.97658863,39.59866221,0,0,71.70568562,193.1772575,0,0,149.2976589,669.6989967,18.74,19.42,5.44,0,23.24,15.22,0,10.4,0,23.51,20.86,0,0,33.08,31.18,0,0,25.6,226.69
day 2,cam 2,rep6,infected,195.91,177.48,232.11,112.68,222.65,36.26,136.1,163.97,132.69,58.48,57.01,121.97,50.19,118.16,34.79,33.44,46.36,22.09,1952.34,56.98996656,30.50167224,37.72575251,0.802675585,30.76923077,38.79598662,62.0735786,77.32441472,229.8327759,0,0,0,0,52.17391304,0,0,0,0,616.9899666,19.38,38.44,51.68,1.85,34.85,8.85,25.64,45.37,41.75,0,0,0,0,16.65,0,0,0,0,284.46
day 2,cam 2,rep6,infected,0,0,0,0,0,0,0,0,0,0,0,0,19.74,27.88,59.15,76.43,60.61,73.79,317.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.872909699,149.5652174,0,178.9966555,330.4347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,22.6,0,30.66,53.27
day 2,cam 3,rep7,infected,96.59,100.94,143.91,154.19,106.43,121.05,137.38,105.98,84.12,114.95,123.58,89.51,112.01,53.51,33.83,92.52,52.43,0,1722.93,3.47826087,29.96655518,17.12374582,1.337792642,7.491638796,0,22.20735786,0,0,0,0,0,0,0,0,0,0,0,81.60535117,4.4,22.79,14.57,1.67,4.79,0,12.43,0,0,0,0,0,0,0,0,0,0,0,60.65
