day,camera,replicate,treatment,t1_distance,t2_distance,t3_distance,t4_distance,t5_distance,t6_distance,t7_distance,t8_distance,t9_distance,t10_distance,t11_distance,t12_distance,t13_distance,t14_distance,t15_distance,t16_distance,t17_distance,t18_distance,total_distance,t1_time_spent_in_open,t2_time_spent_in_open,t3_time_spent_in_open,t4_time_spent_in_open,t5_time_spent_in_open,t6_time_spent_in_open,t7_time_spent_in_open,t8_time_spent_in_open,t9_time_spent_in_open,t10_time_spent_in_open,t11_time_spent_in_open,t12_time_spent_in_open,t13_time_spent_in_open,t14_time_spent_in_open,t15_time_spent_in_open,t16_time_spent_in_open,t17_time_spent_in_open,t18_time_spent_in_open,total_opentime,t1_distance_spent_in_open,t2_distance_spent_in_open,t3_distance_spent_in_open,t4_distance_spent_in_open,t5_distance_spent_in_open,t6_distance_spent_in_open,t7_distance_spent_in_open,t8_distance_spent_in_open,t9_distance_spent_in_open,t10_distance_spent_in_open,t11_distance_spent_in_open,t12_distance_spent_in_open,t13_distance_spent_in_open,t14_distance_spent_in_open,t15_distance_spent_in_open,t16_distance_spent_in_open,t17_distance_spent_in_open,t18_distance_spent_in_open,total_open_distance
day 1,cam 1,rep1,control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
day 1,cam 1,rep1,control,261.18,324.56,300.8,162.53,167.89,176.32,190.3,82.87,125.28,98.79,123.71,132.76,85.54,23.47,0,0,NA,NA,2256,17.12374582,51.90635452,108.361204,41.20401338,20.33444816,40.40133779,136.4548495,0,0,85.6187291,35.58528428,166.9565217,203.3444816,0,0,0,NA,NA,907.2909699,20.18,33.61,87.21,27.66,16.66,18.36,69.74,0,0,11.29,22.64,66.05,27.58,0,0,0,NA,NA,400.98
day 1,cam 2,rep2,control,162.91,188.72,173.49,160.87,150.86,182.84,95.67,146.64,81.85,119.65,75.75,123.38,99.95,126.33,123.37,65.01,NA,NA,2077.29,6.421404682,36.12040134,43.61204013,8.829431438,36.12040134,16.85618729,0,6.688963211,0,42.54180602,0,147.1571906,0,0,72.77591973,0,NA,NA,417.1237458,5.41,30.83,17.99,7.35,17.22,9.08,0,4.88,0,19.27,0,37.25,0,0,27.27,0,NA,NA,176.55
day 1,cam 2,rep2,control,29.86,97.87,135.83,117.53,98.19,106.86,104.56,121.02,117.91,107.8,98.35,101.24,85.82,103.24,105.66,107.71,NA,NA,1639.45,0,0,39.06354515,0,0,5.08361204,0,80,71.17056856,72.5083612,127.8929766,2.675585284,0,0,0,0,NA,NA,398.3946488,0,0,17.55,0,0,3.47,0,30.61,28.78,15.68,34.17,1.42,0,0,0,0,NA,NA,131.68
day 1,cam 3,rep3,control,126.75,106.84,155.88,122.72,55.57,67.47,16.86,0,0,0,0,0,89.48,79.23,23.55,78,NA,NA,922.35,0,0,12.84280936,18.46153846,0,0,0,0,0,0,0,0,0,0,0,83.7458194,NA,NA,115.0501672,0,0,8.79,9.6,0,0,0,0,0,0,0,0,0,0,0,12.1,NA,NA,30.49
day 1,cam 3,rep3,control,112.87,203.23,165.31,176.56,164.18,94.8,96.48,99.16,119.81,68.89,78.83,90.49,82.13,122.1,93.22,0,NA,NA,1768.06,15.51839465,45.2173913,17.65886288,117.7257525,41.47157191,0,0,4.548494983,59.39799331,0,15.25083612,0,0,66.62207358,158.9297659,0,NA,NA,542.3411371,9.62,13.15,6.9,57.35,16.15,0,0,2.43,18.33,0,9.11,0,0,22.79,34.14,0,NA,NA,189.97
day 1,cam 4,rep4,control,112.74,184.83,154.89,159.3,136.1,97.29,121.51,91.1,111.87,146.94,76.95,70.03,103.29,106,130.73,113.64,NA,NA,1917.21,8.294314381,46.82274247,24.34782609,42.27424749,0,41.20401338,142.6086957,0,135.1170569,326.4214047,98.72909699,0,74.64882943,30.23411371,142.0735786,73.57859532,NA,NA,1186.354515,10.64,8.5,9.95,16.23,0,9.44,36.09,0,43.6,80.82,22.8,0,17.79,10.17,41.81,21.82,NA,NA,329.66
day 1,cam 4,rep4,control,0,0,0,0,0,85.05,128.66,121.31,122.51,130.38,115.92,125.56,74.33,99.02,127.08,80.06,NA,NA,1209.88,0,0,0,0,0,119.3311037,0,0.802675585,45.2173913,33.71237458,27.82608696,5.618729097,65.01672241,6.956521739,22.47491639,0,NA,NA,326.9565217,0,0,0,0,0,30.9,0,0.17,13.79,13.35,15.67,2.79,14.47,1.89,7.21,0,NA,NA,100.24
day 2,cam 1,rep5,control,278.07,301.98,121.74,114.15,112.14,129.79,154.64,95.87,105.15,144.32,68.49,73.5,44.34,69.36,71.71,0,0,0,1885.25,7.224080268,17.65886288,0,0,25.68561873,82.40802676,138.5953177,49.49832776,58.86287625,21.6722408,0,0,0,0,43.07692308,0,0,0,444.6822742,12.82,27.3,0,0,24.43,20.92,34.42,11.83,16.06,12.46,0,0,0,0,11.14,0,0,0,171.38
day 2,cam 1,rep5,control,280.93,57.66,13.44,6.95,28.8,351.06,230.91,243.37,237.92,205.35,85.12,58.51,143.03,124.74,103.92,74.97,71.07,94.33,2412.08,5.886287625,0,0,0,8.56187291,34.24749164,45.48494983,82.94314381,47.090301,12.04013378,0,0,85.88628763,38.52842809,89.36454849,0,0,59.13043478,509.1638796,8.54,0,0,0,7.31,20.66,28.96,57.07,22.06,11.83,0,0,38.6,12.29,30.81,0,0,20.46,258.59
day 2,cam 2,rep6,control,205.18,88.63,88.78,115.59,99.48,55.4,54.05,55.8,89.05,78.32,67.47,55.78,126.73,82.82,76.03,72.19,48.23,36.91,1496.44,18.99665552,21.6722408,0,46.02006689,61.80602007,282.8093645,0,0,207.8929766,141.8060201,0,0,30.50167224,0,0,0,0,0,811.5050167,25.06,16.9,0,22.62,28.06,26.19,0,0,32.24,25.26,0,0,10.65,0,0,0,0,0,186.98
day 2,cam 2,rep6,control,0,388.37,165.32,188.98,230.75,77.99,111.52,103.71,122.55,122.59,79.27,93.48,126.61,79.35,116.07,82.65,73.22,70.14,2232.57,0,28.09364548,65.81939799,168.0267559,29.96655518,0,54.31438127,105.6856187,15.51839465,0.267558528,0,0,14.18060201,0,25.68561873,0,0,0,507.5585284,0,40.62,10.33,32.54,24.1,0,11.91,25.54,14.52,0.32,0,0,9.87,0,16.1,0,0,0,185.85
day 2,cam 3,rep7,control,106.91,106.64,63.41,177.17,238.63,154.32,208.57,124,95.36,92.73,157.3,119.97,104.71,64.81,98.59,59.79,36.14,0,2009.05,8.294314381,0,0,104.8829431,38.52842809,4.013377926,21.40468227,17.12374582,19.53177258,51.63879599,59.66555184,7.759197324,21.13712375,0,0,0,0,0,353.9799331,13.15,0,0,41.64,32.97,3.11,12.76,10.74,14.05,12.42,25.3,2.94,9.83,0,0,0,0,0,178.91
day 2,cam 3,rep7,control,79.21,231.99,172.71,107.22,62.96,64.92,41.31,20.16,88.8,60.18,62.64,66.39,108.95,81.45,103.26,88.77,107.36,89.05,1637.33,20.60200669,73.84615385,93.11036789,172.0401338,0,0,0,0,0,0,0,0,0,0,0,113.9799331,0,150.367893,623.9464883,19.67,61.02,27.26,29.7,0,0,0,0,0,0,0,0,0,0,0,18.78,0,21.13,177.56
day 2,cam 4,rep8,control,238.6,25.16,78.27,101.6,193.53,136.59,138.07,98.88,90.68,120.63,114.74,118.27,88.9,61.86,47.26,118.57,57.24,51.32,1880.17,10.16722408,0,157.8595318,0,58.59531773,9.364548495,0,0,0,28.36120401,54.84949833,48.42809365,274.5150502,599.8662207,579.264214,84.54849498,0,0,1905.819398,10.77,0,29.1,0,36,5.89,0,0,0,22.85,6.92,18.38,29.47,61.86,34.39,27.26,0,0,282.89
day 2,cam 4,rep8,control,120.58,33.77,91.22,100.38,108.22,75.28,75.83,59.68,63.31,63.01,91.86,65.99,92.52,67.59,41.78,56.16,109.04,97.94,1414.16,254.4481605,0,31.30434783,31.30434783,0,20.86956522,0,0,549.5652174,446.2876254,12.57525084,11.50501672,220.735786,0,0,0,81.8729097,27.55852843,1688.026756,51.67,0,10.65,17.07,0,9.06,0,0,58.37,47.33,2.48,5.39,31.49,0,0,0,30.97,11.46,275.94
