dia_post_exp,codigo_trat,tratamiento,estadio,nro_insectos,vivo,caido,muerto,responsable
0,CX1,BLANCO,cimex,18,18,0,0,18
0,CX2,BLANCO,cimex,20,20,0,0,20
0,CX6,BLANCO,cimex,20,20,0,0,20
0,CX7,BLANCO,cimex,20,20,0,0,20
0,CX8,BLANCO,cimex,20,20,0,0,20
0,CX9,BLANCO,cimex,19,19,0,0,19
0,CX10,BLANCO,cimex,20,20,0,0,20
0,CX13,BLANCO,cimex,20,20,0,0,20
0,CX1,INSECTICIDA,cimex,20,18,2,0,20
0,CX2,INSECTICIDA,cimex,20,20,0,0,20
0,CX6,INSECTICIDA,cimex,20,20,0,0,20
0,CX7,INSECTICIDA,cimex,20,11,8,1,20
0,CX8,INSECTICIDA,cimex,20,18,0,2,20
0,CX9,INSECTICIDA,cimex,20,18,1,1,20
0,CX10,INSECTICIDA,cimex,19,17,2,0,19
0,CX13,INSECTICIDA,cimex,20,18,2,0,20
1,CX1,BLANCO,cimex,18,18,0,0,18
1,CX2,BLANCO,cimex,20,20,0,0,20
1,CX6,BLANCO,cimex,20,20,0,0,20
1,CX7,BLANCO,cimex,20,20,0,0,20
1,CX8,BLANCO,cimex,20,20,0,0,20
1,CX9,BLANCO,cimex,19,19,0,0,19
1,CX10,BLANCO,cimex,20,20,0,0,20
1,CX13,BLANCO,cimex,20,20,0,0,20
1,CX1,INSECTICIDA,cimex,20,19,0,1,20
1,CX2,INSECTICIDA,cimex,20,20,0,0,20
1,CX6,INSECTICIDA,cimex,20,20,0,0,20
1,CX7,INSECTICIDA,cimex,20,11,6,3,20
1,CX8,INSECTICIDA,cimex,20,18,0,2,20
1,CX9,INSECTICIDA,cimex,20,18,0,2,20
1,CX10,INSECTICIDA,cimex,19,17,2,0,19
1,CX13,INSECTICIDA,cimex,20,18,2,0,20
2,CX1,BLANCO,cimex,18,18,0,0,18
2,CX2,BLANCO,cimex,20,20,0,0,20
2,CX6,BLANCO,cimex,20,20,0,0,20
2,CX7,BLANCO,cimex,20,20,0,0,20
2,CX8,BLANCO,cimex,20,20,0,0,20
2,CX9,BLANCO,cimex,19,19,0,0,19
2,CX10,BLANCO,cimex,20,20,0,0,20
2,CX13,BLANCO,cimex,20,20,0,0,20
2,CX1,INSECTICIDA,cimex,20,19,0,1,20
2,CX2,INSECTICIDA,cimex,20,20,0,0,20
2,CX6,INSECTICIDA,cimex,20,20,0,0,20
2,CX7,INSECTICIDA,cimex,20,11,6,3,20
2,CX8,INSECTICIDA,cimex,20,18,0,2,20
2,CX9,INSECTICIDA,cimex,20,17,0,3,20
2,CX10,INSECTICIDA,cimex,19,18,1,0,19
2,CX13,INSECTICIDA,cimex,20,18,1,1,20
3,CX1,BLANCO,cimex,18,17,0,1,18
3,CX2,BLANCO,cimex,20,19,0,1,20
3,CX6,BLANCO,cimex,20,20,0,0,20
3,CX7,BLANCO,cimex,20,20,0,0,20
3,CX8,BLANCO,cimex,20,20,0,0,20
3,CX9,BLANCO,cimex,19,19,0,0,19
3,CX10,BLANCO,cimex,20,19,0,1,20
3,CX13,BLANCO,cimex,20,20,0,0,20
3,CX1,INSECTICIDA,cimex,20,19,0,1,20
3,CX2,INSECTICIDA,cimex,20,20,0,0,20
3,CX6,INSECTICIDA,cimex,20,20,0,0,20
3,CX7,INSECTICIDA,cimex,20,11,5,4,20
3,CX8,INSECTICIDA,cimex,20,18,0,2,20
3,CX9,INSECTICIDA,cimex,20,17,0,3,20
3,CX10,INSECTICIDA,cimex,19,17,1,1,19
3,CX13,INSECTICIDA,cimex,20,19,0,1,20
4,CX1,BLANCO,cimex,18,17,0,1,18
4,CX2,BLANCO,cimex,20,19,0,1,20
4,CX6,BLANCO,cimex,20,20,0,0,20
4,CX7,BLANCO,cimex,20,20,0,0,20
4,CX8,BLANCO,cimex,20,20,0,0,20
4,CX9,BLANCO,cimex,19,19,0,0,19
4,CX10,BLANCO,cimex,20,19,0,1,20
4,CX13,BLANCO,cimex,20,20,0,0,20
4,CX1,INSECTICIDA,cimex,20,19,0,1,20
4,CX2,INSECTICIDA,cimex,20,20,0,0,20
4,CX6,INSECTICIDA,cimex,20,20,0,0,20
4,CX7,INSECTICIDA,cimex,20,11,5,4,20
4,CX8,INSECTICIDA,cimex,20,18,0,2,20
4,CX9,INSECTICIDA,cimex,20,17,0,3,20
4,CX10,INSECTICIDA,cimex,19,17,1,1,19
4,CX13,INSECTICIDA,cimex,20,19,0,1,20
5,CX1,BLANCO,cimex,18,17,0,1,18
5,CX2,BLANCO,cimex,20,19,0,1,20
5,CX6,BLANCO,cimex,20,20,0,0,20
5,CX7,BLANCO,cimex,20,19,0,1,20
5,CX8,BLANCO,cimex,20,20,0,0,20
5,CX9,BLANCO,cimex,19,19,0,0,19
5,CX10,BLANCO,cimex,20,19,0,1,20
5,CX13,BLANCO,cimex,20,19,0,1,20
5,CX1,INSECTICIDA,cimex,20,19,0,1,20
5,CX2,INSECTICIDA,cimex,20,20,0,0,20
5,CX6,INSECTICIDA,cimex,20,20,0,0,20
5,CX7,INSECTICIDA,cimex,20,8,7,5,20
5,CX8,INSECTICIDA,cimex,20,18,0,2,20
5,CX9,INSECTICIDA,cimex,20,17,0,3,20
5,CX10,INSECTICIDA,cimex,19,17,0,2,19
5,CX13,INSECTICIDA,cimex,20,17,2,1,20
6,CX1,BLANCO,cimex,18,16,0,2,18
6,CX2,BLANCO,cimex,20,19,0,1,20
6,CX6,BLANCO,cimex,20,20,0,0,20
6,CX7,BLANCO,cimex,20,19,0,1,20
6,CX8,BLANCO,cimex,20,19,0,1,20
6,CX9,BLANCO,cimex,19,19,0,0,19
6,CX10,BLANCO,cimex,20,19,0,1,20
6,CX13,BLANCO,cimex,20,19,0,1,20
6,CX1,INSECTICIDA,cimex,20,19,0,1,20
6,CX2,INSECTICIDA,cimex,20,19,1,0,20
6,CX6,INSECTICIDA,cimex,20,20,0,0,20
6,CX7,INSECTICIDA,cimex,20,8,7,5,20
6,CX8,INSECTICIDA,cimex,20,15,2,3,20
6,CX9,INSECTICIDA,cimex,20,16,1,3,20
6,CX10,INSECTICIDA,cimex,19,17,0,2,19
6,CX13,INSECTICIDA,cimex,20,17,2,1,20
7,CX1,BLANCO,cimex,18,16,0,2,18
7,CX2,BLANCO,cimex,20,19,0,1,20
7,CX6,BLANCO,cimex,20,20,0,0,20
7,CX7,BLANCO,cimex,20,19,0,1,20
7,CX8,BLANCO,cimex,20,19,0,1,20
7,CX9,BLANCO,cimex,19,18,0,1,19
7,CX10,BLANCO,cimex,20,19,0,1,20
7,CX13,BLANCO,cimex,20,19,0,1,20
7,CX1,INSECTICIDA,cimex,20,19,0,1,20
7,CX2,INSECTICIDA,cimex,20,19,1,0,20
7,CX6,INSECTICIDA,cimex,20,20,0,0,20
7,CX7,INSECTICIDA,cimex,20,8,7,5,20
7,CX8,INSECTICIDA,cimex,20,13,3,4,20
7,CX9,INSECTICIDA,cimex,20,16,1,3,20
7,CX10,INSECTICIDA,cimex,19,17,0,2,19
7,CX13,INSECTICIDA,cimex,20,16,3,1,20
8,CX1,BLANCO,cimex,18,16,0,2,18
8,CX2,BLANCO,cimex,20,19,0,1,20
8,CX6,BLANCO,cimex,20,20,0,0,20
8,CX7,BLANCO,cimex,20,19,0,1,20
8,CX8,BLANCO,cimex,20,18,0,2,20
8,CX9,BLANCO,cimex,19,16,0,3,19
8,CX10,BLANCO,cimex,20,19,0,1,20
8,CX13,BLANCO,cimex,20,19,0,1,20
8,CX1,INSECTICIDA,cimex,20,18,1,1,20
8,CX2,INSECTICIDA,cimex,20,19,1,0,20
8,CX6,INSECTICIDA,cimex,20,20,0,0,20
8,CX7,INSECTICIDA,cimex,20,6,6,8,20
8,CX8,INSECTICIDA,cimex,20,11,1,8,20
8,CX9,INSECTICIDA,cimex,20,13,3,4,20
8,CX10,INSECTICIDA,cimex,19,17,0,2,19
8,CX13,INSECTICIDA,cimex,20,16,0,4,20
9,CX1,BLANCO,cimex,18,16,0,2,18
9,CX2,BLANCO,cimex,20,17,0,3,20
9,CX6,BLANCO,cimex,20,20,0,0,20
9,CX7,BLANCO,cimex,20,17,0,3,20
9,CX8,BLANCO,cimex,20,16,0,4,20
9,CX9,BLANCO,cimex,19,14,0,5,19
9,CX10,BLANCO,cimex,20,17,0,3,20
9,CX13,BLANCO,cimex,20,19,0,1,20
9,CX1,INSECTICIDA,cimex,20,17,0,3,20
9,CX2,INSECTICIDA,cimex,20,18,1,1,20
9,CX6,INSECTICIDA,cimex,20,20,0,0,20
9,CX7,INSECTICIDA,cimex,20,5,6,9,20
9,CX8,INSECTICIDA,cimex,20,11,0,9,20
9,CX9,INSECTICIDA,cimex,20,11,2,7,20
9,CX10,INSECTICIDA,cimex,19,11,3,5,19
9,CX13,INSECTICIDA,cimex,20,8,8,4,20
10,CX1,BLANCO,cimex,18,16,0,2,18
10,CX2,BLANCO,cimex,20,17,0,3,20
10,CX6,BLANCO,cimex,20,20,0,0,20
10,CX7,BLANCO,cimex,20,17,0,3,20
10,CX8,BLANCO,cimex,20,16,0,4,20
10,CX9,BLANCO,cimex,19,14,0,5,19
10,CX10,BLANCO,cimex,20,17,0,3,20
10,CX13,BLANCO,cimex,20,19,0,1,20
10,CX1,INSECTICIDA,cimex,20,17,0,3,20
10,CX2,INSECTICIDA,cimex,20,18,1,1,20
10,CX6,INSECTICIDA,cimex,20,20,0,0,20
10,CX7,INSECTICIDA,cimex,20,5,4,11,20
10,CX8,INSECTICIDA,cimex,20,11,0,9,20
10,CX9,INSECTICIDA,cimex,20,11,2,7,20
10,CX10,INSECTICIDA,cimex,19,11,3,5,19
10,CX13,INSECTICIDA,cimex,20,9,7,4,20
11,CX1,BLANCO,cimex,18,16,0,2,18
11,CX2,BLANCO,cimex,20,17,0,3,20
11,CX6,BLANCO,cimex,20,20,0,0,20
11,CX7,BLANCO,cimex,20,17,0,3,20
11,CX8,BLANCO,cimex,20,16,0,4,20
11,CX9,BLANCO,cimex,19,14,0,5,19
11,CX10,BLANCO,cimex,20,17,0,3,20
11,CX13,BLANCO,cimex,20,18,0,2,20
11,CX1,INSECTICIDA,cimex,20,16,1,3,20
11,CX2,INSECTICIDA,cimex,20,17,2,1,20
