dia_post_exp,codigo_trat,tratamiento,estadio,nro_insectos,vivo,caido,muerto,responsable
0,CX1,BLANCO,cimex,20,20,0,0,
0,CX2,BLANCO,cimex,20,20,0,0,
0,CX6,BLANCO,cimex,20,20,0,0,
0,CX7,BLANCO,cimex,20,19,0,1,
0,CX8,BLANCO,cimex,20,19,0,1,
0,CX9,BLANCO,cimex,20,20,0,0,
0,CX10,BLANCO,cimex,20,20,0,0,
0,CX13,BLANCO,cimex,20,20,0,0,
0,CX1,INSECTICIDA,cimex,20,18,2,0,
0,CX2,INSECTICIDA,cimex,20,16,4,0,
0,CX6,INSECTICIDA,cimex,20,20,0,0,
0,CX7,INSECTICIDA,cimex,20,1,19,0,
0,CX8,INSECTICIDA,cimex,20,8,12,0,
0,CX9,INSECTICIDA,cimex,20,18,2,0,
0,CX10,INSECTICIDA,cimex,20,17,3,0,
0,CX13,INSECTICIDA,cimex,20,13,7,0,
1,CX1,BLANCO,cimex,20,20,0,0,
1,CX2,BLANCO,cimex,20,20,0,0,
1,CX6,BLANCO,cimex,20,20,0,0,
1,CX7,BLANCO,cimex,20,19,0,1,
1,CX8,BLANCO,cimex,20,19,0,1,
1,CX9,BLANCO,cimex,20,20,0,0,
1,CX10,BLANCO,cimex,20,20,0,0,
1,CX13,BLANCO,cimex,20,20,0,0,
1,CX1,INSECTICIDA,cimex,20,18,2,0,
1,CX2,INSECTICIDA,cimex,20,16,4,0,
1,CX6,INSECTICIDA,cimex,20,20,0,0,
1,CX7,INSECTICIDA,cimex,20,1,19,0,
1,CX8,INSECTICIDA,cimex,20,8,12,0,
1,CX9,INSECTICIDA,cimex,20,17,3,0,
1,CX10,INSECTICIDA,cimex,20,17,3,0,
1,CX13,INSECTICIDA,cimex,20,13,7,0,
2,CX1,BLANCO,cimex,20,19,0,1,
2,CX2,BLANCO,cimex,20,20,0,0,
2,CX6,BLANCO,cimex,20,20,0,0,
2,CX7,BLANCO,cimex,20,19,0,1,
2,CX8,BLANCO,cimex,20,19,0,1,
2,CX9,BLANCO,cimex,20,20,0,0,
2,CX10,BLANCO,cimex,20,20,0,0,
2,CX13,BLANCO,cimex,20,20,0,0,
2,CX1,INSECTICIDA,cimex,20,20,0,0,
2,CX2,INSECTICIDA,cimex,20,19,1,0,
2,CX6,INSECTICIDA,cimex,20,20,0,0,
2,CX7,INSECTICIDA,cimex,20,4,16,0,
2,CX8,INSECTICIDA,cimex,20,19,1,0,
2,CX9,INSECTICIDA,cimex,20,18,2,0,
2,CX10,INSECTICIDA,cimex,20,19,1,0,
2,CX13,INSECTICIDA,cimex,20,18,2,0,
3,CX1,BLANCO,cimex,20,19,0,1,
3,CX2,BLANCO,cimex,20,20,0,0,
3,CX6,BLANCO,cimex,20,20,0,0,
3,CX7,BLANCO,cimex,20,19,0,1,
3,CX8,BLANCO,cimex,20,19,0,1,
3,CX9,BLANCO,cimex,20,20,0,0,
3,CX10,BLANCO,cimex,20,20,0,0,
3,CX13,BLANCO,cimex,20,20,0,0,
3,CX1,INSECTICIDA,cimex,20,20,0,0,
3,CX2,INSECTICIDA,cimex,20,19,0,1,
3,CX6,INSECTICIDA,cimex,20,20,0,0,
3,CX7,INSECTICIDA,cimex,20,4,16,0,
3,CX8,INSECTICIDA,cimex,20,20,0,0,
3,CX9,INSECTICIDA,cimex,20,18,0,2,
3,CX10,INSECTICIDA,cimex,20,20,0,0,
3,CX13,INSECTICIDA,cimex,20,18,2,0,
4,CX1,BLANCO,cimex,20,19,0,1,
4,CX2,BLANCO,cimex,20,20,0,0,
4,CX6,BLANCO,cimex,20,19,0,1,
4,CX7,BLANCO,cimex,20,19,0,1,
4,CX8,BLANCO,cimex,20,18,0,2,
4,CX9,BLANCO,cimex,20,20,0,0,
4,CX10,BLANCO,cimex,20,20,0,0,
4,CX13,BLANCO,cimex,20,20,0,0,
4,CX1,INSECTICIDA,cimex,20,20,0,0,
4,CX2,INSECTICIDA,cimex,20,19,0,1,
4,CX6,INSECTICIDA,cimex,20,20,0,0,
4,CX7,INSECTICIDA,cimex,20,4,16,0,
4,CX8,INSECTICIDA,cimex,20,20,0,0,
4,CX9,INSECTICIDA,cimex,20,18,0,2,
4,CX10,INSECTICIDA,cimex,20,20,0,0,
4,CX13,INSECTICIDA,cimex,20,18,2,0,
5,CX1,BLANCO,cimex,20,19,0,1,
5,CX2,BLANCO,cimex,20,20,0,0,
5,CX6,BLANCO,cimex,20,19,0,1,
5,CX7,BLANCO,cimex,20,19,0,1,
5,CX8,BLANCO,cimex,20,18,0,2,
5,CX9,BLANCO,cimex,20,20,0,0,
5,CX10,BLANCO,cimex,20,20,0,0,
5,CX13,BLANCO,cimex,20,20,0,0,
5,CX1,INSECTICIDA,cimex,20,20,0,0,
5,CX2,INSECTICIDA,cimex,20,19,0,1,
5,CX6,INSECTICIDA,cimex,20,18,2,0,
5,CX7,INSECTICIDA,cimex,20,7,11,2,
5,CX8,INSECTICIDA,cimex,20,16,4,0,
5,CX9,INSECTICIDA,cimex,20,18,0,2,
5,CX10,INSECTICIDA,cimex,20,20,0,0,
5,CX13,INSECTICIDA,cimex,20,15,3,2,
6,CX1,BLANCO,cimex,20,19,0,1,
6,CX2,BLANCO,cimex,20,20,0,0,
6,CX6,BLANCO,cimex,20,19,0,1,
6,CX7,BLANCO,cimex,20,19,0,1,
6,CX8,BLANCO,cimex,20,18,0,2,
6,CX9,BLANCO,cimex,20,20,0,0,
6,CX10,BLANCO,cimex,20,20,0,0,
6,CX13,BLANCO,cimex,20,20,0,0,
6,CX1,INSECTICIDA,cimex,20,20,0,0,
6,CX2,INSECTICIDA,cimex,20,19,0,1,
6,CX6,INSECTICIDA,cimex,20,18,2,0,
6,CX7,INSECTICIDA,cimex,20,7,11,2,
6,CX8,INSECTICIDA,cimex,20,16,4,0,
6,CX9,INSECTICIDA,cimex,20,18,0,2,
6,CX10,INSECTICIDA,cimex,20,20,0,0,
6,CX13,INSECTICIDA,cimex,20,15,3,2,
7,CX1,BLANCO,cimex,20,19,0,1,
7,CX2,BLANCO,cimex,20,20,0,0,
7,CX6,BLANCO,cimex,20,19,0,1,
7,CX7,BLANCO,cimex,20,19,0,1,
7,CX8,BLANCO,cimex,20,18,0,2,
7,CX9,BLANCO,cimex,20,19,0,1,
7,CX10,BLANCO,cimex,20,20,0,0,
7,CX13,BLANCO,cimex,20,20,0,0,
7,CX1,INSECTICIDA,cimex,20,15,5,0,
7,CX2,INSECTICIDA,cimex,20,19,0,1,
7,CX6,INSECTICIDA,cimex,20,19,1,0,
7,CX7,INSECTICIDA,cimex,20,4,13,3,
7,CX8,INSECTICIDA,cimex,20,15,4,1,
7,CX9,INSECTICIDA,cimex,20,17,1,2,
7,CX10,INSECTICIDA,cimex,20,17,3,0,
7,CX13,INSECTICIDA,cimex,20,9,8,3,
8,CX1,BLANCO,cimex,20,17,0,3,
8,CX2,BLANCO,cimex,20,19,0,1,
8,CX6,BLANCO,cimex,20,19,0,1,
8,CX7,BLANCO,cimex,20,19,0,1,
8,CX8,BLANCO,cimex,20,18,0,2,
8,CX9,BLANCO,cimex,20,19,0,1,
8,CX10,BLANCO,cimex,20,20,0,0,
8,CX13,BLANCO,cimex,20,20,0,0,
8,CX1,INSECTICIDA,cimex,20,13,2,5,
8,CX2,INSECTICIDA,cimex,20,19,0,1,
8,CX6,INSECTICIDA,cimex,20,18,2,0,
8,CX7,INSECTICIDA,cimex,20,1,11,8,
8,CX8,INSECTICIDA,cimex,20,11,7,2,
8,CX9,INSECTICIDA,cimex,20,13,4,3,
8,CX10,INSECTICIDA,cimex,20,18,2,0,
8,CX13,INSECTICIDA,cimex,20,7,8,5,
9,CX1,BLANCO,cimex,20,17,0,3,
9,CX2,BLANCO,cimex,20,19,0,1,
9,CX6,BLANCO,cimex,20,19,0,1,
9,CX7,BLANCO,cimex,20,19,0,1,
9,CX8,BLANCO,cimex,20,18,0,2,
9,CX9,BLANCO,cimex,20,19,0,1,
9,CX10,BLANCO,cimex,20,20,0,0,
9,CX13,BLANCO,cimex,20,20,0,0,
9,CX1,INSECTICIDA,cimex,20,12,3,5,
9,CX2,INSECTICIDA,cimex,20,17,2,1,
9,CX6,INSECTICIDA,cimex,20,17,0,3,
9,CX7,INSECTICIDA,cimex,20,1,5,14,
9,CX8,INSECTICIDA,cimex,20,11,5,4,
9,CX9,INSECTICIDA,cimex,20,13,3,4,
9,CX10,INSECTICIDA,cimex,20,16,2,2,
9,CX13,INSECTICIDA,cimex,20,7,6,7,
10,CX1,BLANCO,cimex,20,17,0,3,
10,CX2,BLANCO,cimex,20,19,0,1,
10,CX6,BLANCO,cimex,20,19,0,1,
10,CX7,BLANCO,cimex,20,19,0,1,
10,CX8,BLANCO,cimex,20,18,0,2,
10,CX9,BLANCO,cimex,20,19,0,1,
10,CX10,BLANCO,cimex,20,20,0,0,
10,CX13,BLANCO,cimex,20,20,0,0,
10,CX1,INSECTICIDA,cimex,20,12,1,7,
10,CX2,INSECTICIDA,cimex,20,16,1,3,
10,CX6,INSECTICIDA,cimex,20,16,1,3,
10,CX7,INSECTICIDA,cimex,20,0,4,16,
10,CX8,INSECTICIDA,cimex,20,9,5,6,
10,CX9,INSECTICIDA,cimex,20,13,2,5,
10,CX10,INSECTICIDA,cimex,20,17,1,2,
10,CX13,INSECTICIDA,cimex,20,6,3,11,
11,CX1,BLANCO,cimex,20,17,0,3,
11,CX2,BLANCO,cimex,20,19,0,1,
11,CX6,BLANCO,cimex,20,19,0,1,
11,CX7,BLANCO,cimex,20,19,0,1,
11,CX8,BLANCO,cimex,20,18,0,2,
11,CX9,BLANCO,cimex,20,19,0,1,
11,CX10,BLANCO,cimex,20,20,0,0,
11,CX13,BLANCO,cimex,20,20,0,0,
11,CX1,INSECTICIDA,cimex,20,12,0,8,
11,CX2,INSECTICIDA,cimex,20,16,1,3,
11,CX6,INSECTICIDA,cimex,20,16,0,4,
11,CX7,INSECTICIDA,cimex,20,0,1,19,
11,CX8,INSECTICIDA,cimex,20,9,3,8,
11,CX9,INSECTICIDA,cimex,20,13,1,6,
11,CX10,INSECTICIDA,cimex,20,17,1,2,
11,CX13,INSECTICIDA,cimex,20,6,3,11,
12,CX1,BLANCO,cimex,20,17,0,3,
12,CX2,BLANCO,cimex,20,19,0,1,
12,CX6,BLANCO,cimex,20,19,0,1,
12,CX7,BLANCO,cimex,20,19,0,1,
12,CX8,BLANCO,cimex,20,18,0,2,
12,CX9,BLANCO,cimex,20,19,0,1,
12,CX10,BLANCO,cimex,20,20,0,0,
12,CX13,BLANCO,cimex,20,20,0,0,
12,CX1,INSECTICIDA,cimex,20,12,0,8,
12,CX2,INSECTICIDA,cimex,20,16,1,3,
12,CX6,INSECTICIDA,cimex,20,16,0,4,
12,CX7,INSECTICIDA,cimex,20,0,1,19,
12,CX8,INSECTICIDA,cimex,20,9,1,10,
12,CX9,INSECTICIDA,cimex,20,13,0,7,
12,CX10,INSECTICIDA,cimex,20,17,0,3,
12,CX13,INSECTICIDA,cimex,20,6,1,13,
13,CX1,BLANCO,cimex,20,17,0,3,
13,CX2,BLANCO,cimex,20,19,0,1,
13,CX6,BLANCO,cimex,20,19,0,1,
13,CX7,BLANCO,cimex,20,19,0,1,
13,CX8,BLANCO,cimex,20,18,0,2,
13,CX9,BLANCO,cimex,20,19,0,1,
13,CX10,BLANCO,cimex,20,20,0,0,
13,CX13,BLANCO,cimex,20,20,0,0,
13,CX1,INSECTICIDA,cimex,20,10,2,8,
13,CX2,INSECTICIDA,cimex,20,15,2,3,
13,CX6,INSECTICIDA,cimex,20,14,2,4,
13,CX7,INSECTICIDA,cimex,20,0,1,19,
13,CX8,INSECTICIDA,cimex,20,6,3,11,
13,CX9,INSECTICIDA,cimex,20,11,2,7,
13,CX10,INSECTICIDA,cimex,20,17,0,3,
13,CX13,INSECTICIDA,cimex,20,2,4,14,
14,CX1,BLANCO,cimex,20,17,0,3,
14,CX2,BLANCO,cimex,20,19,0,1,
14,CX6,BLANCO,cimex,20,19,0,1,
14,CX7,BLANCO,cimex,20,19,0,1,
14,CX8,BLANCO,cimex,20,18,0,2,
14,CX9,BLANCO,cimex,20,19,0,1,
14,CX10,BLANCO,cimex,20,20,0,0,
14,CX13,BLANCO,cimex,20,20,0,0,
14,CX1,INSECTICIDA,cimex,20,7,2,11,
14,CX2,INSECTICIDA,cimex,20,14,2,4,
14,CX6,INSECTICIDA,cimex,20,14,0,6,
14,CX7,INSECTICIDA,cimex,20,0,0,20,
14,CX8,INSECTICIDA,cimex,20,5,1,14,
14,CX9,INSECTICIDA,cimex,20,9,0,11,
14,CX10,INSECTICIDA,cimex,20,17,0,3,
14,CX13,INSECTICIDA,cimex,20,0,3,17,
15,CX1,BLANCO,cimex,20,17,0,3,
15,CX2,BLANCO,cimex,20,19,0,1,
15,CX6,BLANCO,cimex,20,19,0,1,
15,CX7,BLANCO,cimex,20,18,0,2,
15,CX8,BLANCO,cimex,20,18,0,2,
15,CX9,BLANCO,cimex,20,19,0,1,
15,CX10,BLANCO,cimex,20,20,0,0,
15,CX13,BLANCO,cimex,20,20,0,0,
15,CX1,INSECTICIDA,cimex,20,7,1,12,
15,CX2,INSECTICIDA,cimex,20,13,2,5,
15,CX6,INSECTICIDA,cimex,20,14,0,6,
15,CX7,INSECTICIDA,cimex,20,0,0,20,
15,CX8,INSECTICIDA,cimex,20,3,1,16,
15,CX9,INSECTICIDA,cimex,20,8,1,11,
15,CX10,INSECTICIDA,cimex,20,17,0,3,
15,CX13,INSECTICIDA,cimex,20,0,0,20,
16,CX1,BLANCO,cimex,20,17,0,3,
16,CX2,BLANCO,cimex,20,19,0,1,
16,CX6,BLANCO,cimex,20,18,0,2,
16,CX7,BLANCO,cimex,20,18,0,2,
16,CX8,BLANCO,cimex,20,18,0,2,
16,CX9,BLANCO,cimex,20,19,0,1,
16,CX10,BLANCO,cimex,20,20,0,0,
16,CX13,BLANCO,cimex,20,20,0,0,
16,CX1,INSECTICIDA,cimex,20,7,0,13,
16,CX2,INSECTICIDA,cimex,20,11,4,5,
16,CX6,INSECTICIDA,cimex,20,13,1,6,
16,CX7,INSECTICIDA,cimex,20,0,0,20,
16,CX8,INSECTICIDA,cimex,20,1,3,16,
16,CX9,INSECTICIDA,cimex,20,7,2,11,
16,CX10,INSECTICIDA,cimex,20,14,2,4,
16,CX13,INSECTICIDA,cimex,20,0,0,20,
17,CX1,BLANCO,cimex,20,16,0,4,
17,CX2,BLANCO,cimex,20,19,0,1,
17,CX6,BLANCO,cimex,20,18,0,2,
17,CX7,BLANCO,cimex,20,17,0,3,
17,CX8,BLANCO,cimex,20,18,0,2,
17,CX9,BLANCO,cimex,20,19,0,1,
17,CX10,BLANCO,cimex,20,20,0,0,
17,CX13,BLANCO,cimex,20,20,0,0,
17,CX1,INSECTICIDA,cimex,20,6,1,13,
17,CX2,INSECTICIDA,cimex,20,11,3,6,
17,CX6,INSECTICIDA,cimex,20,12,2,6,
17,CX7,INSECTICIDA,cimex,20,0,0,20,
17,CX8,INSECTICIDA,cimex,20,1,0,19,
17,CX9,INSECTICIDA,cimex,20,6,2,12,
17,CX10,INSECTICIDA,cimex,20,14,1,5,
17,CX13,INSECTICIDA,cimex,20,0,0,20,
18,CX1,BLANCO,cimex,20,15,0,5,
18,CX2,BLANCO,cimex,20,19,0,1,
18,CX6,BLANCO,cimex,20,18,0,2,
18,CX7,BLANCO,cimex,20,17,0,3,
18,CX8,BLANCO,cimex,20,18,0,2,
18,CX9,BLANCO,cimex,20,19,0,1,
18,CX10,BLANCO,cimex,20,20,0,0,
18,CX13,BLANCO,cimex,20,20,0,0,
18,CX1,INSECTICIDA,cimex,20,6,1,13,
18,CX2,INSECTICIDA,cimex,20,11,0,9,
18,CX6,INSECTICIDA,cimex,20,12,0,8,
18,CX7,INSECTICIDA,cimex,20,0,0,20,
18,CX8,INSECTICIDA,cimex,20,1,0,19,
18,CX9,INSECTICIDA,cimex,20,4,2,14,
18,CX10,INSECTICIDA,cimex,20,14,0,6,
18,CX13,INSECTICIDA,cimex,20,0,0,20,
19,CX1,BLANCO,cimex,20,15,0,5,
19,CX2,BLANCO,cimex,20,19,0,1,
19,CX6,BLANCO,cimex,20,17,0,3,
19,CX7,BLANCO,cimex,20,17,0,3,
19,CX8,BLANCO,cimex,20,17,0,3,
19,CX9,BLANCO,cimex,20,19,0,1,
19,CX10,BLANCO,cimex,20,20,0,0,
19,CX13,BLANCO,cimex,20,20,0,0,
19,CX1,INSECTICIDA,cimex,20,5,2,13,
19,CX2,INSECTICIDA,cimex,20,9,1,10,
19,CX6,INSECTICIDA,cimex,20,11,1,8,
19,CX7,INSECTICIDA,cimex,20,0,0,20,
19,CX8,INSECTICIDA,cimex,20,0,1,19,
19,CX9,INSECTICIDA,cimex,20,3,1,16,
19,CX10,INSECTICIDA,cimex,20,13,1,6,
19,CX13,INSECTICIDA,cimex,20,0,0,20,
20,CX1,BLANCO,cimex,20,15,0,5,
20,CX2,BLANCO,cimex,20,19,0,1,
20,CX6,BLANCO,cimex,20,16,0,4,
20,CX7,BLANCO,cimex,20,17,0,3,
20,CX8,BLANCO,cimex,20,17,0,3,
20,CX9,BLANCO,cimex,20,19,0,1,
20,CX10,BLANCO,cimex,20,20,0,0,
20,CX13,BLANCO,cimex,20,20,0,0,
20,CX1,INSECTICIDA,cimex,20,5,1,14,
20,CX2,INSECTICIDA,cimex,20,9,0,11,
20,CX6,INSECTICIDA,cimex,20,10,2,8,
20,CX7,INSECTICIDA,cimex,20,0,0,20,
