dia_post_exp,codigo_trat,tratamiento,estadio,nro_insectos,vivo,caido,muerto,responsable
0,CX15,BLANCO,cimex,20,20,0,0,
0,CX16,BLANCO,cimex,20,20,0,0,
0,CX17,BLANCO,cimex,20,19,0,1,
0,CX18,BLANCO,cimex,20,20,0,0,
0,CX19,BLANCO,cimex,20,20,0,0,
0,CX20,BLANCO,cimex,20,19,0,1,
0,CX21,BLANCO,cimex,20,19,0,1,
0,CX22,BLANCO,cimex,20,20,0,0,
0,CX23,BLANCO,cimex,20,20,0,0,
0,CX24,BLANCO,cimex,20,20,0,0,
0,CX15,INSECTICIDA,cimex,20,0,20,0,
0,CX16,INSECTICIDA,cimex,20,4,16,0,
0,CX17,INSECTICIDA,cimex,20,6,13,1,
0,CX18,INSECTICIDA,cimex,20,19,1,0,
0,CX19,INSECTICIDA,cimex,20,18,2,0,
0,CX20,INSECTICIDA,cimex,20,17,3,0,
0,CX21,INSECTICIDA,cimex,20,20,0,0,
0,CX22,INSECTICIDA,cimex,20,20,0,0,
0,CX23,INSECTICIDA,cimex,20,17,3,0,
0,CX24,INSECTICIDA,cimex,20,2,18,0,
1,CX15,BLANCO,cimex,20,20,0,0,
1,CX16,BLANCO,cimex,20,20,0,0,
1,CX17,BLANCO,cimex,20,19,0,1,
1,CX18,BLANCO,cimex,20,20,0,0,
1,CX19,BLANCO,cimex,20,20,0,0,
1,CX20,BLANCO,cimex,20,19,0,1,
1,CX21,BLANCO,cimex,20,19,0,1,
1,CX22,BLANCO,cimex,20,19,0,1,
1,CX23,BLANCO,cimex,20,20,0,0,
1,CX24,BLANCO,cimex,20,20,0,0,
1,CX15,INSECTICIDA,cimex,20,0,10,10,
1,CX16,INSECTICIDA,cimex,20,13,5,2,
1,CX17,INSECTICIDA,cimex,20,17,2,1,
1,CX18,INSECTICIDA,cimex,20,20,0,0,
1,CX19,INSECTICIDA,cimex,20,18,2,0,
1,CX20,INSECTICIDA,cimex,20,15,4,1,
1,CX21,INSECTICIDA,cimex,20,20,0,0,
1,CX22,INSECTICIDA,cimex,20,16,4,0,
1,CX23,INSECTICIDA,cimex,20,20,0,0,
1,CX24,INSECTICIDA,cimex,20,15,5,0,
2,CX15,BLANCO,cimex,20,20,0,0,
2,CX16,BLANCO,cimex,20,20,0,0,
2,CX17,BLANCO,cimex,20,19,0,1,
2,CX18,BLANCO,cimex,20,20,0,0,
2,CX19,BLANCO,cimex,20,20,0,0,
2,CX20,BLANCO,cimex,20,19,0,1,
2,CX21,BLANCO,cimex,20,19,0,1,
2,CX22,BLANCO,cimex,20,19,0,1,
2,CX23,BLANCO,cimex,20,20,0,0,
2,CX24,BLANCO,cimex,20,20,0,0,
2,CX15,INSECTICIDA,cimex,20,0,3,17,
2,CX16,INSECTICIDA,cimex,20,11,7,2,
2,CX17,INSECTICIDA,cimex,20,17,1,2,
2,CX18,INSECTICIDA,cimex,20,20,0,0,
2,CX19,INSECTICIDA,cimex,20,18,2,0,
2,CX20,INSECTICIDA,cimex,20,16,3,1,
2,CX21,INSECTICIDA,cimex,20,20,0,0,
2,CX22,INSECTICIDA,cimex,20,19,0,1,
2,CX23,INSECTICIDA,cimex,20,19,1,0,
2,CX24,INSECTICIDA,cimex,20,15,5,0,
3,CX15,BLANCO,cimex,20,20,0,0,
3,CX16,BLANCO,cimex,20,20,0,0,
3,CX17,BLANCO,cimex,20,19,0,1,
3,CX18,BLANCO,cimex,20,20,0,0,
3,CX19,BLANCO,cimex,20,20,0,0,
3,CX20,BLANCO,cimex,20,19,0,1,
3,CX21,BLANCO,cimex,20,19,0,1,
3,CX22,BLANCO,cimex,20,19,0,1,
3,CX23,BLANCO,cimex,20,20,0,0,
3,CX24,BLANCO,cimex,20,20,0,0,
3,CX15,INSECTICIDA,cimex,20,0,0,20,
3,CX16,INSECTICIDA,cimex,20,12,6,2,
3,CX17,INSECTICIDA,cimex,20,17,1,2,
3,CX18,INSECTICIDA,cimex,20,20,0,0,
3,CX19,INSECTICIDA,cimex,20,17,1,2,
3,CX20,INSECTICIDA,cimex,20,14,5,1,
3,CX21,INSECTICIDA,cimex,20,20,0,0,
3,CX22,INSECTICIDA,cimex,20,19,0,1,
3,CX23,INSECTICIDA,cimex,20,19,1,0,
3,CX24,INSECTICIDA,cimex,20,15,5,0,
4,CX15,BLANCO,cimex,20,20,0,0,
4,CX16,BLANCO,cimex,20,20,0,0,
4,CX17,BLANCO,cimex,20,19,0,1,
4,CX18,BLANCO,cimex,20,20,0,0,
4,CX19,BLANCO,cimex,20,20,0,0,
4,CX20,BLANCO,cimex,20,19,0,1,
4,CX21,BLANCO,cimex,20,19,0,1,
4,CX22,BLANCO,cimex,20,19,0,1,
4,CX23,BLANCO,cimex,20,20,0,0,
4,CX24,BLANCO,cimex,20,20,0,0,
4,CX15,INSECTICIDA,cimex,20,0,0,20,
4,CX16,INSECTICIDA,cimex,20,12,6,2,
4,CX17,INSECTICIDA,cimex,20,16,1,3,
4,CX18,INSECTICIDA,cimex,20,20,0,0,
4,CX19,INSECTICIDA,cimex,20,17,0,3,
4,CX20,INSECTICIDA,cimex,20,14,4,2,
4,CX21,INSECTICIDA,cimex,20,19,1,0,
4,CX22,INSECTICIDA,cimex,20,18,1,1,
4,CX23,INSECTICIDA,cimex,20,19,1,0,
4,CX24,INSECTICIDA,cimex,20,14,6,0,
5,CX15,BLANCO,cimex,20,20,0,0,
5,CX16,BLANCO,cimex,20,20,0,0,
5,CX17,BLANCO,cimex,20,19,0,1,
5,CX18,BLANCO,cimex,20,20,0,0,
5,CX19,BLANCO,cimex,20,20,0,0,
5,CX20,BLANCO,cimex,20,19,0,1,
5,CX21,BLANCO,cimex,20,19,0,1,
5,CX22,BLANCO,cimex,20,19,0,1,
5,CX23,BLANCO,cimex,20,20,0,0,
5,CX24,BLANCO,cimex,20,19,0,1,
5,CX15,INSECTICIDA,cimex,20,0,0,20,
5,CX16,INSECTICIDA,cimex,20,9,8,3,
5,CX17,INSECTICIDA,cimex,20,16,1,3,
5,CX18,INSECTICIDA,cimex,20,20,0,0,
5,CX19,INSECTICIDA,cimex,20,17,0,3,
5,CX20,INSECTICIDA,cimex,20,14,4,2,
5,CX21,INSECTICIDA,cimex,20,19,1,0,
5,CX22,INSECTICIDA,cimex,20,18,1,1,
5,CX23,INSECTICIDA,cimex,20,18,2,0,
5,CX24,INSECTICIDA,cimex,20,14,6,0,
6,CX15,BLANCO,cimex,20,20,0,0,
6,CX16,BLANCO,cimex,20,20,0,0,
6,CX17,BLANCO,cimex,20,19,0,1,
6,CX18,BLANCO,cimex,20,20,0,0,
6,CX19,BLANCO,cimex,20,20,0,0,
6,CX20,BLANCO,cimex,20,18,0,2,
6,CX21,BLANCO,cimex,20,19,0,1,
6,CX22,BLANCO,cimex,20,19,0,1,
6,CX23,BLANCO,cimex,20,20,0,0,
6,CX24,BLANCO,cimex,20,19,0,1,
6,CX15,INSECTICIDA,cimex,20,0,0,20,
6,CX16,INSECTICIDA,cimex,20,6,10,4,
6,CX17,INSECTICIDA,cimex,20,15,2,3,
6,CX18,INSECTICIDA,cimex,20,20,0,0,
6,CX19,INSECTICIDA,cimex,20,17,0,3,
6,CX20,INSECTICIDA,cimex,20,14,4,2,
