tratamiento,colonia,nro pareja,2da_exposicion,fecha_inicio,sexo,ref,w1,w2,w3,w4,w5,w6,w7,w8
control,CX1,P-1,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-2,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-3,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-4,SI,10/11/2017,hembra,M-trat,1,1,1,1,0,0,0,0
control,CX1,P-5,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-6,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-7,SI,10/11/2017,hembra,M-trat,1,1,1,1,0,0,0,0
control,CX1,P-8,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-9,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-10,SI,10/11/2017,hembra,M-trat,1,1,1,1,0,0,0,0
control,CX1,P-11,SI,10/11/2017,hembra,M-trat,1,1,1,1,0,0,0,0
control,CX1,P-12,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-13,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-14,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,0,0,0
control,CX1,P-15,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-16,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,0,0,0
control,CX1,P-17,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-18,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-19,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX1,P-20,SI,10/11/2017,hembra,M-trat,1,1,1,1,0,0,0,0
control,CX2,P-1,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-2,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-3,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-4,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-5,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-6,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-7,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-8,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-9,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-10,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-11,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-12,SI,10/11/2017,hembra,M-trat,1,1,1,1,0,0,0,0
control,CX2,P-13,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-14,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,0,0
control,CX2,P-15,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-16,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-17,SI,13/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX2,P-18,NO,17/11/2017,hembra,M-COLONIA,1,1,1,1,1,1,1,1
control,CX2,P-19,NO,17/11/2017,hembra,M-COLONIA,1,1,1,1,1,1,1,1
control,CX2,P-20,SI,17/11/2017,hembra,M-COLONIA,1,1,1,1,1,1,1,1
control,CX6,P-1,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-2,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-3,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-4,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-5,SI,10/11/2017,hembra,M-trat,1,1,1,1,0,0,0,0
control,CX6,P-6,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,0,0,0
control,CX6,P-7,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-8,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-9,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,0,0
control,CX6,P-10,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-11,NO,10/11/2017,hembra,M-trat,1,1,1,0,0,0,0,0
control,CX6,P-12,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-13,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-14,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-15,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-16,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
control,CX6,P-17,NO,10/11/2017,hembra,M-trat,1,1,1,1,1,0,0,0
control,CX6,P-18,SI,10/11/2017,hembra,M-trat,1,1,1,1,1,1,1,1
