dia_post_exp,codigo_trat,tratamiento,estadio,nro_insectos,vivo,caido,muerto,responsable
-3,CX1,blanco,cimex,20,20,0,0,
-3,CX2,blanco,cimex,10,10,0,0,
-3,CX3,blanco,cimex,10,10,0,0,
-3,CX4,blanco,cimex,10,10,0,0,
-3,CX5,blanco,cimex,10,10,0,0,
-3,CX6,blanco,cimex,10,10,0,0,
-3,CX7,blanco,cimex,10,10,0,0,
-3,CX8,blanco,cimex,10,10,0,0,
-3,CX9,blanco,cimex,20,20,0,0,
-3,CX10,blanco,cimex,20,20,0,0,
-3,CX11,blanco,cimex,20,20,0,0,
-3,CX12,blanco,cimex,10,10,0,0,
-3,CX13,blanco,cimex,19,19,0,0,
-3,CX14,blanco,cimex,20,20,0,0,
-3,CX1,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX2,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX3,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX4,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX5,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX6,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX7,deltametrina  SC 5%,cimex,19,19,0,0,
-3,CX8,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX9,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX10,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX11,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX12,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX13,deltametrina  SC 5%,cimex,20,20,0,0,
-3,CX14,deltametrina  SC 5%,cimex,20,20,0,0,
-2,CX1,blanco,cimex,20,20,0,0,
-2,CX2,blanco,cimex,10,10,0,0,
-2,CX3,blanco,cimex,10,10,0,0,
-2,CX4,blanco,cimex,10,10,0,0,
-2,CX5,blanco,cimex,10,10,0,0,
-2,CX6,blanco,cimex,10,10,0,0,
-2,CX7,blanco,cimex,10,10,0,0,
-2,CX8,blanco,cimex,10,10,0,0,
-2,CX9,blanco,cimex,20,20,0,0,
-2,CX10,blanco,cimex,20,20,0,0,
-2,CX11,blanco,cimex,20,20,0,0,
-2,CX12,blanco,cimex,10,10,0,0,
-2,CX13,blanco,cimex,19,19,0,0,
-2,CX14,blanco,cimex,20,20,0,0,
-2,CX1,deltametrina  SC 5%,cimex,20,10,10,0,
-2,CX2,deltametrina  SC 5%,cimex,20,13,7,0,
-2,CX3,deltametrina  SC 5%,cimex,20,11,9,0,
-2,CX4,deltametrina  SC 5%,cimex,20,16,4,0,
-2,CX5,deltametrina  SC 5%,cimex,20,14,6,0,
-2,CX6,deltametrina  SC 5%,cimex,20,18,2,0,
-2,CX7,deltametrina  SC 5%,cimex,19,17,2,0,
-2,CX8,deltametrina  SC 5%,cimex,20,17,3,0,
-2,CX9,deltametrina  SC 5%,cimex,20,19,1,0,
-2,CX10,deltametrina  SC 5%,cimex,20,17,3,0,
-2,CX11,deltametrina  SC 5%,cimex,20,14,6,0,
-2,CX12,deltametrina  SC 5%,cimex,20,10,10,0,
-2,CX13,deltametrina  SC 5%,cimex,20,16,4,0,
-2,CX14,deltametrina  SC 5%,cimex,20,18,2,0,
-1,CX1,blanco,cimex,20,20,0,0,
-1,CX2,blanco,cimex,10,10,0,0,
-1,CX3,blanco,cimex,10,10,0,0,
-1,CX4,blanco,cimex,10,10,0,0,
-1,CX5,blanco,cimex,10,10,0,0,
-1,CX6,blanco,cimex,10,10,0,0,
-1,CX7,blanco,cimex,10,10,0,0,
-1,CX8,blanco,cimex,10,10,0,0,
-1,CX9,blanco,cimex,20,20,0,0,
-1,CX10,blanco,cimex,20,20,0,0,
-1,CX11,blanco,cimex,20,20,0,0,
-1,CX12,blanco,cimex,10,10,0,0,
-1,CX13,blanco,cimex,19,19,0,0,
-1,CX14,blanco,cimex,20,20,0,0,
-1,CX1,deltametrina  SC 5%,cimex,20,16,4,0,
-1,CX2,deltametrina  SC 5%,cimex,20,10,10,0,
-1,CX3,deltametrina  SC 5%,cimex,20,10,10,0,
-1,CX4,deltametrina  SC 5%,cimex,20,19,1,0,
-1,CX5,deltametrina  SC 5%,cimex,20,18,2,0,
-1,CX6,deltametrina  SC 5%,cimex,20,2,18,0,
-1,CX7,deltametrina  SC 5%,cimex,19,17,2,0,
-1,CX8,deltametrina  SC 5%,cimex,20,15,5,0,
-1,CX9,deltametrina  SC 5%,cimex,20,16,4,0,
-1,CX10,deltametrina  SC 5%,cimex,20,17,3,0,
-1,CX11,deltametrina  SC 5%,cimex,20,19,1,0,
-1,CX12,deltametrina  SC 5%,cimex,20,11,9,0,
-1,CX13,deltametrina  SC 5%,cimex,20,16,4,0,
-1,CX14,deltametrina  SC 5%,cimex,20,18,2,0,
0,CX1,blanco,cimex,20,20,0,0,
0,CX2,blanco,cimex,10,10,0,0,
0,CX3,blanco,cimex,10,8,0,2,
0,CX4,blanco,cimex,10,10,0,0,
0,CX5,blanco,cimex,10,10,0,0,
0,CX6,blanco,cimex,10,10,0,0,
0,CX7,blanco,cimex,10,9,0,1,
0,CX8,blanco,cimex,10,9,0,1,
0,CX9,blanco,cimex,20,20,0,0,
0,CX10,blanco,cimex,20,20,0,0,
0,CX11,blanco,cimex,20,20,0,0,
0,CX12,blanco,cimex,10,10,0,0,
0,CX13,blanco,cimex,19,19,0,0,
0,CX14,blanco,cimex,20,20,0,0,
0,CX1,deltametrina  SC 5%,cimex,20,20,0,0,
0,CX2,deltametrina  SC 5%,cimex,20,17,3,0,
0,CX3,deltametrina  SC 5%,cimex,20,11,9,0,
0,CX4,deltametrina  SC 5%,cimex,20,12,8,0,
0,CX5,deltametrina  SC 5%,cimex,20,5,15,0,
0,CX6,deltametrina  SC 5%,cimex,20,20,0,0,
0,CX7,deltametrina  SC 5%,cimex,19,2,17,0,
0,CX8,deltametrina  SC 5%,cimex,20,13,7,0,
0,CX9,deltametrina  SC 5%,cimex,20,12,8,0,
0,CX10,deltametrina  SC 5%,cimex,20,14,6,0,
0,CX11,deltametrina  SC 5%,cimex,20,1,19,0,
0,CX12,deltametrina  SC 5%,cimex,20,7,13,0,
0,CX13,deltametrina  SC 5%,cimex,20,6,14,0,
0,CX14,deltametrina  SC 5%,cimex,20,6,14,0,
1,CX1,blanco,cimex,20,20,0,0,
1,CX2,blanco,cimex,10,10,0,0,
1,CX3,blanco,cimex,10,8,0,2,
1,CX4,blanco,cimex,10,10,0,0,
