INSECT,STAGE_START,STAGE_END,"""2015-03-09""","""2015-03-15""","""2015-22-09""","""2015-29-09""","""2015-04-05""",Notes,DAYS.SINCE.PAINT
01H-5A-1-01,AF,AF,K,D,D,D,D,,180
01H-5A-1-02,4,4,D,D,D,D,D,,180
01H-5A-1-03,AM,AM,K,D,D,D,D,,180
01H-5A-1-04,5,5,K,D,D,D,D,,180
01H-5A-1-05,AF,AF,K,K,D,D,D,,180
01H-5A-1-06,5,5,K,K,K,D,D,,180
01H-5A-1-07,AM,AM,A,A,A,D,D,,180
01H-5A-1-08,AF,AF,K,D,D,D,D,,180
01H-5A-1-09,5,5,D,D,D,D,D,,180
01H-5A-1-10,AM,AM,K,D,D,D,D,,180
01H-5A-1-11,AF,AF,K,D,D,D,D,,180
01H-5A-2-01,AF,AF,K,K,K,K,D,,180
01H-5A-2-02,AF,AF,K,K,A,A,D,,180
01H-5A-2-03,AF,AF,K,K,K,D,D,,180
01H-5A-2-04,5,5,K,K,K,K,K,,180
01H-5A-2-05,5,5,D,D,D,D,D,,180
01H-5A-2-06,AM,AM,K,K,K,K,D,,180
01H-5A-2-07,AF,AF,K,D,D,D,D,,180
01H-5A-2-08,AF,AF,K,D,D,D,D,,180
01H-5A-2-09,4,4,K,K,K,K,D,,180
01H-5A-2-10,5,5,K,D,D,D,D,,180
01H-5A-2-11,AF,AF,K,K,A,D,D,,180
01H-5A-3-01,AF,AF,K,K,K,K,D,,180
01H-5A-3-02,AM,AM,K,D,D,D,D,,180
01H-5A-3-03,4,4,D,D,D,D,D,,180
01H-5A-3-04,5,5,D,D,D,D,D,,180
01H-5A-3-05,5,5,D,D,D,D,D,,180
01H-5A-3-06,AM,AM,K,D,D,D,D,,180
01H-5A-3-07,AM,AM,K,D,D,D,D,,180
01H-5A-3-08,5,5,K,D,D,D,D,,180
01H-5A-3-09,AF,AF,K,D,D,D,D,,180
01H-5A-3-10,AM,AM,D,K,K,D,D,,180
01H-5A-3-11,5,5,D,D,D,D,D,,180
01H-5A-4-01,AF,AF,D,D,D,D,D,,180
01H-5A-4-02,AM,AM,K,K,A,A,A,,180
01H-5A-4-03,AM,AM,A,A,A,A,A,,180
01H-5A-4-04,AM,AM,K,K,D,D,D,,180
01H-5A-4-05,AF,AF,K,D,D,D,D,,180
01H-5A-4-06,4,4,D,D,D,D,D,,180
01H-5A-4-07,AM,AM,K,D,D,D,D,,180
01H-5A-4-08,AF,AF,K,D,D,D,D,,180
01H-5A-4-09,AF,AF,K,K,K,K,D,,180
01H-5A-4-10,AM,AM,K,D,D,D,D,,180
01H-5A-4-11,5,5,D,D,D,D,D,,180
01H-CO-1-01,AF,AF,A,A,A,A,A,,180
01H-CO-1-02,AF,AF,A,A,A,A,A,,180
01H-CO-1-03,5,AF,A,A,A,A,A,,180
01H-CO-1-04,5,AF,A,D,D,D,D,,180
