INSECT,STAGE_START,STAGE_END,2015-09-11,2015-09-12,2015-09-13,2015-09-18,2015-09-25,2015-10-02,2015-10-09,NOTES,Days.Post.Painting
01H-5A-1-01,5,5,A,A,A,A,A,A,,,1
01H-5A-1-02,4,4,K,K,D,D,D,D,,,1
01H-5A-1-03,AF,AF,D,K,A,A,A,A,,,1
01H-5A-1-04,5,5,K,K,A,A,A,A,,,1
01H-5A-1-05,5,5,K,K,K,A,A,D,,,1
01H-5A-1-06,5,5,K,A,A,A,A,A,,,1
01H-5A-1-07,5,5,A,K,K,D,D,D,,,1
01H-5A-1-08,5,5,A,A,A,A,A,A,,,1
01H-5A-1-09,5,5,K,K,K,A,A,A,,,1
01H-5A-1-10,5,5,D,K,K,A,A,A,,,1
01H-5A-1-11,5,5,A,A,A,A,A,A,,,1
01H-5A-2-01,5,5,A,A,K,A,D,D,,,1
01H-5A-2-02,5,5,K,K,K,A,A,A,,,1
01H-5A-2-03,4,4,A,K,D,D,D,D,,,1
01H-5A-2-04,5,5,A,K,K,D,D,D,,,1
01H-5A-2-05,5,5,D,K,K,A,A,A,,,1
01H-5A-2-06,AF,AF,K,A,A,A,A,D,,,1
01H-5A-2-07,4,4,K,K,A,A,A,A,,,1
01H-5A-2-08,5,5,K,K,D,D,D,D,,,1
01H-5A-2-09,AF,AF,K,K,D,D,D,D,,,1
01H-5A-2-10,5,5,K,K,K,D,D,D,,,1
01H-5A-2-11,5,5,A,A,A,A,A,A,,,1
01H-5A-3-01,5,5,K,K,K,A,A,D,,,1
01H-5A-3-02,5,5,K,A,A,A,A,A,,,1
01H-5A-3-03,5,5,K,K,A,A,A,A,,,1
01H-5A-3-04,AM,AM,A,K,K,K,D,D,,,1
01H-5A-3-05,AF,AF,A,A,A,A,A,A,,"2 eggs on 9/18 (3, 1ST INSARS AT END)",1
01H-5A-3-06,AM,AM,A,A,A,A,A,A,,,1
01H-5A-3-07,5,5,A,K,K,K,A,D,,,1
01H-5A-3-08,5,5,K,K,D,D,D,D,,,1
01H-5A-3-09,5,5,A,K,K,A,A,A,,,1
01H-5A-3-10,5,5,K,A,A,A,A,A,,,1
01H-5A-3-11,5,5,K,K,K,A,A,A,,,1
01H-5A-4-01,5,5,A,A,A,A,A,A,,,1
01H-5A-4-02,5,5,K,K,K,A,A,A,,,1
01H-5A-4-03,5,5,K,K,K,D,A,D,,,1
01H-5A-4-04,4,4,A,K,D,D,D,D,,,1
01H-5A-4-05,AF,AF,A,A,A,A,A,A,,,1
01H-5A-4-06,5,5,A,A,A,A,A,A,,,1
01H-5A-4-07,AM,AM,A,K,D,D,D,D,,,1
01H-5A-4-08,AM,AM,K,K,A,A,A,A,,,1
01H-5A-4-09,AM,AM,K,K,K,K,D,D,,,1
01H-5A-4-10,5,AF,K,A,A,A,A,A,,Molting on 9/12,1
01H-5A-4-11,AF,AF,K,K,D,D,D,D,,,1
01H-CO-1-01,5,5,A,A,A,A,A,A,,,1
01H-CO-1-02,5,5,A,A,A,A,A,A,,,1
01H-CO-1-03,AF,AF,A,A,A,A,A,A,,,1
01H-CO-1-04,5,5,A,A,A,A,A,A,,,1
01H-CO-1-05,AF,AF,A,A,A,A,A,D,,,1
01H-CO-1-06,AF,AF,A,A,A,A,A,A,,3 eggs on 9/18and on 3 1st Instars,1
01H-CO-1-07,5,5,A,A,A,A,A,A,,,1
01H-CO-1-08,AM,AM,A,A,A,A,A,D,,,1
01H-CO-1-09,5,5,A,A,A,A,A,A,,,1
01H-CO-1-10,5,5,A,A,A,A,A,A,,,1
01H-CO-1-11,4,4,A,A,A,A,A,A,,,1
01H-CO-1-12,AF,AF,A,A,A,A,A,A,,"2 eggs on 9/18, 2 1st instars",1
01H-CO-2-01,4,4,A,A,A,A,A,A,,,1
01H-CO-2-02,4,4,A,A,A,A,A,A,,,1
01H-CO-2-03,AM,AM,A,A,A,A,A,A,,,1
01H-CO-2-04,AM,AM,A,A,A,A,A,A,,,1
01H-CO-2-05,5,5,A,A,A,A,A,A,,,1
01H-CO-2-06,4,4,A,A,A,A,A,A,,,1
01H-CO-2-07,5,AF,A,A,A,A,A,A,,Molting on 9/12,1
01H-CO-2-08,AM,AM,A,A,A,A,A,A,,,1
01H-CO-2-09,5,5,A,A,A,A,A,A,,,1
01H-CO-2-10,5,5,A,A,A,A,A,A,,,1
01H-CO-2-11,5,5,A,A,A,A,A,A,,,1
01H-CO-2-12,AF,AF,A,A,A,A,A,A,,,1
01H-CO-3-01,5,5,A,A,A,A,A,A,,,1
01H-CO-3-02,5,5,A,A,A,A,A,A,,,1
01H-CO-3-03,AF,AF,A,A,A,A,A,A,,2 eggs and 1st instars on 9/18,1
01H-CO-3-04,AM,AM,A,A,A,A,A,A,,,1
01H-CO-3-05,5,5,A,A,A,A,A,A,,,1
01H-CO-3-06,5,5,A,A,A,A,A,A,,,1
01H-CO-3-07,AM,AM,A,A,A,A,A,A,,,1
01H-CO-3-08,5,5,A,A,A,A,A,A,,,1
01H-CO-3-09,AF,AF,A,A,A,A,A,A,,,1
01H-CO-3-10,5,5,A,A,A,A,A,A,,,1
01H-CO-3-11,AF,AF,A,A,A,A,A,A,,2 eggs and 1st instars on 9/18,1
01H-CO-3-12,5,5,A,A,A,A,A,A,,,1
01H-CO-4-01,5,5,A,A,A,A,A,A,,,1
01H-CO-4-02,5,5,A,A,A,A,A,A,,,1
01H-CO-4-03,5,5,A,A,A,A,A,A,,,1
01H-CO-4-04,5,5,A,A,A,A,A,A,,,1
01H-CO-4-05,AM,AM,A,A,A,A,A,A,,,1
01H-CO-4-06,AM,AM,A,A,A,A,A,A,,,1
01H-CO-4-07,5,5,A,A,A,A,A,A,,,1
01H-CO-4-08,5,5,A,A,A,A,A,A,,,1
01H-CO-4-09,AM,AM,A,A,A,A,A,A,,,1
01H-CO-4-10,AM,AM,A,A,A,A,A,A,,,1
01H-CO-4-11,5,5,A,A,A,A,A,A,,,1
01H-CO-4-12,5,5,A,A,A,A,A,A,,,1
03H-5A-1-01,5,5,K,A,A,A,A,A,A,,1
03H-5A-1-02,5,5,K,K,K,K,K,D,D,,1
03H-5A-1-03,AM,AM,K,K,K,D,D,D,D,,1
03H-5A-1-04,AM,AM,K,A,A,A,A,A,A,,1
03H-5A-1-05,AF,AF,K,K,K,D,D,D,D,,1
03H-5A-1-06,5,5,K,A,A,A,A,D,D,,1
03H-5A-1-07,5,5,K,D,K,D,D,D,D,,1
03H-5A-1-08,5,5,K,A,A,A,A,A,A,,1
03H-5A-1-09,5,5,K,A,A,A,A,A,A,,1
03H-5A-1-10,5,5,K,K,K,A,A,A,A,,1
03H-5A-1-11,5,5,K,D,K,K,A,A,A,,1
03H-5A-1-12,AM,AM,D,K,K,D,D,D,D,,1
03H-5A-2-01,5,5,D,K,K,A,A,A,A,,1
03H-5A-2-02,5,5,K,K,A,A,A,A,A,,1
03H-5A-2-03,AF,AF,K,K,A,A,A,A,A,"4 eggs on 9/18, 4 1st instar hatched 9/25",1
03H-5A-2-04,AF,AF,K,K,K,A,A,K,K,,1
03H-5A-2-05,5,5,K,K,K,A,A,A,D,,1
03H-5A-2-06,4,4,K,K,A,A,A,A,A,,1
03H-5A-2-07,5,5,K,K,A,A,A,A,A,,1
03H-5A-2-08,5,5,K,K,K,D,D,D,D,,1
