"","INSECT","STAGE_START","STAGE_END","NOTES","paint","days.after.paint","quad","exposure","treatment","exp.time","date","status","alive","knockdown","dead","unviable","living","julian","day"
"1","01H-5A-1-01","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"2","01H-5A-1-02","4","4","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"3","01H-5A-1-03","AF","AF","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"4","01H-5A-1-04","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"5","01H-5A-1-05","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"6","01H-5A-1-06","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"7","01H-5A-1-07","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"8","01H-5A-1-08","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"9","01H-5A-1-09","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"10","01H-5A-1-10","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"11","01H-5A-1-11","5","5","","5A",1,"1","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"12","01H-5A-2-01","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"13","01H-5A-2-02","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"14","01H-5A-2-03","4","4","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"15","01H-5A-2-04","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"16","01H-5A-2-05","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"17","01H-5A-2-06","AF","AF","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"18","01H-5A-2-07","4","4","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"19","01H-5A-2-08","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"20","01H-5A-2-09","AF","AF","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"21","01H-5A-2-10","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"22","01H-5A-2-11","5","5","","5A",1,"2","01H-5A","01H-5A-1","01H",2015-09-11,"A",1,0,0,0,1,16689,0
"23","01H-5A-3-01","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
"24","01H-5A-3-02","5","5","","5A",1,"3","01H-5A","01H-5A-1","01H",2015-09-11,"K",0,1,0,1,1,16689,0
