DATE,DAY,INSECT,STATUS,NOTES
7/1/2015,1,H-CO-ECL-1-A,A,
7/1/2015,1,H-CO-ECL-1-B,A,
7/1/2015,1,H-CO-ECL-1-C,A,
7/1/2015,1,H-CO-ECL-2-A,A,
7/1/2015,1,H-CO-ECL-2-B,A,
7/1/2015,1,H-CO-ECL-2-C,A,
7/1/2015,1,H-CO-ECL-3-A,A,
7/1/2015,1,H-CO-ECL-3-B,A,
7/1/2015,1,H-CO-ECL-3-C,A,
7/1/2015,1,H-CO-ECL-4-A,A,
7/1/2015,1,H-CO-ECL-4-B,A,
7/1/2015,1,H-CO-ECL-4-C,A,
7/1/2015,1,H-CF-ECL-1-A,A,
7/1/2015,1,H-CF-ECL-1-B,A,
7/1/2015,1,H-CF-ECL-1-C,A,
7/1/2015,1,H-CF-ECL-2-A,A,
7/1/2015,1,H-CF-ECL-2-B,A,
7/1/2015,1,H-CF-ECL-2-C,A,
7/1/2015,1,H-CF-ECL-3-A,A,
7/1/2015,1,H-CF-ECL-3-B,A,
7/1/2015,1,H-CF-ECL-3-C,A,
7/1/2015,1,H-CF-ECL-4-A,A,
7/1/2015,1,H-CF-ECL-4-B,A,
7/1/2015,1,H-CF-ECL-4-C,A,
7/1/2015,1,H-5A-ECL-1-A,A,
7/1/2015,1,H-5A-ECL-1-B,A,
7/1/2015,1,H-5A-ECL-1-C,A,
7/1/2015,1,H-5A-ECL-2-A,A,
7/1/2015,1,H-5A-ECL-2-B,A,
7/1/2015,1,H-5A-ECL-2-C,A,
7/1/2015,1,H-5A-ECL-3-A,A,
7/1/2015,1,H-5A-ECL-3-B,A,
7/1/2015,1,H-5A-ECL-3-C,A,
7/1/2015,1,H-5A-ECL-4-A,A,
7/1/2015,1,H-5A-ECL-4-B,A,
7/1/2015,1,H-5A-ECL-4-C,A,
7/2/2015,2,H-CO-ECL-1-A,A,
7/2/2015,2,H-CO-ECL-1-B,A,
7/2/2015,2,H-CO-ECL-1-C,A,
7/2/2015,2,H-CO-ECL-2-A,A,
7/2/2015,2,H-CO-ECL-2-B,A,
7/2/2015,2,H-CO-ECL-2-C,A,
7/2/2015,2,H-CO-ECL-3-A,A,
7/2/2015,2,H-CO-ECL-3-B,A,
7/2/2015,2,H-CO-ECL-3-C,A,
7/2/2015,2,H-CO-ECL-4-A,A,
7/2/2015,2,H-CO-ECL-4-B,A,
7/2/2015,2,H-CO-ECL-4-C,A,
7/2/2015,2,H-CF-ECL-1-A,A,
7/2/2015,2,H-CF-ECL-1-B,A,
7/2/2015,2,H-CF-ECL-1-C,A,
7/2/2015,2,H-CF-ECL-2-A,K,
7/2/2015,2,H-CF-ECL-2-B,K,
7/2/2015,2,H-CF-ECL-2-C,A,
7/2/2015,2,H-CF-ECL-3-A,A,
7/2/2015,2,H-CF-ECL-3-B,A,
7/2/2015,2,H-CF-ECL-3-C,A,
7/2/2015,2,H-CF-ECL-4-A,A,
7/2/2015,2,H-CF-ECL-4-B,A,
7/2/2015,2,H-CF-ECL-4-C,A,
7/2/2015,2,H-5A-ECL-1-A,D,
7/2/2015,2,H-5A-ECL-1-B,D,
7/2/2015,2,H-5A-ECL-1-C,D,
7/2/2015,2,H-5A-ECL-2-A,D,
7/2/2015,2,H-5A-ECL-2-B,D,
7/2/2015,2,H-5A-ECL-2-C,K,
7/2/2015,2,H-5A-ECL-3-A,K,
7/2/2015,2,H-5A-ECL-3-B,K,
7/2/2015,2,H-5A-ECL-3-C,K,
7/2/2015,2,H-5A-ECL-4-A,K,
7/2/2015,2,H-5A-ECL-4-B,K,
7/2/2015,2,H-5A-ECL-4-C,D,
7/3/2015,3,H-CO-ECL-1-A,A,
7/3/2015,3,H-CO-ECL-1-B,A,
7/3/2015,3,H-CO-ECL-1-C,A,
7/3/2015,3,H-CO-ECL-2-A,A,
7/3/2015,3,H-CO-ECL-2-B,A,
7/3/2015,3,H-CO-ECL-2-C,A,
7/3/2015,3,H-CO-ECL-3-A,A,
7/3/2015,3,H-CO-ECL-3-B,A,
7/3/2015,3,H-CO-ECL-3-C,A,
7/3/2015,3,H-CO-ECL-4-A,A,
7/3/2015,3,H-CO-ECL-4-B,A,
7/3/2015,3,H-CO-ECL-4-C,A,
7/3/2015,3,H-CF-ECL-1-A,A,
7/3/2015,3,H-CF-ECL-1-B,A,
7/3/2015,3,H-CF-ECL-1-C,A,
7/3/2015,3,H-CF-ECL-2-A,D,
7/3/2015,3,H-CF-ECL-2-B,K,
7/3/2015,3,H-CF-ECL-2-C,A,
7/3/2015,3,H-CF-ECL-3-A,A,
7/3/2015,3,H-CF-ECL-3-B,A,
7/3/2015,3,H-CF-ECL-3-C,A,
7/3/2015,3,H-CF-ECL-4-A,A,
7/3/2015,3,H-CF-ECL-4-B,A,
7/3/2015,3,H-CF-ECL-4-C,A,
