DATE,DAY,INSECT,TREATMENT,STRAIN,QUAD,LOCATION,STATUS,ALIVE,DEAD,KNOCKDOWN,NOTES
25-Mar-15,1,T-CF-ECL-1-A,CF,ECL,1,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-1-B,CF,ECL,1,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-1-C,CF,ECL,1,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-2-A,CF,ECL,2,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-2-B,CF,ECL,2,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-2-C,CF,ECL,2,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-3-A,CF,ECL,3,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-3-B,CF,ECL,3,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-3-C,CF,ECL,3,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-4-A,CF,ECL,4,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-4-B,CF,ECL,4,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CF-ECL-4-C,CF,ECL,4,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CO-ECL-1-A,CO,ECL,1,PETRI_D1,A,1,0,0,alive and walking around
25-Mar-15,1,T-CO-ECL-1-B,CO,ECL,1,PETRI_D1,A,1,0,0,alive and walking around
25-Mar-15,1,T-CO-ECL-1-C,CO,ECL,1,PETRI_D1,A,1,0,0,alive and walking around
25-Mar-15,1,T-CO-ECL-2-A,CO,ECL,2,PETRI_D1,A,1,0,0,alive and walking
25-Mar-15,1,T-CO-ECL-2-B,CO,ECL,2,PETRI_D1,A,1,0,0,alive and walking
25-Mar-15,1,T-CO-ECL-2-C,CO,ECL,2,PETRI_D1,A,1,0,0,alive and walking
25-Mar-15,1,T-CO-ECL-3-A,CO,ECL,3,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CO-ECL-3-B,CO,ECL,3,PETRI_D1,A,1,0,0,alive and well
25-Mar-15,1,T-CO-ECL-3-C,CO,ECL,3,PETRI_D1,D,0,1,0,died while molting. Mike noted that he was knocked down when he came in at 1:30pm
25-Mar-15,1,T-CO-ECL-4-A,CO,ECL,4,PETRI_D1,A,1,0,0,alive and walking
25-Mar-15,1,T-CO-ECL-4-B,CO,ECL,4,PETRI_D1,A,1,0,0,alive and walking
25-Mar-15,1,T-CO-ECL-4-C,CO,ECL,4,PETRI_D1,A,1,0,0,alive and walking
25-Mar-15,1,T-5A-ECL-1-A,5A,ECL,1,PETRI_D1,A,1,0,0,2 in petri unresponsive to touch 1 on back but legs moved slightly
25-Mar-15,1,T-5A-ECL-1-B,5A,ECL,1,PETRI_D1,K,1,0,1,2 in petri unresponsive to touch 1 on back but legs moved slightly
25-Mar-15,1,T-5A-ECL-1-C,5A,ECL,1,PETRI_D1,A,1,0,0,2 in petri unresponsive to touch 1 on back but legs moved slightly
25-Mar-15,1,T-5A-ECL-2-A,5A,ECL,2,PETRI_D1,K,1,0,1,"2 on back with legs twitching, 1 walking upright but with feet underneath"
25-Mar-15,1,T-5A-ECL-2-B,5A,ECL,2,PETRI_D1,K,1,0,1,"2 on back with legs twitching, 1 walking upright but with feet underneath"
25-Mar-15,1,T-5A-ECL-2-C,5A,ECL,2,PETRI_D1,A,1,0,0,"2 on back with legs twitching, 1 walking upright but with feet underneath"
25-Mar-15,1,T-5A-ECL-3-A,5A,ECL,3,PETRI_D1,K,1,0,1,3 on back with legs twitching
25-Mar-15,1,T-5A-ECL-3-B,5A,ECL,3,PETRI_D1,K,1,0,1,3 on back with legs twitching
25-Mar-15,1,T-5A-ECL-3-C,5A,ECL,3,PETRI_D1,K,1,0,1,3 on back with legs twitching
25-Mar-15,1,T-5A-ECL-4-A,5A,ECL,4,PETRI_D1,K,1,0,1,3 on back with legs twitching
25-Mar-15,1,T-5A-ECL-4-B,5A,ECL,4,PETRI_D1,K,1,0,1,3 on back with legs twitching
25-Mar-15,1,T-5A-ECL-4-C,5A,ECL,4,PETRI_D1,K,1,0,1,3 on back with legs twitching
26-Mar-15,2,T-CF-ECL-1-A,CF,ECL,1,PETRI_D2,A,,,,"Alive and Well, generally less movement than controls, and more twitching of front legs."
26-Mar-15,2,T-CF-ECL-1-B,CF,ECL,1,PETRI_D2,A,,,,"Alive and Well, generally less movement than controls, and more twitching of front legs."
26-Mar-15,2,T-CF-ECL-1-C,CF,ECL,1,PETRI_D2,A,,,,"Alive and Well, generally less movement than controls, and more twitching of front legs."
26-Mar-15,2,T-CF-ECL-2-A,CF,ECL,2,PETRI_D2,A,,,,"Alive and Well, generally less movement than controls, and more twitching of front legs."
