DATE,HUM,TEMP_C,MAX_HUM,MIN_HUM,MAX_TEMP,MIN_TEMP
7/3/2015,47,25,,,,
7/5/2015,47,25,,,,
7/8/2015,53,25,,,,
7/9/2015,52,25,,,,
7/10/2015,47,25.1,,,,
7/11/2015,,24.7,,,,
7/13/2015,48,25,,,,
7/14/2015,50,24.9,,,,
7/15/2015,50,25,,,,
7/17/2015,48,25,,,,
7/18/2015,49,25,,,,
7/19/2015,53,25,,,,
7/20/2015,51,25.1,,,,
7/23/2015,44,25,,,,
7/24/2015,43,25,,,,
7/25/2015,43,25,,,,
7/26/2015,47,25,,,,
7/27/2015,51,25,,,,
7/28/2015,51,25,,,,
7/29/2015,52,25,,,,
7/30/2015,51,25,,,,
9/11/2015,55,21.3,85.4,42,28.6,20.3
9/12/2015,56,21,85,42,28.6,19.8
9/13/2015,44,24.9,,,,
9/18/2015,43,23.9,83,41,23.9,19.8
9/25/2015,41,23.6,85,39,28.6,19.8
10/2/2015,42,23.5,85,39,28.6,19.8
10/9/2015,45,24.4,47,38,24.9,22.6
3/9/2016,30,25.2,70,23,27.2,20
3/15/2016,53,24.8,70,23,27.2,20
3/22/2016,37,24.6,70,23,27.2,20
3/29/2016,40,24.4,84,30,24.5,23.2
4/5/2016,24,24.3,41,24,24.9,22.7
