INSECT,STAGE_START,STAGE_END,"""2015-12-10""","""2015-12-16""","""2015-12-23""","""2015-12-30""","""2016-01-06""",NOTES,DAYS.SINCE.PAINT
01H-5A-1-01,5,5,K,D,D,D,D,,90
01H-5A-1-02,5,5,K,D,D,D,D,,90
01H-5A-1-03,4,4,D,D,D,D,D,,90
01H-5A-1-04,5,5,K,D,A,A,A,,90
01H-5A-1-05,5,5,K,D,K,D,D,,90
01H-5A-1-06,5,5,K,D,D,D,D,,90
01H-5A-1-07,5,5,K,D,D,D,D,,90
01H-5A-1-08,4,4,K,K,D,D,D,,90
01H-5A-1-09,5,5,K,K,D,D,D,,90
01H-5A-1-10,5,5,D,D,D,D,D,,90
01H-5A-1-11,5,5,K,D,D,D,D,,90
01H-5A-1-12,5,5,D,D,D,D,D,12/10 DEAD,90
01H-5A-2-01,5,5,K,K,D,D,D,With colors? 12/16,90
01H-5A-2-02,5,5,K,D,D,D,D,,90
01H-5A-2-03,5,5,K,K,D,D,D,12/16 Dark color,90
01H-5A-2-04,5,5,K,D,D,D,D,,90
01H-5A-2-05,5,5,D,D,D,D,D,,90
01H-5A-2-06,5,5,K,D,K,K,K,,90
01H-5A-2-07,5,5,K,D,K,D,D,,90
01H-5A-2-08,5,5,K,D,D,D,D,,90
01H-5A-2-09,5,5,D,D,D,D,D,,90
01H-5A-2-10,5,5,K,D,D,D,D,,90
01H-5A-2-11,4,4,K,D,D,D,D,,90
01H-5A-2-12,4,4,K,D,D,D,D,,90
01H-5A-3-01,AF,AF,K,D,D,D,D,,90
01H-5A-3-02,5,5,K,K,K,K,D,,90
01H-5A-3-03,4,4,D,D,D,D,D,,90
01H-5A-3-04,5,5,K,D,D,D,D,,90
01H-5A-3-05,5,5,K,D,D,D,D,,90
01H-5A-3-06,5,5,K,D,D,D,D,,90
01H-5A-3-07,AF,AF,K,D,D,D,D,,90
01H-5A-3-08,4,4,K,D,D,D,D,,90
01H-5A-3-09,5,5,K,D,D,D,D,,90
01H-5A-3-10,5,5,K,D,D,D,D,,90
01H-5A-3-11,5,5,K,K,D,D,D,,90
01H-5A-3-12,5,5,K,K,D,D,D,,90
