DATE,HUM,TEMP_C,MAX_HUM,MIN_HUM,MAX_TEMP,MIN_TEMP
2015-07-03,47,25,,,,
2015-07-05,47,25,,,,
2015-07-08,53,25,,,,
2015-07-09,52,25,,,,
2015-07-10,47,25.1,,,,
2015-07-11,,24.7,,,,
2015-07-13,48,25,,,,
2015-07-14,50,24.9,,,,
2015-07-15,50,25,,,,
2015-07-17,48,25,,,,
2015-07-18,49,25,,,,
2015-07-19,53,25,,,,
2015-07-20,51,25.1,,,,
2015-07-23,44,25,,,,
2015-07-24,43,25,,,,
2015-07-25,43,25,,,,
2015-07-26,47,25,,,,
2015-07-27,51,25,,,,
2015-07-28,51,25,,,,
2015-07-29,52,25,,,,
2015-07-30,51,25,,,,
2015-09-11,55,21.3,85.4,42,28.6,20.3
2015-09-12,56,21,85,42,28.6,19.8
2015-09-13,44,24.9,,,,
2015-09-18,43,23.9,83,41,23.9,19.8
2015-09-25,41,23.6,85,39,28.6,19.8
2015-10-02,42,23.5,85,39,28.6,19.8
2015-10-09,45,24.4,47,38,24.9,22.6
