INSECT,STAGE,2015-09-11,2015-09-12,2015-09-13,2015-09-18,2015-09-25,2015-10-02,2015-10-09,NOTES,
01H-5A-1-01,5,A,A,A,A,A,A,,,
01H-5A-1-02,4,K,K,D,D,D,D,,,
01H-5A-1-03,AF,D,K,A,A,A,A,,,
01H-5A-1-04,5,K,K,A,A,A,A,,,
01H-5A-1-05,5,K,K,K,A,A,D,,,
01H-5A-1-06,5,K,A,A,A,A,A,,,
01H-5A-1-07,5,A,K,K,D,D,D,,,
01H-5A-1-08,5,A,A,A,A,A,A,,,
01H-5A-1-09,5,K,K,K,A,A,A,,,
01H-5A-1-10,5,D,K,K,A,A,A,,,
01H-5A-1-11,5,A,A,A,A,A,A,,,
01H-5A-2-01,5,A,A,K,A,D,D,,,
01H-5A-2-02,5,K,K,K,A,A,A,,,
01H-5A-2-03,4,A,K,D,D,D,D,,,
01H-5A-2-04,5,A,K,K,D,D,D,,,
01H-5A-2-05,5,D,K,K,A,A,A,,,
01H-5A-2-06,AF,K,A,A,A,A,D,,,
01H-5A-2-07,4,K,K,A,A,A,A,,,
01H-5A-2-08,5,K,K,D,D,D,D,,,
01H-5A-2-09,AF,K,K,D,D,D,D,,,
01H-5A-2-10,5,K,K,K,D,D,D,,,
01H-5A-2-11,5,A,A,A,A,A,A,,,
01H-5A-3-01,5th ,K,K,K,A,A,D,,,
01H-5A-3-02,5,K,A,A,A,A,A,,,
01H-5A-3-03,5,K,K,A,A,A,A,,,
01H-5A-3-04,AM,A,K,K,K,D,D,,,
01H-5A-3-05,AF,A,A,A,A,A,A,,"2 eggs on 9/18 (3, 1ST INSARS AT END)",
01H-5A-3-06,AM,A,A,A,A,A,A,,,
01H-5A-3-07,5,A,K,K,K,A,D,,,
01H-5A-3-08,5,K,K,D,D,D,D,,,
01H-5A-3-09,5,A,K,K,A,A,A,,,
01H-5A-3-10,5,K,A,A,A,A,A,,,
01H-5A-3-11,5,K,K,K,A,A,A,,,
01H-5A-4-01,5,A,A,A,A,A,A,,,
01H-5A-4-02,5,K,K,K,A,A,A,,,
01H-5A-4-03,5,K,K,K,D,A,D,,,
01H-5A-4-04,4,A,K,D,D,D,D,,,
01H-5A-4-05,AF,A,A,A,A,A,A,,,
01H-5A-4-06,5,A,A,A,A,A,A,,,
01H-5A-4-07,AM,A,K,D,D,D,D,,,
01H-5A-4-08,AM,K,K,A,A,A,A,,,
01H-5A-4-09,AM,K,K,K,K,D,D,,,
01H-5A-4-10,AF,K,A,A,A,A,A,,Molting on 9/12,
01H-5A-4-11,AF,K,K,D,D,D,D,,,
01H-CO-1-01,5,A,A,A,A,A,A,,,
01H-CO-1-02,5,A,A,A,A,A,A,,,
01H-CO-1-03,AF,A,A,A,A,A,A,,,
01H-CO-1-04,5,A,A,A,A,A,A,,,
01H-CO-1-05,AF,A,A,A,A,A,D,,,
01H-CO-1-06,AF,A,A,A,A,A,A,,3 eggs on 9/18and on 3 1st Instars,
01H-CO-1-07,5,A,A,A,A,A,A,,,
01H-CO-1-08,AM,A,A,A,A,A,D,,,
01H-CO-1-09,5,A,A,A,A,A,A,,,
