Exposure,Date,a1,a2,a3,a4,a5,aAF,aAM,d1,d2,d3,d4,d5,dAF,dAM,EXO,EGG
1H-5A,2015-10-02,3,0,0,1,20,2,3,0,0,0,0,0,0,0,0,0
1H-CO,2015-10-02,5,0,0,3,25,10,9,0,0,0,0,0,0,0,0,0
1H-5A,2015-10-09,3,0,0,1,20,2,3,0,0,0,0,0,0,0,0,0
1H-CO,2015-10-09,5,0,0,3,23,9,9,0,0,0,0,0,0,0,0,0
3H-5A,2015-10-09,4,0,0,1,18,1,2,0,0,0,0,0,0,0,0,0
3H-CO,2015-10-09,7,0,0,4,14,10,8,0,0,0,0,0,0,0,0,0
6H-5A,2015-10-09,0,0,0,3,10,2,0,0,0,0,0,0,0,0,0,0
6H-CO,2015-10-09,9,0,0,7,21,10,4,0,0,0,0,0,0,0,0,0
24H-5A,2015-10-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24-CO,2015-10-09,15,0,0,8,13,10,8,0,0,0,0,0,0,0,0,0
24-CF,2015-10-09,8,0,0,5,11,8,7,0,0,0,0,0,0,0,0,0
1H-5A,2015-10-16,2,1,0,1,13,2,3,0,0,0,0,4,0,1,2,13
1H-CO,2015-10-16,3,2,0,1,23,7,7,2,0,0,1,1,1,2,3,23
3H-5A,2015-10-16,2,2,0,0,11,4,2,0,0,0,1,4,0,1,3,0
3H-CO,2015-10-16,3,3,1,2,10,16,8,0,0,0,0,1,1,1,11,35
6H-5A,2015-10-16,0,0,0,1,5,2,3,0,0,0,1,2,0,0,4,0
6H-CO,2015-10-16,3,6,0,5,21,11,5,0,0,0,0,1,0,0,6,15
24H-5A,2015-10-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24-CO,2015-10-16,4,3,0,2,17,11,9,6,0,0,0,1,0,1,5,47
24-CF,2015-10-16,6,1,0,3,11,8,8,1,0,0,1,0,0,0,2,32
1H-5A,2015-10-23,1,0,0,0,3,8,6,3,0,0,0,7,0,2,0,0
1H-CO,2015-10-23,9,2,0,0,3,14,15,5,0,0,0,7,2,2,0,0
3H-5A,2015-10-23,1,2,0,0,3,7,3,1,0,0,0,9,1,1,5,0
3H-CO,2015-10-23,9,4,0,1,4,18,12,0,0,0,0,0,2,2,0,0
6H-5A,2015-10-23,0,0,0,0,2,3,2,0,0,0,1,5,1,0,5,2
6H-CO,2015-10-23,5,6,0,0,8,19,14,5,0,0,1,3,0,0,22,55
24H-5A,2015-10-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24-CO,2015-10-23,25,3,0,0,8,13,13,4,0,0,0,3,1,3,15,97
24-CF,2015-10-23,18,0,0,1,5,14,9,12,1,0,0,1,0,1,9,96
