"","Treatment","1 day","1 week","2 weeks","3 weeks","4 weeks"
"1","01H-5A-1",1,0.75,0.681818181818182,0.568181818181818,"No Data"
"2","01H-5A-180",0.772727272727273,0.363636363636364,0.318181818181818,0.204545454545455,"0.0681818181818182"
"3","01H-5A-90",0.854166666666667,0.354166666666667,0.1875,0.0625,"0.0416666666666667"
"4","01H-CO-1",1,1,1,0.958333333333333,"No Data"
"5","01H-CO-180",0.931818181818182,0.818181818181818,0.795454545454545,0.704545454545455,"0.681818181818182"
"6","01H-CO-90",0.9375,0.875,0.854166666666667,0.8125,"0.8125"
"7","03H-5A-1",0.9375,0.583333333333333,0.583333333333333,0.520833333333333,"0.479166666666667"
"8","03H-5A-180",0.840909090909091,0.295454545454545,0.227272727272727,0.113636363636364,"0.0454545454545455"
"9","03H-5A-90",0.791666666666667,0.479166666666667,0.291666666666667,0.145833333333333,"0.0625"
"10","03H-CO-1",0.958333333333333,0.958333333333333,0.958333333333333,0.9375,"0.854166666666667"
"11","03H-CO-180",0.954545454545455,0.840909090909091,0.75,0.704545454545455,"0.681818181818182"
"12","03H-CO-90",0.895833333333333,0.854166666666667,0.854166666666667,0.770833333333333,"0.708333333333333"
"13","06H-5A-1",0.979166666666667,0.5625,0.4375,0.375,"0.3125"
"14","06H-5A-180",0.840909090909091,0.340909090909091,0.227272727272727,0.204545454545455,"0.0909090909090909"
"15","06H-5A-90",0.729166666666667,0.208333333333333,0.166666666666667,0.0833333333333333,"0.0625"
"16","06H-CO-1",1,0.979166666666667,0.958333333333333,0.895833333333333,"0.895833333333333"
"17","06H-CO-180",0.818181818181818,0.727272727272727,0.704545454545455,0.659090909090909,"0.590909090909091"
"18","06H-CO-90",0.9375,0.8125,0.770833333333333,0.75,"0.645833333333333"
"19","24H-5A-1",0.916666666666667,0.125,0.0625,0.0208333333333333,"0.0208333333333333"
"20","24H-5A-180",0.844444444444444,0.311111111111111,0.177777777777778,0.0666666666666667,"0.0444444444444444"
"21","24H-5A-90",0.8125,0.229166666666667,0.125,0,"0"
"22","24H-CF-1",0.956521739130435,0.847826086956522,0.782608695652174,0.760869565217391,"0.695652173913043"
"23","24H-CF-180",0.911111111111111,0.533333333333333,0.177777777777778,0.0444444444444444,"0"
"24","24H-CF-90",0.916666666666667,0.583333333333333,0.541666666666667,0.4375,"0.291666666666667"
"25","24H-CO-1",0.958333333333333,0.895833333333333,0.875,0.875,"0.854166666666667"
"26","24H-CO-180",1,0.931818181818182,0.909090909090909,0.795454545454545,"0.727272727272727"
"27","24H-CO-90",1,0.958333333333333,0.916666666666667,0.875,"0.791666666666667"
