DATE,HUM,TEMP_C,MAX_HUM,MIN_HUM,MAX_TEMP,MIN_TEMP
2015-07-03,47,25,,,,
2015-07-05,47,25,,,,
2015-07-08,53,25,,,,
2015-07-09,52,25,,,,
2015-07-10,47,25.1,,,,
2015-07-11,,24.7,,,,
2015-07-13,48,25,,,,
2015-07-14,50,24.9,,,,
2015-07-15,50,25,,,,
2015-07-17,48,25,,,,
2015-07-18,49,25,,,,
2015-07-19,53,25,,,,
2015-07-20,51,25.1,,,,
2015-07-23,44,25,,,,
2015-07-24,43,25,,,,
2015-07-25,43,25,,,,
2015-07-26,47,25,,,,
2015-07-27,51,25,,,,
2015-07-28,51,25,,,,
2015-07-29,52,25,,,,
2015-07-30,51,25,,,,
2015-09-11,55,21.3,85.4,42,28.6,20.3
2015-09-12,56,21,85,42,28.6,19.8
2015-09-13,44,24.9,,,,
2015-09-18,43,23.9,83,41,23.9,19.8
2015-09-25,41,23.6,85,39,28.6,19.8
2015-10-02,42,23.5,85,39,28.6,19.8
2015-10-09,45,24.4,47,38,24.9,22.6
2015-12-02,46,20.3,52,29,22.3,19.3
2015-12-07,26,24,52,26,26,19.3
2015-12-10,38,23.3,52,25,25,19.3
2015-12-14,44,22.7,52,25,25,19.3
2015-12-16,34,23.3,52,25,25,19.3
2015-12-21,27,23.4,38,26,23.9,23
2015-12-22,44,23.5,50,26,23.9,23
2015-12-28,30,23.5,60,26,24.7,22.8
2015-12-30,39,23.7,60,26,24.7,22.8
2016-01-06,25,23.5,60,24,24.8,22.8
2016-01-13,25,23.6,60,24,25.7,22.8
2016-01-20,24,24,60,23,25.7,22.4
2016-03-09,30,25.2,70,23,27.2,20
2016-03-15,57,24.8,70,23,27.2,20
2016-03-22,37,24.6,70,23,27.2,20
2016-03-26,30,23.3,68,30,25.4,22.5
2016-03-31,33,24.6,84,30,25.5,23.2
2016-04-05,24,24.3,41,24,24.9,22.7
2016-04-07,62,23.1,67,24,24.3,23
2016-04-14,28,22.9,68,27,24.2,22.3
2016-04-21,47,23.9,54,25,24.5,20.7
