,treatment,day,paint,days.after.paint,exp.time,alive,dead,knockdown,unviable,living,total,prop.alive,prop.dead,prop.kd,prop.uv,prop.liv,pch,lty,ORDER,
2,01H-5A-1,0,5A,1,1,44,0,0,0,44,44,1,0,0,0,1,15,1,1,1
210,01H-5A-1,1,5A,1,1,15,0,29,29,44,44,0.340909091,0,0.659090909,0.659090909,1,15,1,2,2
35,01H-5A-1,2,5A,1,1,19,8,17,25,36,44,0.431818182,0.181818182,0.386363636,0.568181818,0.818181818,15,1,3,3
410,01H-5A-1,7,5A,1,1,29,11,4,15,33,44,0.659090909,0.25,0.090909091,0.340909091,0.75,15,1,4,4
52,01H-5A-1,14,5A,1,1,30,14,0,14,30,44,0.681818182,0.318181818,0,0.318181818,0.681818182,15,1,5,5
69,01H-5A-1,21,5A,1,1,25,19,0,19,25,44,0.568181818,0.431818182,0,0.431818182,0.568181818,15,1,6,6
710,01H-5A-1,28,5A,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,15,1,7,7
4,01H-5A-90,0,5A,90,1,48,0,0,0,48,48,1,0,0,0,1,15,1,8,8
137,01H-5A-90,1,5A,90,1,0,7,41,48,41,48,0,0.145833333,0.854166667,1,0.854166667,15,1,9,9
1410,01H-5A-90,7,5A,90,1,0,31,17,48,17,48,0,0.645833333,0.354166667,1,0.354166667,15,1,10,10
154,01H-5A-90,13,5A,90,1,1,39,8,47,9,48,0.020833333,0.8125,0.166666667,0.979166667,0.1875,15,1,11,11
161,01H-5A-90,21,5A,90,1,1,45,2,47,3,48,0.020833333,0.9375,0.041666667,0.979166667,0.0625,15,1,12,12
171,01H-5A-90,28,5A,90,1,1,46,1,47,2,48,0.020833333,0.958333333,0.020833333,0.979166667,0.041666667,15,1,13,13
3,01H-5A-180,0,5A,180,1,44,0,0,0,44,44,1,0,0,0,1,15,1,14,14
86,01H-5A-180,1,5A,180,1,2,10,32,42,34,44,0.045454545,0.227272727,0.727272727,0.954545455,0.772727273,15,1,15,15
910,01H-5A-180,7,5A,180,1,2,28,14,42,16,44,0.045454545,0.636363636,0.318181818,0.954545455,0.363636364,15,1,16,16
103,01H-5A-180,14,5A,180,1,5,30,9,39,14,44,0.113636364,0.681818182,0.204545455,0.886363636,0.318181818,15,1,17,17
1110,01H-5A-180,21,5A,180,1,3,35,6,41,9,44,0.068181818,0.795454545,0.136363636,0.931818182,0.204545455,15,1,18,18
1210,01H-5A-180,28,5A,180,1,2,41,1,42,3,44,0.045454545,0.931818182,0.022727273,0.954545455,0.068181818,15,1,19,19
5,01H-CO-1,0,CO,1,1,48,0,0,0,48,48,1,0,0,0,1,20,1,20,20
191,01H-CO-1,1,CO,1,1,48,0,0,0,48,48,1,0,0,0,1,20,1,21,21
201,01H-CO-1,2,CO,1,1,48,0,0,0,48,48,1,0,0,0,1,20,1,22,22
211,01H-CO-1,7,CO,1,1,48,0,0,0,48,48,1,0,0,0,1,20,1,23,23
221,01H-CO-1,14,CO,1,1,48,0,0,0,48,48,1,0,0,0,1,20,1,24,24
231,01H-CO-1,21,CO,1,1,46,2,0,2,46,48,0.958333333,0.041666667,0,0.041666667,0.958333333,20,1,25,25
241,01H-CO-1,28,CO,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,20,1,26,26
7,01H-CO-90,0,CO,90,1,48,0,0,0,48,48,1,0,0,0,1,20,1,27,27
30,01H-CO-90,1,CO,90,1,44,3,1,4,45,48,0.916666667,0.0625,0.020833333,0.083333333,0.9375,20,1,28,28
31,01H-CO-90,7,CO,90,1,42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,20,1,29,29
32,01H-CO-90,13,CO,90,1,41,7,0,7,41,48,0.854166667,0.145833333,0,0.145833333,0.854166667,20,1,30,30
33,01H-CO-90,21,CO,90,1,39,9,0,9,39,48,0.8125,0.1875,0,0.1875,0.8125,20,1,31,31
34,01H-CO-90,28,CO,90,1,39,9,0,9,39,48,0.8125,0.1875,0,0.1875,0.8125,20,1,32,32
6,01H-CO-180,0,CO,180,1,44,0,0,0,44,44,1,0,0,0,1,20,1,33,33
251,01H-CO-180,1,CO,180,1,41,3,0,3,41,44,0.931818182,0.068181818,0,0.068181818,0.931818182,20,1,34,34
261,01H-CO-180,7,CO,180,1,36,8,0,8,36,44,0.818181818,0.181818182,0,0.181818182,0.818181818,20,1,35,35
271,01H-CO-180,14,CO,180,1,33,9,2,11,35,44,0.75,0.204545455,0.045454545,0.25,0.795454545,20,1,36,36
281,01H-CO-180,21,CO,180,1,31,13,0,13,31,44,0.704545455,0.295454545,0,0.295454545,0.704545455,20,1,37,37
291,01H-CO-180,28,CO,180,1,29,14,1,15,30,44,0.659090909,0.318181818,0.022727273,0.340909091,0.681818182,20,1,38,38
8,03H-5A-1,0,5A,1,3,48,0,0,0,48,48,1,0,0,0,1,15,2,39,39
36,03H-5A-1,1,5A,1,3,8,3,37,40,45,48,0.166666667,0.0625,0.770833333,0.833333333,0.9375,15,2,40,40
37,03H-5A-1,2,5A,1,3,18,10,20,30,38,48,0.375,0.208333333,0.416666667,0.625,0.791666667,15,2,41,41
38,03H-5A-1,7,5A,1,3,24,20,4,24,28,48,0.5,0.416666667,0.083333333,0.5,0.583333333,15,2,42,42
39,03H-5A-1,14,5A,1,3,25,20,3,23,28,48,0.520833333,0.416666667,0.0625,0.479166667,0.583333333,15,2,43,43
40,03H-5A-1,21,5A,1,3,23,23,2,25,25,48,0.479166667,0.479166667,0.041666667,0.520833333,0.520833333,15,2,44,44
41,03H-5A-1,28,5A,1,3,20,25,3,28,23,48,0.416666667,0.520833333,0.0625,0.583333333,0.479166667,15,2,45,45
10,03H-5A-90,0,5A,90,3,48,0,0,0,48,48,1,0,0,0,1,15,2,46,46
47,03H-5A-90,1,5A,90,3,0,10,38,48,38,48,0,0.208333333,0.791666667,1,0.791666667,15,2,47,47
48,03H-5A-90,7,5A,90,3,1,25,22,47,23,48,0.020833333,0.520833333,0.458333333,0.979166667,0.479166667,15,2,48,48
49,03H-5A-90,13,5A,90,3,0,34,14,48,14,48,0,0.708333333,0.291666667,1,0.291666667,15,2,49,49
50,03H-5A-90,21,5A,90,3,1,41,6,47,7,48,0.020833333,0.854166667,0.125,0.979166667,0.145833333,15,2,50,50
51,03H-5A-90,28,5A,90,3,0,45,3,48,3,48,0,0.9375,0.0625,1,0.0625,15,2,51,51
9,03H-5A-180,0,5A,180,3,44,0,0,0,44,44,1,0,0,0,1,15,2,52,52
42,03H-5A-180,1,5A,180,3,1,8,35,43,36,44,0.022727273,0.181818182,0.795454545,0.977272727,0.818181818,15,2,53,53
43,03H-5A-180,7,5A,180,3,0,31,13,44,13,44,0,0.704545455,0.295454545,1,0.295454545,15,2,54,54
44,03H-5A-180,14,5A,180,3,0,34,10,44,10,44,0,0.772727273,0.227272727,1,0.227272727,15,2,55,55
45,03H-5A-180,21,5A,180,3,0,39,5,44,5,44,0,0.886363636,0.113636364,1,0.113636364,15,2,56,56
46,03H-5A-180,28,5A,180,3,0,42,2,44,2,44,0,0.954545455,0.045454545,1,0.045454545,15,2,57,57
11,03H-CO-1,0,CO,1,3,48,0,0,0,48,48,1,0,0,0,1,20,2,58,58
