Repetition,Trial,Position,DishID,Orientation,BUG_CONDITION
1,1,1,8,2,A
1,1,2,7,2,A
1,1,3,3,1,A
1,1,4,10,1,A
1,1,5,5,3,A
1,1,6,11,2,A
1,1,7,6,2,A
1,1,8,9,3,A
1,1,9,4,1,A
1,1,10,1,1,A
1,1,11,2,1,A
1,1,12,12,4,A
1,2,1,12,3,A
1,2,2,7,4,A
1,2,3,10,4,A
1,2,4,2,2,A
1,2,5,8,4,A
1,2,6,11,3,A
1,2,7,3,4,A
1,2,8,4,2,A
1,2,9,9,3,A
1,2,10,1,1,A
1,2,11,6,2,A
1,2,12,5,2,A
1,3,1,12,2,A
1,3,2,10,1,A
1,3,3,2,4,A
1,3,4,1,4,A
1,3,5,5,3,A
1,3,6,4,3,A
1,3,7,6,1,A
1,3,8,7,4,A
1,3,9,8,2,A
1,3,10,3,3,A
1,3,11,9,4,A
1,3,12,11,1,A
1,4,1,5,4,A
1,4,2,1,4,A
1,4,3,8,2,A
1,4,4,3,1,A
1,4,5,11,1,A
1,4,6,9,2,A
1,4,7,6,4,A
1,4,8,2,3,A
1,4,9,7,2,A
1,4,10,12,4,A
1,4,11,10,2,A
1,4,12,4,1,A
1,5,1,6,4,A
1,5,2,12,1,A
1,5,3,5,1,A
1,5,4,8,3,A
1,5,5,4,1,A
1,5,6,10,2,A
1,5,7,1,4,A
1,5,8,7,4,A
1,5,9,2,4,A
1,5,10,3,2,A
1,5,11,9,2,A
1,5,12,11,1,A
1,6,1,6,2,K
1,6,2,11,1,A
1,6,3,10,1,A
1,6,4,5,2,A
1,6,5,1,3,A
1,6,6,8,1,A
1,6,7,2,3,A
1,6,8,7,4,A
1,6,9,12,2,A
1,6,10,9,4,A
1,6,11,4,2,A
1,6,12,3,4,A
