Repetition,Trial,Position,DishID,Orientation,BUG_CONDITION
1,1,1,8,2,A
1,1,2,7,2,A
1,1,3,3,1,A
1,1,4,10,1,A
1,1,5,5,3,A
1,1,6,11,2,A
1,1,7,6,2,A
1,1,8,9,3,A
1,1,9,4,1,A
1,1,10,1,1,A
1,1,11,2,1,A
1,1,12,12,4,A
1,2,1,12,3,A
1,2,2,7,4,A
1,2,3,10,4,A
1,2,4,2,2,A
1,2,5,8,4,A
1,2,6,11,3,A
1,2,7,3,4,A
1,2,8,4,2,A
1,2,9,9,3,A
1,2,10,1,1,A
1,2,11,6,2,A
1,2,12,5,2,A
1,3,1,12,2,A
1,3,2,10,1,A
1,3,3,2,4,A
1,3,4,1,4,A
1,3,5,5,3,A
1,3,6,4,3,A
1,3,7,6,1,A
1,3,8,7,4,A
1,3,9,8,2,A
1,3,10,3,3,A
1,3,11,9,4,A
1,3,12,11,1,A
1,4,1,5,4,A
1,4,2,1,4,A
1,4,3,8,2,A
1,4,4,3,1,A
1,4,5,11,1,A
1,4,6,9,2,A
1,4,7,6,4,A
1,4,8,2,3,A
1,4,9,7,2,A
1,4,10,12,4,A
1,4,11,10,2,A
1,4,12,4,1,A
1,5,1,6,4,A
1,5,2,12,1,A
1,5,3,5,1,A
1,5,4,8,3,A
1,5,5,4,1,A
1,5,6,10,2,A
1,5,7,1,4,A
1,5,8,7,4,A
1,5,9,2,4,A
1,5,10,3,2,A
1,5,11,9,2,A
1,5,12,11,1,A
1,6,1,6,2,K
1,6,2,11,1,A
1,6,3,10,1,A
1,6,4,5,2,A
1,6,5,1,3,A
1,6,6,8,1,A
1,6,7,2,3,A
1,6,8,7,4,A
1,6,9,12,2,A
1,6,10,9,4,A
1,6,11,4,2,A
1,6,12,3,4,A
2,1,1,6,4,F
2,1,2,1,3,F
2,1,3,3,1,F
2,1,4,9,4,A
2,1,5,8,2,A
2,1,6,12,4,A
2,1,7,4,3,F
2,1,8,2,2,A
2,1,9,10,3,A
2,1,10,11,2,A
2,1,11,5,2,F
2,1,12,7,2,A
2,2,1,9,4,A
2,2,2,1,4,K
2,2,3,2,4,K
2,2,4,6,3,F
2,2,5,3,4,F
2,2,6,11,2,A
2,2,7,5,4,A
2,2,8,8,2,A
2,2,9,7,3,A
2,2,10,10,3,A
2,2,11,12,2,A
2,2,12,4,1,F
2,3,1,11,4,A
2,3,2,10,3,A
2,3,3,8,2,A
2,3,4,3,1,F
2,3,5,2,1,A
2,3,6,12,1,A
2,3,7,4,2,A
2,3,8,6,2,F
2,3,9,9,4,A
2,3,10,1,4,F
2,3,11,5,2,F
2,3,12,7,4,A
2,4,1,8,2,A
2,4,2,7,2,A
2,4,3,6,2,F
2,4,4,1,1,F
2,4,5,3,1,K
2,4,6,12,3,A
2,4,7,4,2,F
2,4,8,2,2,F
2,4,9,11,3,A
2,4,10,5,1,F
2,4,11,10,1,A
2,4,12,9,1,A
2,5,1,11,4,A
2,5,2,8,4,A
2,5,3,6,3,F
2,5,4,3,4,K
2,5,5,2,1,F
2,5,6,4,4,F
2,5,7,10,4,A
2,5,8,5,2,F
2,5,9,9,3,A
2,5,10,7,2,A
2,5,11,1,1,F
2,5,12,12,2,A
2,6,1,11,1,A
2,6,2,12,2,A
2,6,3,9,1,A
2,6,4,2,4,F
2,6,5,1,2,F
2,6,6,5,1,F
2,6,7,4,2,F
2,6,8,7,4,A
2,6,9,6,2,K
2,6,10,3,3,F
2,6,11,10,2,A
2,6,12,8,1,A
3,1,1,12,4,A
3,1,2,11,1,A
3,1,3,5,1,A
3,1,4,9,3,A
3,1,5,4,2,F
3,1,6,10,4,A
3,1,7,1,2,F
3,1,8,7,3,A
3,1,9,6,3,F
3,1,10,8,4,A
3,1,11,2,3,A
3,1,12,3,3,F
3,2,1,10,2,A
3,2,2,9,4,A
3,2,3,4,3,F
3,2,4,12,2,A
3,2,5,2,4,A
3,2,6,11,4,A
3,2,7,3,1,A
3,2,8,5,4,A
3,2,9,6,1,A
3,2,10,7,2,A
3,2,11,1,4,F
3,2,12,8,1,A
3,3,1,11,3,A
3,3,2,3,3,F
3,3,3,1,1,F
3,3,4,9,1,A
3,3,5,4,1,K
3,3,6,12,3,A
3,3,7,2,3,F
3,3,8,7,4,A
3,3,9,5,4,F
3,3,10,8,1,A
3,3,11,10,2,A
3,3,12,6,2,F
3,4,1,10,3,A
3,4,2,1,3,F
3,4,3,8,2,A
3,4,4,4,3,F
3,4,5,2,1,A
3,4,6,7,2,A
3,4,7,3,1,F
3,4,8,9,1,A
3,4,9,12,3,A
3,4,10,11,1,A
3,4,11,5,4,F
3,4,12,6,1,A
3,5,1,10,3,A
3,5,2,3,1,F
3,5,3,12,2,A
3,5,4,5,2,F
3,5,5,7,3,A
3,5,6,4,2,F
3,5,7,9,1,A
3,5,8,11,2,A
3,5,9,8,3,A
3,5,10,1,3,A
3,5,11,2,2,F
3,5,12,6,2,F
3,6,1,1,1,F
3,6,2,2,3,F
3,6,3,5,3,F
3,6,4,7,3,A
3,6,5,6,4,A
3,6,6,11,1,A
3,6,7,3,2,A
3,6,8,10,1,A
3,6,9,12,4,A
3,6,10,9,2,A
3,6,11,4,1,F
3,6,12,8,3,A
