"","treatment","day","paint","days.after.paint","exp.time","alive","dead","knockdown","unviable","living","total","prop.alive","prop.dead","prop.kd","prop.uv","prop.liv","pch","lty"
"2","01H-5A-1",0,"5A",1,"01H",44,0,0,0,44,44,1,0,0,0,1,18,1
"3","01H-5A-180",0,"5A",180,"01H",44,0,0,0,44,44,1,0,0,0,1,17,1
"4","01H-5A-90",0,"5A",90,"01H",48,0,0,0,48,48,1,0,0,0,1,20,1
"5","01H-CO-1",0,"CO",1,"01H",48,0,0,0,48,48,1,0,0,0,1,18,1
"6","01H-CO-180",0,"CO",180,"01H",44,0,0,0,44,44,1,0,0,0,1,17,1
"7","01H-CO-90",0,"CO",90,"01H",48,0,0,0,48,48,1,0,0,0,1,20,1
"8","03H-5A-1",0,"5A",1,"03H",48,0,0,0,48,48,1,0,0,0,1,18,2
"9","03H-5A-180",0,"5A",180,"03H",44,0,0,0,44,44,1,0,0,0,1,17,2
"10","03H-5A-90",0,"5A",90,"03H",48,0,0,0,48,48,1,0,0,0,1,20,2
"11","03H-CO-1",0,"CO",1,"03H",48,0,0,0,48,48,1,0,0,0,1,18,2
"12","03H-CO-180",0,"CO",180,"03H",44,0,0,0,44,44,1,0,0,0,1,17,2
"13","03H-CO-90",0,"CO",90,"03H",48,0,0,0,48,48,1,0,0,0,1,20,2
"14","06H-5A-1",0,"5A",1,"06H",48,0,0,0,48,48,1,0,0,0,1,18,3
"15","06H-5A-180",0,"5A",180,"06H",44,0,0,0,44,44,1,0,0,0,1,17,3
"16","06H-5A-90",0,"5A",90,"06H",48,0,0,0,48,48,1,0,0,0,1,20,3
"17","06H-CO-1",0,"CO",1,"06H",48,0,0,0,48,48,1,0,0,0,1,18,3
"19","06H-CO-180",0,"CO",180,"06H",44,0,0,0,44,44,1,0,0,0,1,17,3
"20","06H-CO-90",0,"CO",90,"06H",48,0,0,0,48,48,1,0,0,0,1,20,3
"21","24H-5A-1",0,"5A",1,"24H",48,0,0,0,48,48,1,0,0,0,1,18,4
"22","24H-5A-180",0,"5A",180,"24H",45,0,0,0,45,45,1,0,0,0,1,17,4
"23","24H-5A-90",0,"5A",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"24","24H-CF-1",0,"CF",1,"24H",46,0,0,0,46,46,1,0,0,0,1,18,4
"25","24H-CF-180",0,"CF",180,"24H",45,0,0,0,45,45,1,0,0,0,1,17,4
"26","24H-CF-90",0,"CF",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"27","24H-CO-1",0,"CO",1,"24H",48,0,0,0,48,48,1,0,0,0,1,18,4
"28","24H-CO-180",0,"CO",180,"24H",44,0,0,0,44,44,1,0,0,0,1,17,4
"29","24H-CO-90",0,"CO",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"210","01H-5A-1",1,"5A",1,"01H",15,0,29,29,44,44,0.340909090909091,0,0.659090909090909,0.659090909090909,1,18,1
"35","01H-5A-1",2,"5A",1,"01H",19,8,17,25,36,44,0.431818181818182,0.181818181818182,0.386363636363636,0.568181818181818,0.818181818181818,18,1
"410","01H-5A-1",7,"5A",1,"01H",29,11,4,15,33,44,0.659090909090909,0.25,0.0909090909090909,0.340909090909091,0.75,18,1
"52","01H-5A-1",14,"5A",1,"01H",30,14,0,14,30,44,0.681818181818182,0.318181818181818,0,0.318181818181818,0.681818181818182,18,1
"69","01H-5A-1",21,"5A",1,"01H",25,19,0,19,25,44,0.568181818181818,0.431818181818182,0,0.431818181818182,0.568181818181818,18,1
"710","01H-5A-1",28,"5A",1,"01H",0,0,0,0,0,0,NA,NA,NA,NA,NA,18,1
