"","TreatQuad","treatment","day","paint","days.after.paint","exp.time","alive","dead","knockdown","unviable","living","total","prop.alive","prop.dead","prop.kd","prop.uv","prop.liv","pch","lty"
"2","1-01H-5A-1","01H-5A-1",0,"5A",1,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"3","1-01H-5A-180","01H-5A-180",0,"5A",180,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"4","1-01H-5A-90","01H-5A-90",0,"5A",90,"1",12,0,0,0,12,12,1,0,0,0,1,15,1
"5","1-01H-CO-1","01H-CO-1",0,"CO",1,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"6","1-01H-CO-180","01H-CO-180",0,"CO",180,"1",11,0,0,0,11,11,1,0,0,0,1,20,1
"8","1-01H-CO-90","01H-CO-90",0,"CO",90,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"9","1-03H-5A-1","03H-5A-1",0,"5A",1,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"10","1-03H-5A-180","03H-5A-180",0,"5A",180,"3",11,0,0,0,11,11,1,0,0,0,1,15,2
"11","1-03H-5A-90","03H-5A-90",0,"5A",90,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"12","1-03H-CO-1","03H-CO-1",0,"CO",1,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"13","1-03H-CO-180","03H-CO-180",0,"CO",180,"3",11,0,0,0,11,11,1,0,0,0,1,20,2
"14","1-03H-CO-90","03H-CO-90",0,"CO",90,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"15","1-06H-5A-1","06H-5A-1",0,"5A",1,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"16","1-06H-5A-180","06H-5A-180",0,"5A",180,"6",11,0,0,0,11,11,1,0,0,0,1,15,3
"17","1-06H-5A-90","06H-5A-90",0,"5A",90,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"19","1-06H-CO-1","06H-CO-1",0,"CO",1,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"20","1-06H-CO-180","06H-CO-180",0,"CO",180,"6",11,0,0,0,11,11,1,0,0,0,1,20,3
"21","1-06H-CO-90","06H-CO-90",0,"CO",90,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"22","1-24H-5A-1","24H-5A-1",0,"5A",1,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
"23","1-24H-5A-180","24H-5A-180",0,"5A",180,"24",11,0,0,0,11,11,1,0,0,0,1,15,4
"25","1-24H-5A-90","24H-5A-90",0,"5A",90,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
"26","1-24H-CF-1",NA,0,"CF",1,"24",12,0,0,0,12,12,1,0,0,0,1,17,4
"27","1-24H-CF-180",NA,0,"CF",180,"24",11,0,0,0,11,11,1,0,0,0,1,17,4
"28","1-24H-CF-90",NA,0,"CF",90,"24",12,0,0,0,12,12,1,0,0,0,1,17,4
"29","1-24H-CO-1",NA,0,"CO",1,"24",12,0,0,0,12,12,1,0,0,0,1,20,4
"30","1-24H-CO-180",NA,0,"CO",180,"24",11,0,0,0,11,11,1,0,0,0,1,20,4
"31","1-24H-CO-90",NA,0,"CO",90,"24",12,0,0,0,12,12,1,0,0,0,1,20,4
"32","2-01H-5A-1",NA,0,"5A",1,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"33","2-01H-5A-180",NA,0,"5A",180,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"34","2-01H-5A-90",NA,0,"5A",90,"1",12,0,0,0,12,12,1,0,0,0,1,15,1
"36","2-01H-CO-1",NA,0,"CO",1,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"37","2-01H-CO-180",NA,0,"CO",180,"1",11,0,0,0,11,11,1,0,0,0,1,20,1
"38","2-01H-CO-90",NA,0,"CO",90,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"39","2-03H-5A-1",NA,0,"5A",1,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"40","2-03H-5A-180",NA,0,"5A",180,"3",11,0,0,0,11,11,1,0,0,0,1,15,2
"41","2-03H-5A-90",NA,0,"5A",90,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"42","2-03H-CO-1",NA,0,"CO",1,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"43","2-03H-CO-180",NA,0,"CO",180,"3",11,0,0,0,11,11,1,0,0,0,1,20,2
"44","2-03H-CO-90",NA,0,"CO",90,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"45","2-06H-5A-1",NA,0,"5A",1,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"46","2-06H-5A-180",NA,0,"5A",180,"6",11,0,0,0,11,11,1,0,0,0,1,15,3
"47","2-06H-5A-90",NA,0,"5A",90,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"48","2-06H-CO-1",NA,0,"CO",1,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"49","2-06H-CO-180",NA,0,"CO",180,"6",11,0,0,0,11,11,1,0,0,0,1,20,3
"50","2-06H-CO-90",NA,0,"CO",90,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"51","2-24H-5A-1",NA,0,"5A",1,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
"53","2-24H-5A-180",NA,0,"5A",180,"24",11,0,0,0,11,11,1,0,0,0,1,15,4
"54","2-24H-5A-90",NA,0,"5A",90,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
"55","2-24H-CF-1",NA,0,"CF",1,"24",10,0,0,0,10,10,1,0,0,0,1,17,4
"56","2-24H-CF-180",NA,0,"CF",180,"24",11,0,0,0,11,11,1,0,0,0,1,17,4
"57","2-24H-CF-90",NA,0,"CF",90,"24",12,0,0,0,12,12,1,0,0,0,1,17,4
"58","2-24H-CO-1",NA,0,"CO",1,"24",12,0,0,0,12,12,1,0,0,0,1,20,4
"59","2-24H-CO-180",NA,0,"CO",180,"24",11,0,0,0,11,11,1,0,0,0,1,20,4
"60","2-24H-CO-90",NA,0,"CO",90,"24",12,0,0,0,12,12,1,0,0,0,1,20,4
"61","3-01H-5A-1",NA,0,"5A",1,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"62","3-01H-5A-180",NA,0,"5A",180,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"63","3-01H-5A-90",NA,0,"5A",90,"1",12,0,0,0,12,12,1,0,0,0,1,15,1
"64","3-01H-CO-1",NA,0,"CO",1,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"65","3-01H-CO-180",NA,0,"CO",180,"1",11,0,0,0,11,11,1,0,0,0,1,20,1
"66","3-01H-CO-90",NA,0,"CO",90,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"67","3-03H-5A-1",NA,0,"5A",1,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"68","3-03H-5A-180",NA,0,"5A",180,"3",11,0,0,0,11,11,1,0,0,0,1,15,2
"70","3-03H-5A-90",NA,0,"5A",90,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"71","3-03H-CO-1",NA,0,"CO",1,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"72","3-03H-CO-180",NA,0,"CO",180,"3",11,0,0,0,11,11,1,0,0,0,1,20,2
"73","3-03H-CO-90",NA,0,"CO",90,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"74","3-06H-5A-1",NA,0,"5A",1,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"75","3-06H-5A-180",NA,0,"5A",180,"6",11,0,0,0,11,11,1,0,0,0,1,15,3
"76","3-06H-5A-90",NA,0,"5A",90,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"77","3-06H-CO-1",NA,0,"CO",1,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"78","3-06H-CO-180",NA,0,"CO",180,"6",11,0,0,0,11,11,1,0,0,0,1,20,3
"79","3-06H-CO-90",NA,0,"CO",90,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"80","3-24H-5A-1",NA,0,"5A",1,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
"81","3-24H-5A-180",NA,0,"5A",180,"24",11,0,0,0,11,11,1,0,0,0,1,15,4
"82","3-24H-5A-90",NA,0,"5A",90,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
"83","3-24H-CF-1",NA,0,"CF",1,"24",12,0,0,0,12,12,1,0,0,0,1,17,4
"84","3-24H-CF-180",NA,0,"CF",180,"24",11,0,0,0,11,11,1,0,0,0,1,17,4
"85","3-24H-CF-90",NA,0,"CF",90,"24",12,0,0,0,12,12,1,0,0,0,1,17,4
"87","3-24H-CO-1",NA,0,"CO",1,"24",12,0,0,0,12,12,1,0,0,0,1,20,4
"88","3-24H-CO-180",NA,0,"CO",180,"24",11,0,0,0,11,11,1,0,0,0,1,20,4
"89","3-24H-CO-90",NA,0,"CO",90,"24",12,0,0,0,12,12,1,0,0,0,1,20,4
"90","4-01H-5A-1",NA,0,"5A",1,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"91","4-01H-5A-180",NA,0,"5A",180,"1",11,0,0,0,11,11,1,0,0,0,1,15,1
"92","4-01H-5A-90",NA,0,"5A",90,"1",12,0,0,0,12,12,1,0,0,0,1,15,1
"93","4-01H-CO-1",NA,0,"CO",1,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"94","4-01H-CO-180",NA,0,"CO",180,"1",11,0,0,0,11,11,1,0,0,0,1,20,1
"95","4-01H-CO-90",NA,0,"CO",90,"1",12,0,0,0,12,12,1,0,0,0,1,20,1
"96","4-03H-5A-1",NA,0,"5A",1,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"97","4-03H-5A-180",NA,0,"5A",180,"3",11,0,0,0,11,11,1,0,0,0,1,15,2
"98","4-03H-5A-90",NA,0,"5A",90,"3",12,0,0,0,12,12,1,0,0,0,1,15,2
"99","4-03H-CO-1",NA,0,"CO",1,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"100","4-03H-CO-180",NA,0,"CO",180,"3",11,0,0,0,11,11,1,0,0,0,1,20,2
"101","4-03H-CO-90",NA,0,"CO",90,"3",12,0,0,0,12,12,1,0,0,0,1,20,2
"102","4-06H-5A-1",NA,0,"5A",1,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"104","4-06H-5A-180",NA,0,"5A",180,"6",11,0,0,0,11,11,1,0,0,0,1,15,3
"105","4-06H-5A-90",NA,0,"5A",90,"6",12,0,0,0,12,12,1,0,0,0,1,15,3
"106","4-06H-CO-1",NA,0,"CO",1,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"107","4-06H-CO-180",NA,0,"CO",180,"6",11,0,0,0,11,11,1,0,0,0,1,20,3
"108","4-06H-CO-90",NA,0,"CO",90,"6",12,0,0,0,12,12,1,0,0,0,1,20,3
"109","4-24H-5A-1",NA,0,"5A",1,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
"110","4-24H-5A-180",NA,0,"5A",180,"24",12,0,0,0,12,12,1,0,0,0,1,15,4
