"","X","id","x","y","alpha","major","minor","area","frame","track"
"1",1,1,1094.56896972656,105.827575683594,3.3664608001709,25.3091926574707,9.33680152893066,144.5,1,3
"2",2,2,885.5,108,0,19,8,76.5,1,4
"3",3,3,1179,211.999969482422,-45,12.7279224395752,11.3137073516846,103,1,2
"4",4,1,1093.6025390625,105.872924804688,5.19442892074585,25.440544128418,9.59678840637207,146,2,3
"5",5,2,887,108,0,16,8,83,2,4
"6",6,3,1179.29406738281,213.676452636719,75.9637603759766,16.0073509216309,9.94396018981934,108.5,2,2
"7",7,1,1094.94677734375,106.086059570312,5.19442892074585,24.5351867675781,9.41571712493896,154,3,3
"8",8,2,886.5,108,0,19,8,84,3,4
"9",9,3,1180,216,-90,20,10,118.5,3,2
"10",10,1,1094.5,105.5,0,23,9,146,4,3
"11",11,2,888,108,0,16,8,82,4,4
"12",12,4,1179,215.5,-90,19,10,111.5,4,2
"13",13,1,1093.57421875,105.739685058594,3.36646032333374,23.3126449584961,9.51296806335449,146,5,3
"14",14,2,887,107.5,0,18,7,75,5,4
"15",15,3,1179.58825683594,214.352905273438,75.9637603759766,16.4924221038818,10.1864948272705,117,5,2
"16",16,1,1094.06433105469,105.8564453125,5.71059322357178,24.3784122467041,9.6518611907959,158.5,6,3
"17",17,2,886,108,0,18,8,80,6,4
"18",18,3,1179,216,-90,20,10,130,6,2
"19",19,1,1094,106,0,22,10,147,7,3
"20",20,2,886,108,0,18,8,86.5,7,4
"21",21,3,1178.9501953125,215.149993896484,-71.5650482177734,18.6574363708496,10.7517433166504,124,7,2
"22",22,1,1094.07238769531,105.768981933594,3.3664608001709,24.3109188079834,9.27807998657227,153.5,8,3
"23",23,2,885.5,107.5,0,17,7,79,8,4
"24",24,3,1179.64990234375,218.950012207031,-81.8698959350586,15.5563497543335,10.8894453048706,115.5,8,2
"25",25,1,1095.06750488281,105.781555175781,3.1798300743103,24.2958698272705,9.42990303039551,149,9,3
"26",26,2,886.5,107.5,0,17,7,80.5,9,4
"27",27,3,1178.71166992188,220.442321777344,-78.6900634765625,16.2776393890381,11.3747367858887,120.5,9,2
"28",28,1,1096.509765625,106.401000976562,5.71059322357178,29.3535976409912,9.6518611907959,164,10,3
"29",29,2,887,108,0,16,8,80,10,4
"30",30,3,1178.29125976562,226.299133300781,-84.8055725097656,18.6503639221191,11.1358957290649,126,10,2
"31",31,1,1093.56225585938,105.753112792969,2.8624050617218,23.2709293365479,9.43820953369141,156,11,3
"32",32,2,886,108,0,18,8,83,11,4
"33",33,3,1179,229,-90,18,10,117.5,11,2
"34",34,1,1094.54821777344,105.824768066406,4.08561658859253,23.440279006958,9.4046106338501,137,12,3
"35",35,2,887.5,108,0,17,8,81.5,12,4
"36",36,3,1179.28295898438,229.610626220703,84.8055725097656,17.7450046539307,10.2305393218994,119.5,12,2
"37",37,1,1094,106,0,24,10,161,13,3
"38",38,2,887,107.5,0,18,7,79.5,13,4
"39",39,3,1180.18286132812,229.146331787109,83.6598129272461,16.8960247039795,9.82840728759766,104.5,13,2
"40",40,1,1093.5,106,0,23,10,165.5,14,3
"41",41,2,887,107,21.8014106750488,14.8556270599365,8.54198551177979,81.5,14,4
"42",42,3,1179.57702636719,230.384582519531,78.690071105957,17.4543361663818,10.394154548645,117,14,2
"43",43,1,1095.05603027344,105.877746582031,2.8624050617218,26.3670654296875,9.23845958709717,148.5,15,3
"44",44,2,887,108,0,16,8,83,15,4
"45",45,3,1178.25,228.75,71.5650482177734,17.3925247192383,9.48683166503906,112.5,15,2
"46",46,1,1093.5,105.5,0,23,9,147.5,16,3
"47",47,2,887.5,108,0,15,8,74,16,4
"48",48,3,1177,229,-90,18,10,119,16,2
"49",49,1,1093,105.5,0,24,9,152,17,3
"50",50,2,886,108,0,16,8,77.5,17,4
"51",51,3,1177,226.499969482422,63.4349517822266,16.9941158294678,10.2859125137329,121.5,17,2
"52",52,1,1094.5,106,0,23,10,140.5,18,3
"53",53,2,887,108,0,16,8,82.5,18,4
"54",54,3,1175,229.5,-90,19,10,121,18,2
"55",55,1,1094,105.5,0,24,9,155,19,3
"56",56,2,886.5,108,0,15,8,78.5,19,4
"57",57,3,1173,232.5,-90,17,10,115,19,2
"58",58,1,1093.603515625,105.741333007812,3.3664608001709,25.3679141998291,9.39552402496338,161,20,3
"59",59,2,887.5,107.5,0,17,7,76,20,4
"60",60,3,1170.89709472656,236.838195800781,-59.0362434387207,18.3503494262695,9.60391998291016,107.5,20,2
"61",61,1,1094.5,106,0,25,10,159.5,21,3
"62",62,2,887,107.5,0,16,7,83,21,4
"63",63,3,1170.23083496094,240.153778076172,-82.8749847412109,18.1090717315674,7.69015312194824,97.5,21,2
"64",64,2,1095,106,0,22,10,144.5,22,3
"65",65,3,887.5,107.5,0,15,7,77,22,4
"66",66,4,1168.70007324219,243.099945068359,-63.4349517822266,18.3357563018799,10.2859125137329,120,22,2
"67",67,1,1093.46936035156,106.246154785156,7.12501668930054,23.8146667480469,9.55067443847656,153.5,23,3
"68",68,2,887,107.5,0,16,7,82,23,4
"69",69,3,1166.5,246.5,-63.4349517822266,15.6524772644043,10.2859134674072,115,23,2
"70",70,1,1094.56604003906,105.809326171875,3.1798300743103,23.4083480834961,9.31896305084229,125.5,24,3
"71",71,2,886.5,107.5,0,19,7,68.5,24,4
"72",72,3,1166.2568359375,251.959411621094,-80.5376815795898,18.2482872009277,9.69954013824463,106.5,24,2
"73",73,1,1094.5,106,0,25,10,158.5,25,3
"74",74,2,886,107.5,0,20,7,90,25,4
"75",75,3,1166.5,255,-90,16,9,109,25,2
"76",76,1,1093.5,106,0,23,10,142.5,26,3
"77",77,2,886.5,107.5,0,17,7,76.5,26,4
"78",78,3,1165.5,261,-90,18,9,110.5,26,2
"79",79,1,1093.5,106,0,21,10,136,27,3
"80",80,2,886,108,0,18,8,85.5,27,4
"81",81,3,1166.5,265.5,-90,17,9,102,27,2
"82",82,1,886.5,107.5,0,17,7,81.5,28,4
"83",83,2,1094.13513183594,106.189147949219,9.46232128143311,25.3174438476562,9.53514099121094,158,28,3
"84",84,3,1165.5,269.5,-90,17,9,103,28,2
"85",85,1,1095.00598144531,105.889221191406,3.1798300743103,24.517749786377,9.31896305084229,147,29,3
"86",86,2,887,107.5,0,18,7,84,29,4
"87",87,3,1165,274,-90,16,8,98,29,2
"88",88,1,1095.5,105.5,0,27,9,154.5,30,3
"89",89,2,886.5,108,0,17,8,89,30,4
"90",90,3,1165.99133300781,278.646575927734,66.8014068603516,18.2515964508057,9.97929096221924,112.5,30,2
"91",91,1,1094.5126953125,105.738647460938,2.72631072998047,25.3522281646729,9.51303005218506,155,31,3
"92",92,2,886,107.5,0,18,7,76,31,4
"93",93,3,1166,284.5,-90,17,10,122,31,2
"94",94,1,1093.5,106,0,21,10,141,32,3
"95",95,2,886,107.5,0,18,7,85.5,32,4
"96",96,3,1167.10009765625,291.799987792969,71.5650482177734,20.5548076629639,9.17060565948486,115,32,2
"97",97,2,1093.61279296875,105.694519042969,3.57633447647095,23.3918571472168,9.41912174224854,147,33,3
"98",98,3,887.5,107.5,0,15,7,82,33,4
"99",99,4,1168,294.5,-90,15,10,106,33,2
"100",100,1,1094.1484375,105.720642089844,4.76364183425903,24.3323268890381,9.21804809570312,146.5,34,3
"101",101,2,885.5,108,0,19,8,90.5,34,4
"102",102,3,1169.93994140625,300.580047607422,81.8698959350586,18.101936340332,9.05096817016602,118,34,2
"103",103,1,1094.05297851562,105.811767578125,4.39870548248291,20.4779644012451,9.28027629852295,129,35,3
"104",104,2,886.5,107.5,0,17,7,83,35,4
"105",105,3,1171.61535644531,305.423156738281,56.3099365234375,15.8089561462402,9.98460388183594,106,35,2
"106",106,1,1095.10009765625,105.799987792969,3.36646056175232,26.1313018798828,9.45424556732178,156.5,36,3
"107",107,2,887,107.5,0,18,7,80,36,4
"108",108,3,1171.85986328125,311.73779296875,83.6598129272461,17.1168880462646,9.49711227416992,108.5,36,2
"109",109,1,1094.0361328125,105.776794433594,2.8624050617218,24.3196201324463,9.43820953369141,150,37,3
"110",110,2,886.5,107.5,0,17,7,83.5,37,4
"111",111,3,1174.6923828125,315.961486816406,60.2551231384277,16.496618270874,9.17856884002686,101.5,37,2
"112",112,1,1093,105.5,0,22,9,140,38,3
