"","id","x","y","alpha","major","minor","area","frame","track"
"1",1,207,118.5,0,22,9,113,1,1
"2",2,42.9615173339844,127.1923828125,56.309928894043,18.0277557373047,10.8166522979736,116.5,1,2
"3",6,49.5,526,-90,12,5,46,1,4
"4",7,202.173080444336,646.365379333496,-11.309928894043,12.7475490570068,7.0601806640625,53.5,1,3
"5",1,199,120,0,18,8,91.5,2,1
"6",2,42.8538436889648,126.869201660156,60.2551155090332,18.9773120880127,10.7910213470459,121.5,2,2
"7",5,48.5,501.5,-90,11,5,39,2,4
"8",6,182,645.5,0,12,5,41.5,2,3
"9",1,191.5,118.5,0,19,9,104,3,1
"10",2,42.9117698669434,126.852905273438,59.0362510681152,18.8648452758789,10.2899150848389,114,3,2
"11",8,47.8846168518066,487.923065185547,78.690071105957,10.7863874435425,5.29513549804688,41,3,4
"12",9,172,647,0,12,6,45.5,3,3
"13",1,186.653839111328,117.269287109375,33.6900672912598,19.1371574401855,10.2619533538818,115.5,4,1
"14",2,42.599983215332,126.199951171875,63.4349517822266,17.8885440826416,9.83869934082031,99.5,4,2
"15",5,47.0000076293945,474.999969482422,63.4349517822266,13.4164066314697,6.26099014282227,49.5,4,4
"16",6,160,647,0,16,6,56.5,4,3
"17",1,180.61540222168,117.076904296875,33.6900672912598,18.859806060791,10.5393037796021,111,5,1
"18",2,44.0294075012207,126.38232421875,-75.963752746582,17.705099105835,10.9141025543213,114.5,5,2
"19",7,47.5,464,-90,12,7,55,5,4
"20",9,145.849990844727,648.950004577637,-8.13010406494141,14.4249792098999,5.5154333114624,50,5,3
"21",1,174.809280395508,116.304138183594,23.9624900817871,20.0023193359375,9.44272041320801,109,6,1
"22",2,42.1756706237793,126.554016113281,80.5376739501953,17.2618923187256,9.69954013824463,103,6,2
"23",7,47,453.5,-90,13,6,57,6,4
"24",9,138.56999206543,649.48999786377,-8.13010406494141,13.7178726196289,6.50538301467896,54.5,6,3
"25",1,171.752777099609,116.095520019531,32.0053863525391,19.3979606628418,10.1759796142578,126,7,1
"26",2,41.799991607666,126.599914550781,63.4349517822266,16.0996894836426,9.83869934082031,96,7,2
"27",6,44.6764678955078,442.205902099609,75.9637603759766,12.8543872833252,5.57831907272339,46,7,4
"28",14,130.5,651,0,15,6,60.5,7,3
"29",1,166.740005493164,118.179992675781,-8.13010406494141,20.3646774291992,11.3137083053589,125,8,1
"30",2,42.722770690918,126.272277832031,-84.2894058227539,17.7116622924805,11.0449123382568,124,8,2
"31",8,46,434,-90,14,6,55.5,8,4
"32",14,128.029998779297,651.709999084473,-8.13010406494141,16.5462989807129,6.50538301467896,68,8,3
"33",1,161.5,117,0,21,10,117.5,9,1
"34",2,43.2615280151367,125.707702636719,-74.7448806762695,16.1378650665283,10.3492832183838,101.5,9,2
"35",8,44.1470603942871,428.088226318359,75.9637603759766,14.3096017837524,5.57831907272339,47.5,9,4
"36",14,122.5,652.5,0,19,5,55.5,9,3
"37",1,160,117,0,18,10,120.5,10,1
"38",2,41.6911888122559,125.485290527344,59.0362396240234,16.9783592224121,10.9759101867676,110,10,2
"39",6,45.5,418,90,12,5,46.5,10,4
"40",15,120.5,653.5,0,15,3,33,10,3
"41",1,156.080001831055,116.940002441406,8.13010215759277,18.5261993408203,9.4752311706543,117.5,11,1
"42",2,44.6804046630859,126.468994140625,-66.0375061035156,16.7532119750977,10.9657382965088,106,11,2
"43",6,45.5,407.5,-90,13,5,53,11,4
"44",14,120.5,653.5,0,15,3,28,11,3
"45",1,149.5,117,0,21,10,120.5,12,1
"46",2,47.5365524291992,124.329223632812,-51.3401908874512,17.3352890014648,9.37042617797852,109,12,2
"47",7,44.4411773681641,397.264678955078,75.9637603759766,12.3693170547485,5.57831907272339,46.5,12,4
"48",12,120,653.5,0,16,3,37.5,12,3
"49",1,147.5,117.5,0,19,9,122.5,13,1
"50",2,49.9999732971191,122.999938964844,-45,19.7989883422852,9.89949512481689,121,13,2
"51",6,45.1999969482422,389.599975585938,71.5650482177734,13.2815647125244,5.69209957122803,51.5,13,4
"52",15,120.5,653.5,0,17,3,32,13,3
"53",1,139.551727294922,116.120666503906,21.8014068603516,19.6837062835693,9.84185218811035,114.5,14,1
"54",2,50.2500038146973,122.25,-45,18.3847751617432,10.6066017150879,120,14,2
"55",6,44.5000228881836,382,63.4349517822266,13.8636207580566,6.26099014282227,56.5,14,4
"56",17,120.5,653.5,0,17,3,34,14,3
"57",1,135.793090820312,116.017211914062,21.8014068603516,20.0550975799561,9.47046184539795,113,15,1
"58",2,51.7926864624023,121.634155273438,-51.3401908874512,19.3655471801758,10.4636421203613,125,15,2
"59",5,45.5,378,-90,12,7,54.5,15,4
"60",16,120,653.5,0,16,3,25.5,15,3
"61",1,131,117,0,20,10,123,16,1
"62",2,56.5450820922852,122.995910644531,-5.19442749023438,17.9260749816895,10.9548244476318,116,16,2
"63",8,41.6538467407227,374.730773925781,56.3099365234375,13.5901546478271,6.37905216217041,55.5,16,4
"64",1,129.5,117,0,19,10,117.5,17,1
"65",2,59.3524436950684,119.122924804688,-39.8055686950684,20.3578643798828,10.1149139404297,116,17,2
"66",8,44.3000144958496,375.899963378906,53.1301002502441,13.0000009536743,6.19999980926514,53,17,4
"67",1,126.5,117,0,19,10,124,18,1
"68",2,62.5,122,0,17,10,106,18,2
"69",8,44,372,-90,14,6,57.5,18,4
"70",1,126,117,0,20,10,118.5,19,1
"71",2,63.7500076293945,120.249938964844,-45,17.6776695251465,9.89949417114258,111,19,2
"72",10,45,367.5,-90,15,6,67.5,19,4
"73",1,123.5,116,0,19,8,116.5,20,1
"74",2,70,119,0,16,10,105,20,2
"75",8,44.5,353.5,-90,13,5,55,20,4
"76",1,120,114.5,0,20,9,122,21,1
"77",2,73.7000274658203,118.899963378906,-26.5650482177734,17.4413299560547,9.3914852142334,109.5,21,2
"78",7,46,345.5,-90,13,6,54,21,4
"79",1,117.5,115.5,0,21,9,116.5,22,1
"80",2,77.7999572753906,118.599975585938,-26.5650482177734,14.3108339309692,9.83869934082031,97.5,22,2
"81",9,45,334,-90,14,6,61,22,4
"82",1,116.5,115,0,21,10,130,23,1
"83",2,86.5613250732422,117.910278320312,-29.0546035766602,18.1630458831787,10.2956295013428,105,23,2
"84",5,44.5,322.5,-90,13,7,62.5,23,4
"85",1,116,115,0,22,10,122,24,1
"86",2,90.6153869628906,119.423034667969,11.3099327087402,15.4931745529175,10.0019235610962,99.5,24,2
"87",5,43.5,319.5,-90,13,7,53.5,24,4
"88",1,124.5,111.5,0,17,13,131.5,25,1
"89",2,93.5802001953125,116.844299316406,-29.0546035766602,17.2888870239258,9.42147254943848,93.5,25,2
"90",8,43,312,-90,12,6,49,25,4
"91",1,125,113.5,0,18,11,124,26,1
"92",2,99.5,117.5,0,17,9,103.5,26,2
"93",7,43.961540222168,302.192291259766,-78.6900634765625,12.1591997146606,6.27571630477905,50,26,4
"94",1,114.000015258789,115.500061035156,-8.13010406494141,40.8707733154297,11.1722888946533,243.5,27,1
"95",5,46.019229888916,293.903839111328,-78.6900634765625,14.3164777755737,6.27571630477905,54,27,4
"96",1,115.338577270508,116.955200195312,-16.5043640136719,40.5181045532227,10.3337144851685,224,28,1
"97",4,46.5914649963379,283.676849365234,-83.6598052978516,14.908257484436,6.84675550460815,63,28,4
"98",1,117.147079467773,116.088195800781,-14.0362396240234,35.1676635742188,10.4290313720703,242.5,29,1
"99",4,46,278.5,-90,13,6,54,29,4
"100",1,120.56184387207,116.139099121094,-23.9624862670898,29.546573638916,11.0672731399536,235,30,1
"101",3,47.2588272094727,274.164764404297,77.47119140625,15.6189947128296,6.07405281066895,58.5,30,4
"102",1,121.736671447754,115.567993164062,-22.6198654174805,26.9230804443359,11.1538486480713,215,31,1
"103",4,48,274,-90,16,6,61,31,4
"104",1,122.900054931641,115.299987792969,-26.5650482177734,24.5967483520508,11.1803398132324,207,32,1
"105",4,48,273.5,-90,17,6,65.5,32,4
"106",1,123.811317443848,115.160339355469,-29.0546035766602,21.853931427002,10.5870151519775,178,33,1
"107",7,48,274,-90,16,6,60,33,4
"108",1,124.400001525879,115.299987792969,-26.5650482177734,22.8078899383545,10.7331256866455,187,34,1
"109",7,48,273.5,-90,15,6,55.5,34,4
"110",1,125.000030517578,116.499938964844,-45,20.5060958862305,10.6066017150879,165.5,35,1
"111",6,47.1346092224121,273.673095703125,78.690071105957,15.1009426116943,5.88348388671875,57.5,35,4
"112",1,124.499984741211,117.499938964844,-45,19.7989883422852,11.3137073516846,179,36,1
"113",7,47.5,273.5,-90,15,5,56.5,36,4
"114",1,124.250015258789,119.249938964844,-45,21.2132034301758,10.6066017150879,176,37,1
"115",6,48,272,-90,16,6,57.5,37,4
"116",1,126.5,118.5,0,23,13,183.5,38,1
"117",6,48,272.5,-90,15,6,59,38,4
"118",13,112,656.5,0,12,3,16,38,3
"119",1,125.899993896484,117.299987792969,-26.5650482177734,29.0688877105713,11.1803407669067,190,39,1
"120",7,47.5,272,-90,16,5,50.5,39,4
"121",15,112,656,0,12,4,15.5,39,3
"122",1,126.588233947754,119.147033691406,-12.52880859375,32.322639465332,11.3888502120972,223.5,40,1
"123",5,48,273.5,-90,17,6,66.5,40,4
"124",13,113.5,654,0,11,2,15,40,3
"125",1,136,117.5,0,18,9,96.5,41,2
"126",2,112.400016784668,124.299926757812,-26.5650482177734,16.5469017028809,8.9442720413208,97.5,41,1
"127",6,48,274,-90,16,6,57,41,4
"128",13,113.5,654,0,11,2,15,41,3
"129",1,140.5,117,0,19,8,83.5,42,2
"130",2,103.615386962891,131.423156738281,-33.6900634765625,16.6410064697266,9.15255355834961,101.5,42,1
"131",11,48,274,-90,16,6,60,42,4
"132",1,144.5,116.5,0,19,9,101.5,43,2
"133",2,98,132,0,18,10,108.5,43,1
"134",8,47.5,274,-90,16,5,55,43,4
"135",1,147.241577148438,114.786437988281,-32.0053825378418,16.3239669799805,11.3419771194458,109.5,44,2
"136",2,90.9411697387695,130.235290527344,14.036244392395,18.4327068328857,9.70142459869385,112,44,1
"137",5,48,273.5,-90,15,6,58,44,4
"138",1,150,116,0,18,8,97.5,45,2
"139",2,84.5769119262695,126.384704589844,33.6900634765625,20.2465591430664,9.98460388183594,109,45,1
"140",6,48,273,-90,14,6,52.5,45,4
"141",1,154.50471496582,117.391540527344,29.0546054840088,16.2204742431641,9.9071159362793,100.5,46,2
"142",2,80.5,125,0,15,10,107.5,46,1
"143",6,48,273,-90,14,6,52,46,4
"144",1,161.050003051758,117.849975585938,18.4349498748779,18.3412075042725,9.80305862426758,110,47,2
"145",2,73.1824493408203,118.844543457031,35.5376777648926,21.5058135986328,10.2297916412354,116,47,1
"146",5,45.1538314819336,264.730773925781,56.3099365234375,13.5901546478271,6.65640306472778,57.5,47,4
"147",1,164.5,117.5,0,19,9,99.5,48,2
"148",2,71,121,0,18,10,116,48,1
"149",5,40.9954872131348,252.212677001953,64.6538238525391,23.7825756072998,6.84938144683838,72,48,4
"150",1,167.219528198242,117.524291992188,6.34019136428833,18.4420680999756,11.15358543396,117,49,2
"151",2,68.378173828125,120.705627441406,4.08561658859253,19.521692276001,10.0458335876465,112,49,1
"152",5,45,245.5,-90,13,6,57,49,4
"153",1,170,116.5,0,18,9,94.5,50,2
"154",2,68.711784362793,118.752990722656,40.6012992858887,19.6322059631348,10.6295928955078,130.5,50,1
"155",5,43.9459419250488,236.175659179688,80.5376739501953,12.4943227767944,5.42516660690308,46.5,50,4
"156",1,175,116.5,0,18,9,98.5,51,2
"157",2,68.5,120,0,19,10,119,51,1
"158",5,42.5,225.5,-90,17,7,66,51,4
"159",1,179.5,116.5,0,17,9,104.5,52,2
"160",2,69.5,120,0,19,8,108.5,52,1
"161",3,44.5,212,-90,12,5,44,52,4
"162",1,184,117,0,18,10,110.5,53,2
"163",2,67.5,123.5,0,17,9,104,53,1
"164",3,44,201,-90,14,6,54,53,4
"165",1,186,117,0,18,10,113.5,54,2
"166",2,65.5,125,0,17,10,113.5,54,1
"167",4,42.4999923706055,195.499938964844,71.5650482177734,12.6491107940674,5.05964469909668,38,54,4
"168",1,192,118,0,18,8,100.5,55,2
"169",2,60.7500381469727,131.749938964844,-45,18.3847770690918,9.19238758087158,115.5,55,1
"170",3,40.1000022888184,179.199951171875,63.4349517822266,19.2301826477051,6.26099014282227,57.5,55,4
"171",1,199.100051879883,119.799926757812,26.5650501251221,15.2052612304688,10.2859125137329,94.5,56,2
"172",2,52.7800064086914,138.039978027344,-36.8698997497559,21.2000007629395,9,118.5,56,1
"173",4,43.5,170.5,-90,13,7,64,56,4
"174",1,204.112380981445,118.820190429688,32.0053863525391,16.3239669799805,10.8119783401489,106.5,57,2
"175",2,50.6538162231445,141.730834960938,-33.6900634765625,20.2465591430664,9.70725345611572,130,57,1
"176",3,42,160.5,-90,19,6,83.5,57,4
"177",1,209.400039672852,119.699951171875,26.5650501251221,15.65247631073,11.627552986145,108,58,2
"178",2,49.4000015258789,142.200012207031,-18.434944152832,16.4438438415527,11.3842010498047,120,58,1
"179",5,42.8461532592773,171.230773925781,78.690071105957,10.5902719497681,5.0990195274353,36,58,4
"180",1,213.235321044922,119.058837890625,14.036244392395,16.4924221038818,10.1864948272705,105,59,2
"181",2,49.1999969482422,147.099975585938,-63.4349517822266,20.5718250274658,9.3914852142334,118,59,1
"182",5,41.5,191.5,-90,13,9,66.5,59,4
"183",1,218.5,117.5,0,17,9,95.5,60,2
"184",2,46.8318672180176,150.477844238281,-48.8140716552734,19.5669937133789,9.97164154052734,114.5,60,1
"185",4,44.9399719238281,195.080017089844,36.8698959350586,12.3999996185303,5.40000009536743,31.5,60,4
"186",1,225,118.5,0,16,9,94.5,61,2
"187",2,46.9999847412109,158.5,-56.3099327087402,20.2465591430664,9.98460388183594,136,61,1
"188",4,46.2499732971191,204.749938964844,45,12.7279205322266,6.36396026611328,48.5,61,4
"189",1,228.5,117.5,0,19,9,102.5,62,2
"190",2,45.1235122680664,162.105834960938,-49.3987007141113,18.8729496002197,10.0872669219971,128.5,62,1
"191",5,47.2560920715332,211.195098876953,51.3401947021484,12.1815538406372,6.09077644348145,49.5,62,4
"192",1,233.224365234375,120.680541992188,24.7751426696777,18.9973030090332,10.2669258117676,112,63,2
"193",2,43.8414649963379,167.073120117188,-51.3401908874512,20.9272842407227,10.4636421203613,126,63,1
