day,hour,camera,arena,infection.status,track,distance.traveled.pixels,tot.distance.cm,frames,minutes.moving,minutes.staying,speed.cmxmin,tot.distance.m,seconds.moving,speed.mxsec,speed.cmxsec
day 1,hour 1,cam 1,arena 1,infected,1,25347.58178,670.65,12848,57.3,1.5,11.7,6.7065,429.6989967,0.02,1.56
day 1,hour 1,cam 1,arena 1,infected,2,34542.22281,913.93,11623,51.8,7,17.6,9.1393,388.729097,0.02,2.35
day 1,hour 1,cam 1,arena 1,control,3,0,0,0,0,58.8,NA,0,0,NA,NA
day 1,hour 1,cam 1,arena 1,control,4,52928.59776,1400.4,13187,58.8,0,23.8,14.004,441.0367893,0.03,3.18
day 1,hour 1,cam 2,arena 2,infected,1,26767.95622,708.24,13305,59.3,0,11.9,7.0824,444.9832776,0.02,1.59
day 1,hour 1,cam 2,arena 2,infected,2,19034.45993,503.62,13044,58.2,1.2,8.7,5.0362,436.2541806,0.01,1.15
day 1,hour 1,cam 2,arena 2,control,3,38611.82862,1021.6,12352,55.1,4.2,18.5,10.216,413.1103679,0.02,2.47
day 1,hour 1,cam 2,arena 2,control,4,22227.70887,588.11,13283,59.2,0.1,9.9,5.8811,444.2474916,0.01,1.32
day 1,hour 1,cam 3,arena 3,infected,1,26835.16835,710.01,11731,52.3,4.2,13.6,7.1001,392.3411371,0.02,1.81
day 1,hour 1,cam 3,arena 3,infected,2,27810.67977,735.82,12677,56.5,0,13,7.3582,423.9799331,0.02,1.74
day 1,hour 1,cam 3,arena 3,control,3,24055.17997,636.46,11991,53.5,3.1,11.9,6.3646,401.0367893,0.02,1.59
day 1,hour 1,cam 3,arena 3,control,4,34839.07211,921.78,11884,53,3.5,17.4,9.2178,397.458194,0.02,2.32
day 1,hour 1,cam 4,arena 4,infected,1,22110.12972,585,13406,59.8,0,9.8,5.85,448.361204,0.01,1.3
day 1,hour 1,cam 4,arena 4,infected,2,33827.26174,895.01,13294,59.3,0.5,15.1,8.9501,444.6153846,0.02,2.01
day 1,hour 1,cam 4,arena 4,control,3,31996.59477,846.58,13180,58.8,1,14.4,8.4658,440.8026756,0.02,1.92
day 1,hour 1,cam 4,arena 4,control,4,0,0,1534,6.8,52.9,0,0,51.30434783,0,0
day 2,hour 1,cam 1,arena 5,infected,1,48007.91085,1270.21,12216,54.5,0,23.3,12.7021,408.5618729,0.03,3.11
day 2,hour 1,cam 1,arena 5,infected,2,40677.01073,1076.25,11011,49.1,5.4,21.9,10.7625,368.2608696,0.03,2.92
day 2,hour 1,cam 1,arena 5,control,3,40015.4152,1058.74,11519,51.4,3.1,20.6,10.5874,385.2508361,0.03,2.75
day 2,hour 1,cam 1,arena 5,control,4,28076.357,742.85,5810,25.9,28.6,28.7,7.4285,194.3143813,0.04,3.82
day 2,hour 1,cam 2,arena 6,infected,1,37001.02763,978.99,11700,52.2,3.8,18.8,9.7899,391.3043478,0.03,2.5
day 2,hour 1,cam 2,arena 6,infected,2,0,0,0,0,56,NA,0,0,NA,NA
day 2,hour 1,cam 2,arena 6,control,3,24700.14408,653.52,12556,56,0,11.7,6.5352,419.9331104,0.02,1.56
day 2,hour 1,cam 2,arena 6,control,4,0,0,9298,41.5,14.5,0,0,310.9698997,0,0
day 2,hour 1,cam 3,arena 7,infected,1,27370.48037,724.18,9873,44,10.1,16.5,7.2418,330.2006689,0.02,2.19
day 2,hour 1,cam 3,arena 7,infected,2,28674.15255,758.67,12144,54.2,0,14,7.5867,406.1538462,0.02,1.87
day 2,hour 1,cam 3,arena 7,control,3,32181.48521,851.47,10583,47.2,7,18,8.5147,353.9464883,0.02,2.41
day 2,hour 1,cam 3,arena 7,control,4,27208.23247,719.88,11588,51.7,2.5,13.9,7.1988,387.5585284,0.02,1.86
day 2,hour 1,cam 4,arena 8,infected,1,41135.76755,1088.38,13160,58.7,0,18.5,10.8838,440.1337793,0.02,2.47
day 2,hour 1,cam 4,arena 8,infected,2,19573.44823,517.88,6451,28.8,29.9,18,5.1788,215.7525084,0.02,2.4
day 2,hour 1,cam 4,arena 8,control,3,0,0,9543,42.6,16.1,0,0,319.1638796,0,0
day 2,hour 1,cam 4,arena 8,control,4,20083.16819,531.37,12336,55,3.7,9.7,5.3137,412.5752508,0.01,1.29
day 3,hour 1,cam 1,arena 9,infected,1,18547.79445,490.74,13254,59.1,0.3,8.3,4.9074,443.277592,0.01,1.11
day 3,hour 1,cam 1,arena 9,infected,2,31290.74715,827.9,12441,55.5,3.9,14.9,8.279,416.0869565,0.02,1.99
day 3,hour 1,cam 1,arena 9,control,3,20274.74538,536.44,13326,59.4,0,9,5.3644,445.6856187,0.01,1.2
day 3,hour 1,cam 1,arena 9,control,4,0,0,10231,45.6,13.8,0,0,342.173913,0,0
day 3,hour 1,cam 2,arena 10,infected,1,41400.73385,1095.39,12961,57.8,2,19,10.9539,433.4782609,0.03,2.53
day 3,hour 1,cam 2,arena 10,infected,2,22586.99808,597.61,13016,58,1.7,10.3,5.9761,435.3177258,0.01,1.37
day 3,hour 1,cam 2,arena 10,control,3,19523.13562,516.55,13401,59.8,0,8.6,5.1655,448.1939799,0.01,1.15
day 3,hour 1,cam 2,arena 10,control,4,20791.13084,550.1,12332,55,4.8,10,5.501,412.4414716,0.01,1.33
day 3,hour 1,cam 3,arena 11,infected,1,23602.98674,624.5,13150,58.6,0,10.7,6.245,439.7993311,0.01,1.42
day 3,hour 1,cam 3,arena 11,infected,2,0,0,12529,55.9,2.8,0,0,419.0301003,0,0
day 3,hour 1,cam 3,arena 11,control,3,24170.4675,639.51,12912,57.6,1.1,11.1,6.3951,431.8394649,0.01,1.48
day 3,hour 1,cam 3,arena 11,control,4,48114.23071,1273.02,11136,49.7,9,25.6,12.7302,372.4414716,0.03,3.42
day 3,hour 1,cam 4,arena 12,infected,1,31766.04193,840.48,12191,54.4,4.1,15.5,8.4048,407.7257525,0.02,2.06
day 3,hour 1,cam 4,arena 12,infected,2,23963.29581,634.03,13026,58.1,0.4,10.9,6.3403,435.6521739,0.01,1.46
day 3,hour 1,cam 4,arena 12,control,3,24508.76467,648.46,13112,58.5,0,11.1,6.4846,438.5284281,0.01,1.48
day 3,hour 1,cam 4,arena 12,control,4,37247.8302,985.52,11157,49.8,8.7,19.8,9.8552,373.1438127,0.03,2.64
day 4,hour 1,cam 1,arena 13,infected,1,24624.49247,651.52,13403,59.8,0,10.9,6.5152,448.2608696,0.01,1.45
day 4,hour 1,cam 1,arena 13,infected,2,69727.82925,1844.88,13227,59,0.8,31.3,18.4488,442.3745819,0.04,4.17
day 4,hour 1,cam 1,arena 13,control,3,0,0,13055,58.2,1.6,0,0,436.6220736,0,0
day 4,hour 1,cam 1,arena 13,control,4,42565.14043,1126.2,13140,58.6,1.2,19.2,11.262,439.4648829,0.03,2.56
day 4,hour 1,cam 2,arena 14,infected,1,29586.30962,782.8,12990,57.9,0,13.5,7.828,434.4481605,0.02,1.8
day 4,hour 1,cam 2,arena 14,infected,2,30661.71434,811.26,12782,57,0.9,14.2,8.1126,427.4916388,0.02,1.9
day 4,hour 1,cam 2,arena 14,control,3,45235.48103,1196.86,12697,56.6,1.3,21.1,11.9686,424.6488294,0.03,2.82
day 4,hour 1,cam 2,arena 14,control,4,48932.49459,1294.67,12426,55.4,2.5,23.4,12.9467,415.5852843,0.03,3.12
day 4,hour 1,cam 3,arena 15,infected,1,0,0,12479,55.6,2.7,0,0,417.3578595,0,0
day 4,hour 1,cam 3,arena 15,infected,2,0,0,12983,57.9,0.4,0,0,434.2140468,0,0
day 4,hour 1,cam 3,arena 15,control,3,46144.64925,1220.91,13081,58.3,0,20.9,12.2091,437.4916388,0.03,2.79
day 4,hour 1,cam 3,arena 15,control,4,77882.96389,2060.65,12728,56.8,1.6,36.3,20.6065,425.6856187,0.05,4.84
day 4,hour 1,cam 4,arena 16,infected,1,42181.70902,1116.06,13250,59.1,0.5,18.9,11.1606,443.1438127,0.03,2.52
day 4,hour 1,cam 4,arena 16,infected,2,41473.586,1097.32,13364,59.6,0,18.4,10.9732,446.9565217,0.02,2.46
day 4,hour 1,cam 4,arena 16,control,3,52826.05051,1397.69,13100,58.4,1.2,23.9,13.9769,438.1270903,0.03,3.19
day 4,hour 1,cam 4,arena 16,control,4,0,0,13185,58.8,0.8,0,0,440.9698997,0,0
day 5,hour 1,cam 1,arena 17,infected,1,32756.27741,866.68,13346,59.5,0,14.6,8.6668,446.3545151,0.02,1.94
day 5,hour 1,cam 1,arena 17,infected,2,45471.58033,1203.1,13313,59.4,0.1,20.3,12.031,445.2508361,0.03,2.7
day 5,hour 1,cam 1,arena 17,control,3,15636.63327,413.72,5056,22.5,37,18.4,4.1372,169.09699,0.02,2.45
day 5,hour 1,cam 1,arena 17,control,4,66800.36805,1767.43,13119,58.5,1,30.2,17.6743,438.7625418,0.04,4.03
day 5,hour 1,cam 2,arena 18,infected,1,30415.87993,804.75,13296,59.3,0,13.6,8.0475,444.6822742,0.02,1.81
day 5,hour 1,cam 2,arena 18,infected,2,26824.65829,709.74,13213,58.9,0.4,12,7.0974,441.9063545,0.02,1.61
day 5,hour 1,cam 2,arena 18,control,3,34725.56508,918.78,12692,56.6,2.7,16.2,9.1878,424.4816054,0.02,2.16
day 5,hour 1,cam 2,arena 18,control,4,35048.20292,927.32,13090,58.4,0.9,15.9,9.2732,437.7926421,0.02,2.12
day 5,hour 1,cam 3,arena 19,infected,1,44501.73211,1177.44,13255,59.1,0,19.9,11.7744,443.3110368,0.03,2.66
day 5,hour 1,cam 3,arena 19,infected,2,59954.79596,1586.3,12824,57.2,1.9,27.7,15.863,428.8963211,0.04,3.7
day 5,hour 1,cam 3,arena 19,control,3,60084.5508,1589.74,12664,56.5,2.6,28.1,15.8974,423.5451505,0.04,3.75
day 5,hour 1,cam 3,arena 19,control,4,54093.20667,1431.22,13258,59.1,0,24.2,14.3122,443.4113712,0.03,3.23
day 5,hour 1,cam 4,arena 20,infected,1,33112.12354,876.09,13193,58.8,0.2,14.9,8.7609,441.2374582,0.02,1.99
day 5,hour 1,cam 4,arena 20,infected,2,39860.21415,1054.63,13232,59,0.1,17.9,10.5463,442.541806,0.02,2.38
day 5,hour 1,cam 4,arena 20,control,3,34678.85622,917.54,13244,59.1,0,15.5,9.1754,442.9431438,0.02,2.07
day 5,hour 1,cam 4,arena 20,control,4,54064.62185,1430.46,12850,57.3,1.8,25,14.3046,429.7658863,0.03,3.33
day 6,hour 1,cam 1,arena 21,infected,1,44135.91209,1167.76,13202,58.9,0.4,19.8,11.6776,441.5384615,0.03,2.64
day 6,hour 1,cam 1,arena 21,infected,2,44418.02359,1175.23,13006,58,1.2,20.3,11.7523,434.9832776,0.03,2.7
