repeticion,grupo,raton,semana,fecha,Viv1t,Mue1t,Viv2t,Mue2t,Viv3t,Mue3t,Viv4t,Mue4t,Viv5t,Mue5t,Vivmt,Muemt,Vivht,Mueht,Vivtt,Muett
piloto,control,1,0,10/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,control,1,1,17/03/2014,8,2,30,0,0,0,0,0,0,0,0,0,0,0,38,2
piloto,control,1,2,24/03/2014,0,0,5,3,30,0,0,0,0,0,0,0,0,0,35,5
piloto,control,1,3,31/03/2014,0,0,0,0,15,0,20,0,0,0,0,0,0,0,35,5
piloto,control,1,4,07/04/2014,0,0,0,0,9,1,20,0,5,0,0,0,0,0,34,6
piloto,control,1,5,14/04/2014,0,0,0,0,5,0,19,1,8,0,0,0,0,0,33,7
piloto,control,1,6,21/04/2014,0,0,0,0,2,0,18,0,13,0,0,0,0,0,33,7
piloto,control,1,7,28/04/2014,0,0,0,0,2,0,15,2,12,2,0,0,0,0,29,11
piloto,control,1,8,05/05/2014,0,0,0,0,2,0,14,1,10,1,1,0,0,0,27,13
piloto,control,1,9,12/05/2014,0,0,0,0,1,0,13,0,12,0,1,0,0,0,27,13
piloto,control,1,10,19/05/2014,0,0,0,0,0,0,10,1,9,1,2,0,4,0,25,15
piloto,control,1,11,26/05/2014,0,0,0,0,0,0,5,6,2,7,2,0,4,0,13,27
piloto,control,1,12,02/06/2014,0,0,0,0,0,0,3,2,2,0,2,0,4,0,11,29
piloto,control,1,13,09/06/2014,0,0,0,0,0,0,2,0,2,0,2,0,5,0,11,29
piloto,control,1,14,16/06/2014,0,0,0,0,0,0,2,0,1,0,2,0,6,0,11,29
piloto,control,1,15,23/06/2014,0,0,0,0,0,0,2,0,0,0,2,0,7,0,11,29
piloto,control,1,16,30/06/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,1,10,30
piloto,control,1,17,07/07/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,18,14/07/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,19,21/07/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,20,28/07/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,21,04/08/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,22,11/08/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,23,18/08/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,24,25/08/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,25,01/09/2014,0,0,0,0,0,0,2,0,0,0,2,0,6,0,10,30
piloto,control,1,26,08/09/2014,0,0,0,0,0,0,2,0,0,0,1,1,5,1,8,32
piloto,control,1,27,15/09/2014,0,0,0,0,0,0,1,0,0,1,1,0,4,1,6,34
piloto,control,1,28,22/09/2014,0,0,0,0,0,0,0,1,0,0,1,0,4,0,5,35
piloto,control,1,29,29/09/2014,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,36
piloto,control,1,30,06/10/2014,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,36
piloto,control,1,31,13/10/2014,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,37
piloto,control,1,32,20/10/2014,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37
piloto,control,1,33,27/10/2014,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37
piloto,control,1,34,03/11/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,38
piloto,control,1,35,10/11/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,36,17/11/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,37,24/11/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,38,01/12/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,39,08/12/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,40,15/12/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,41,22/12/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,42,29/12/2014,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,43,05/01/2015,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,44,12/01/2015,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,45,19/01/2015,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,46,26/01/2015,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,38
piloto,control,1,47,02/02/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,39
piloto,control,1,48,09/02/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39
piloto,control,1,49,16/02/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39
piloto,control,1,50,23/02/2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
piloto,control,1,51,02/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,control,1,52,09/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,control,1,53,16/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,control,1,54,23/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,control,1,55,30/03/2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
piloto,infectado,2,0,10/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,infectado,2,1,17/03/2014,8,4,28,0,0,0,0,0,0,0,0,0,0,0,36,4
piloto,infectado,2,2,24/03/2014,2,0,4,2,26,2,0,0,0,0,0,0,0,0,32,8
piloto,infectado,2,3,31/03/2014,0,2,0,0,15,0,15,0,0,0,0,0,0,0,30,10
piloto,infectado,2,4,07/04/2014,0,0,0,0,9,0,20,0,1,0,0,0,0,0,30,10
piloto,infectado,2,5,14/04/2014,0,0,0,0,3,1,18,0,8,0,0,0,0,0,30,10
piloto,infectado,2,6,21/04/2014,0,0,0,0,2,1,13,0,13,0,0,0,0,0,28,12
piloto,infectado,2,7,28/04/2014,0,0,0,0,2,0,12,0,14,0,0,0,0,0,28,12
piloto,infectado,2,8,05/05/2014,0,0,0,0,2,0,11,0,9,0,4,0,2,0,28,12
piloto,infectado,2,9,12/05/2014,0,0,0,0,1,1,9,0,7,0,5,0,5,0,27,13
piloto,infectado,2,10,19/05/2014,0,0,0,0,0,0,4,0,3,2,8,1,9,0,24,16
piloto,infectado,2,11,26/05/2014,0,0,0,0,0,0,0,1,4,0,9,0,10,0,23,17
piloto,infectado,2,12,02/06/2014,0,0,0,0,0,0,0,0,4,0,9,0,10,0,23,17
piloto,infectado,2,13,09/06/2014,0,0,0,0,0,0,0,0,2,2,9,0,10,0,21,19
piloto,infectado,2,14,16/06/2014,0,0,0,0,0,0,0,0,2,0,9,0,10,0,21,19
piloto,infectado,2,15,23/06/2014,0,0,0,0,0,0,0,0,2,0,9,0,10,0,21,19
piloto,infectado,2,16,30/06/2014,0,0,0,0,0,0,0,0,2,0,9,0,9,1,20,20
piloto,infectado,2,17,07/07/2014,0,0,0,0,0,0,0,0,2,0,9,0,9,0,20,20
piloto,infectado,2,18,14/07/2014,0,0,0,0,0,0,0,0,2,0,9,0,9,0,20,20
piloto,infectado,2,19,21/07/2014,0,0,0,0,0,0,0,0,2,0,9,0,9,0,20,20
piloto,infectado,2,20,28/07/2014,0,0,0,0,0,0,0,0,2,0,9,0,9,0,20,20
piloto,infectado,2,21,04/08/2014,0,0,0,0,0,0,0,0,1,1,9,0,6,3,16,24
piloto,infectado,2,22,11/08/2014,0,0,0,0,0,0,0,0,1,0,9,0,6,0,16,24
piloto,infectado,2,23,18/08/2014,0,0,0,0,0,0,0,0,0,1,9,0,6,0,15,25
piloto,infectado,2,24,25/08/2014,0,0,0,0,0,0,0,0,0,0,7,2,6,0,13,27
piloto,infectado,2,25,01/09/2014,0,0,0,0,0,0,0,0,0,0,7,0,6,0,13,27
piloto,infectado,2,26,08/09/2014,0,0,0,0,0,0,0,0,0,0,6,1,6,0,12,28
piloto,infectado,2,27,15/09/2014,0,0,0,0,0,0,0,0,0,0,6,0,6,0,12,28
piloto,infectado,2,28,22/09/2014,0,0,0,0,0,0,0,0,0,0,6,0,6,0,12,28
piloto,infectado,2,29,29/09/2014,0,0,0,0,0,0,0,0,0,0,6,0,5,1,11,29
piloto,infectado,2,30,06/10/2014,0,0,0,0,0,0,0,0,0,0,6,0,4,1,10,30
piloto,infectado,2,31,13/10/2014,0,0,0,0,0,0,0,0,0,0,6,0,4,0,10,30
piloto,infectado,2,32,20/10/2014,0,0,0,0,0,0,0,0,0,0,6,0,3,1,9,31
piloto,infectado,2,33,27/10/2014,0,0,0,0,0,0,0,0,0,0,6,0,3,0,9,31
piloto,infectado,2,34,03/11/2014,0,0,0,0,0,0,0,0,0,0,6,0,3,0,9,31
piloto,infectado,2,35,10/11/2014,0,0,0,0,0,0,0,0,0,0,6,0,1,2,7,33
piloto,infectado,2,36,17/11/2014,0,0,0,0,0,0,0,0,0,0,6,0,0,1,6,34
piloto,infectado,2,37,24/11/2014,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,34
piloto,infectado,2,38,01/12/2014,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,34
piloto,infectado,2,39,08/12/2014,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,34
piloto,infectado,2,40,15/12/2014,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,34
piloto,infectado,2,41,22/12/2014,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,35
piloto,infectado,2,42,29/12/2014,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,35
piloto,infectado,2,43,05/01/2015,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,36
piloto,infectado,2,44,12/01/2015,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,36
piloto,infectado,2,45,19/01/2015,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,36
piloto,infectado,2,46,26/01/2015,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,36
