"","idnum","threeperiod","infected","eggs.sums","hatch.sums","alive.sums"
"1",1,1,0,22,18,3
"2",1,2,0,27,24,3
"3",1,3,0,19,16,3
"4",1,4,0,8,7,3
"5",1,5,0,1,5,3
"6",1,6,0,0,0,1
"7",2,1,0,15,13,3
"8",2,2,0,10,9,3
"9",2,3,0,12,10,3
"10",2,4,0,6,3,3
"11",2,5,0,3,0,3
"12",2,6,0,0,0,1
"13",3,1,0,11,10,2
"14",4,1,0,14,8,3
"15",4,2,0,14,6,3
"16",4,3,0,8,2,3
"17",4,4,0,2,0,3
"18",4,5,0,0,0,3
"19",4,6,0,0,0,3
"20",4,7,0,0,0,3
"21",4,8,0,0,0,3
"22",4,9,0,0,0,3
"23",4,10,0,0,0,1
"24",5,1,0,0,0,1
"25",6,1,0,15,9,3
"26",6,2,0,14,6,3
"27",6,3,0,0,0,1
"28",7,1,0,28,10,3
"29",7,2,0,3,0,3
"30",7,3,0,13,3,3
"31",7,4,0,0,0,3
"32",7,5,0,0,0,3
"33",7,6,0,0,0,3
"34",8,1,0,12,8,3
"35",8,2,0,14,9,3
"36",8,3,0,7,6,3
"37",8,4,0,7,2,3
"38",8,5,0,0,0,2
"39",9,1,0,0,0,3
"40",9,2,0,0,0,3
"41",9,3,0,0,0,3
"42",9,4,0,0,0,3
"43",9,5,0,0,0,1
"44",10,1,0,19,14,3
"45",10,2,0,1,0,3
"46",10,3,0,0,0,3
"47",10,4,0,0,0,2
"48",11,1,0,11,8,3
"49",11,2,0,13,9,3
"50",11,3,0,6,5,3
"51",11,4,0,0,0,3
"52",11,5,0,1,0,2
"53",12,1,0,19,13,3
"54",12,2,0,22,18,3
"55",12,3,0,2,2,3
"56",13,1,0,24,23,3
"57",13,2,0,6,5,3
"58",13,3,0,5,1,3
"59",13,4,0,0,0,3
"60",13,5,0,2,0,3
"61",13,6,0,1,0,3
"62",13,7,0,0,0,3
"63",13,8,0,0,0,1
"64",14,1,0,24,17,3
"65",14,2,0,20,12,3
"66",14,3,0,29,19,3
"67",14,4,0,15,12,3
"68",14,5,0,16,5,3
"69",14,6,0,17,8,3
"70",14,7,0,20,10,3
"71",14,8,0,15,7,3
"72",14,9,0,1,1,1
"73",15,1,0,20,19,3
"74",15,2,0,1,1,3
"75",15,3,0,0,0,2
"76",16,1,0,15,13,3
"77",16,2,0,23,23,3
"78",16,3,0,10,6,3
"79",16,4,0,8,8,3
"80",16,5,0,0,0,2
"81",17,1,0,14,13,3
"82",17,2,0,25,19,3
"83",17,3,0,15,13,3
"84",17,4,0,15,12,3
"85",17,5,0,7,3,3
"86",17,6,0,3,2,3
"87",17,7,0,0,0,3
"88",17,8,0,0,0,3
"89",17,9,0,0,0,3
"90",17,10,0,0,0,3
"91",18,1,0,21,19,3
"92",18,2,0,11,10,3
"93",18,3,0,13,9,3
"94",18,4,0,6,5,3
"95",18,5,0,0,0,3
"96",18,6,0,0,0,3
"97",18,7,0,0,0,2
"98",19,1,0,14,12,3
"99",19,2,0,16,12,3
"100",19,3,0,12,11,3
"101",19,4,0,15,14,3
"102",19,5,0,1,0,3
"103",19,6,0,0,0,2
"104",20,1,0,17,16,3
"105",20,2,0,2,0,3
"106",20,3,0,0,0,3
"107",20,4,0,9,6,3
"108",20,5,0,0,0,3
"109",20,6,0,0,0,3
"110",20,7,0,0,0,3
"111",20,8,0,0,0,3
"112",21,1,0,0,0,3
"113",21,2,0,0,0,3
"114",21,3,0,4,0,3
"115",21,4,0,0,0,3
"116",21,5,0,0,0,2
"117",22,1,0,11,6,3
"118",22,2,0,3,2,3
"119",22,3,0,9,0,3
"120",22,4,0,7,0,3
"121",22,5,0,2,0,3
"122",22,6,0,1,0,3
"123",22,7,0,0,0,3
"124",22,8,0,0,0,1
"125",23,1,0,5,5,3
"126",23,2,0,20,17,3
"127",23,3,0,6,4,3
"128",23,4,0,0,0,3
"129",23,5,0,3,0,3
"130",24,1,0,15,14,3
