Nro_ pareja,Procedencia,Fecha_Inicio_ Pareja,s1_p,s1_v,s2_p,s2_v,s3_p,s3_v,s4_p,s4_v,s5_p,s5_v,s6_p,s6_v,s7_p,s7_v,s8_p,s8_v,s9_p,s9_v,s10_p,s10_v,s11_p,s11_v,s12_p,s12_v,s13_p,s13_v,s14_p,s14_v,s15_p,s15_v,s16_p,s16_v,s17_p,s17_v,s18_p,s18_v,s19_p,s19_v,s20_p,s20_v,s21_p,s21_v,s22_p,s22_v,s23_p,s23_v,s24_p,s24_v,s25_p,s25_v,s26_p,s26_v,s27_p,s27_v,s28_p,s28_v,s29_p,s29_v,s30_p,s30_v,s31_p,s31_v,s32_p,s32_v,s33_p,s33_v,s34_p,s34_v,Longevidad,Nro_semanas_postura,tot_huevos_puestos_ x_ pareja,tot_huevos_viables_x_pareja,%_viablilidad
P1,CO,23/05/2014,0,,0,,0,,4,3,2,1,1,1,6,4,3,1,2,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,18,10,56%
P2,CO,23/05/2014,0,,3,0,3,0,6,2,4,2,6,4,6,3,5,3,0,,0,,0,,3,0,5,0,4,1,2,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,47,15,32%
P3,CO,29/05/2014,4,1,2,0,2,1,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,17,7,41%
P4,CO,29/05/2014,3,2,8,6,8,3,0,,8,5,10,6,9,6,6,5,1,1,6,3,10,10,11,4,7,3,11,6,8,5,4,1,17,7,12,2,11,4,4,2,5,3,10,3,2,1,,,,,,,,,,,,,,,,,,,,,,,24,23,171,88,51%
P5,CO,9/6/2014,0,,0,,1,1,1,1,3,3,4,3,7,6,3,1,5,4,2,1,2,1,8,5,11,8,8,6,7,5,5,5,9,8,4,2,6,2,1,0,0,,0,,0,,0,,4,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,35,34,91,63,69%
P6,CO,19/06/2014,0,,0,,4,3,1,1,2,2,5,4,3,1,3,3,8,6,5,1,7,4,6,5,7,4,2,1,4,3,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,63,41,65%
P7,CO,26/06/2014,0,,2,2,1,1,1,0,0,,0,,8,8,7,2,6,4,6,2,5,1,7,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,44,24,55%
P8,CO,30/06/2014,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,1,0,0%
P9,CO,30/06/2014,2,2,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,2,100%
P10,CO,7/7/2014,2,0,4,4,5,4,4,3,1,1,10,9,10,6,6,6,15,14,10,10,10,10,7,7,4,4,2,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,25,24,90,79,88%
