"","id","parents","infected","start","week","date","eggs","hatch","alive","mouse","procedencia","trial","idnum","perferc","avtemphigh","avtemplow","avtemp","tempmax","tempmin","tempdiff","avhumhigh","avhumlow","avhum","hummax","hummin","humdiff","eggevent","hatchevent","egg_total","hatch_total","mouseidnum","lifespan","avtemp_total","avlowtemp_total","avhightemp_total","avhum_total","avlowhum_total","avhighhum_total","hightemp_total","highhum_total","lowtemp_total","lowhum_total"
"1","P1-2","P1","0",2014-11-20,"1",2014-11-27,6,3,1,"CO-A-2","CO-A",2,1,0.5,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,77,70,1,16,26.8616145833333,25.9803125,27.7429166666667,42.4739583333333,38.0083333333333,46.9395833333333,36.3,70,22.6,22.6
"2","P2-2","P2","0",2014-11-20,"1",2014-11-27,2,2,1,"CO-A-2","CO-A",2,2,1,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,46,35,1,16,26.8616145833333,25.9803125,27.7429166666667,42.4739583333333,38.0083333333333,46.9395833333333,36.3,70,22.6,22.6
"3","P3-2","P3","0",2014-11-27,"1",2014-12-04,5,4,1,"CO-A-2","CO-A",2,3,0.8,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,11,10,1,2,28.8625,28.0825,29.6425,30.4875,27.5,33.475,30.2,37,27.4,27.4
"4","P4-2","P4","0",2014-11-27,"1",2014-12-04,4,2,1,"CO-A-2","CO-A",2,4,0.5,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,38,16,1,28,26.3666369047619,25.5646428571429,27.168630952381,45.7886904761905,39.7672619047619,51.810119047619,36.3,72,22.6,22.6
"5","P5-2","P5","0",2014-12-04,"1",2014-12-11,0,NA,1,"CO-A-2","CO-A",2,5,NA,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,0,NA,0,0,1,1,28.875,28.025,29.725,32.375,29,35.75,30.2,37,27.4,27.4
"6","P6-2","P6","0",2014-12-04,"1",2014-12-11,0,NA,1,"CO-A-2","CO-A",2,6,NA,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,0,NA,29,15,1,7,27.6308333333333,26.4778571428571,28.7838095238095,34.1404761904762,28.9333333333333,39.347619047619,36.3,68,23.1,23.1
"7","P7-2","P7","0",2014-12-04,"1",2014-12-11,9,9,1,"CO-A-2","CO-A",2,7,1,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,1,44,13,1,18,26.2081018518519,25.3802777777778,27.0359259259259,48.037962962963,42.9962962962963,53.0796296296296,36.3,72,22.6,22.6
"8","P8-2","P8","0",2014-12-11,"1",2014-12-18,2,2,1,"CO-A-2","CO-A",2,8,1,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,1,1,40,25,1,14,26.3643452380952,25.4928571428571,27.2358333333333,46.5220238095238,41.552380952381,51.4916666666667,36.3,70,22.6,22.6
"9","P9-2","P9","0",2014-12-11,"1",2014-12-18,0,NA,1,"CO-A-2","CO-A",2,9,NA,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,0,NA,0,0,1,13,26.4839102564103,25.6015384615385,27.3662820512821,45.4160256410256,40.5333333333333,50.298717948718,36.3,70,22.6,22.6
"10","P10-2","P10","0",2014-12-11,"1",2014-12-18,4,4,1,"CO-A-2","CO-A",2,10,1,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,1,1,20,14,1,11,26.6764393939394,25.7472727272727,27.6056060606061,42.9007575757576,38.1393939393939,47.6621212121212,36.3,68,22.6,22.6
"11","P11-2","P11","0",2014-12-11,"1",2014-12-18,4,3,1,"CO-A-2","CO-A",2,11,0.75,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,1,1,31,22,1,14,26.3000595238095,25.4357142857143,27.1644047619048,46.7720238095238,41.9952380952381,51.5488095238095,36.3,70,22.6,22.6
"12","P12-2","P12","0",2014-12-18,"1",2014-12-25,0,NA,1,"CO-A-2","CO-A",2,12,NA,30.1666666666667,25.4,27.7833333333333,36.3,25.3,10.7,48,28,38,68,27,40,0,NA,43,33,1,9,26.7378703703704,25.8644444444444,27.6112962962963,42.3787037037037,37.4592592592593,47.2981481481482,36.3,68,22.6,22.6
"13","P13-2","P13","0",2014-11-20,"1",2014-11-27,5,5,1,"CO-B-2","CO-B",2,13,1,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,38,29,2,22,26.4498106060606,25.6293181818182,27.270303030303,46.6219696969697,41.5242424242424,51.719696969697,36.3,72,22.6,22.6
"14","P14-2","P14","0",2014-11-20,"1",2014-11-27,4,2,1,"CO-B-2","CO-B",2,14,0.5,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,157,91,2,25,26.5086333333333,25.6964,27.3208666666667,46.6713333333333,41.1073333333333,52.2353333333333,36.3,72,22.6,22.6
"15","P15-2","P15","0",2014-11-20,"1",2014-11-27,0,NA,1,"CO-B-2","CO-B",2,15,NA,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,0,NA,21,20,2,8,27.9194791666667,26.780625,29.0583333333333,32.6854166666667,28.0666666666667,37.3041666666667,36.3,68,23.1,23.1
"16","P16-2","P16","0",2014-11-27,"1",2014-12-04,0,NA,1,"CO-B-2","CO-B",2,16,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,56,50,2,14,26.9447023809524,26.0589285714286,27.8304761904762,42.2130952380952,37.7095238095238,46.7166666666667,36.3,68,22.6,22.6
"17","P17-2","P17","0",2014-11-27,"1",2014-12-04,3,3,1,"CO-B-2","CO-B",2,17,1,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,79,62,2,30,26.3005277777778,25.4983333333333,27.1027222222222,45.0094444444444,38.9561111111111,51.0627777777778,36.3,72,22.3,22.3
