"","idnum","HComp.1","HComp.2","HComp.3","HComp.4","infected","trial","mouseidnum","lifespan","egg_total","hatch_total","avmaxtemp","avmintemp","avmaxhum","avminhum","havmaxtemp","havmintemp","havmaxhum","havminhum","PC1","PC2","PC3","PC4","TPC1","TPC2","TPC3","TPC4","TPC4.1"
"1",1,-0.945093507314392,-0.65829859202696,-0.0515406643421027,0.0719366157825359,0,2,1,16,77,70,27.652,25.9706666666667,47.12,38.5466666666667,28.012962962963,26.0981481481481,43.9444444444444,35.5185185185185,-1.39543488317228,-0.836400541519473,-0.0556502181379439,0.106168658879399,-1.73756125438615,-0.959632289557401,0.0380301724041794,0.113599753343434,-0.122382910715863
"2",2,-0.556084936199312,-0.592173304593444,0.0714211080175579,-0.0377020574930967,0,2,1,16,46,35,27.652,25.9706666666667,47.12,38.5466666666667,28.065306122449,26.3571428571429,42.530612244898,34.0408163265306,-1.39543488317228,-0.836400541519473,-0.0556502181379439,0.106168658879399,-1.73756125438615,-0.959632289557401,0.0380301724041794,0.113599753343434,-0.122382910715863
"3",3,2.34345272495866,-1.03732355021535,0.191845513730498,-0.10898494039964,0,2,1,2,11,10,29.65,28.12,32.9,27.2,29.6333333333333,28.0888888888889,33.2222222222222,27.3333333333333,2.64474335655627,-1.0699953022902,-0.205030242654364,-0.112603159049084,2.10046886384411,-2.20007592899578,0.257763624559584,0.424132505540008,0.0617182295069627
"4",4,-0.016066474428747,-0.639073287779937,0.122993957181552,-0.133179131425201,0,2,1,28,38,16,27.0924812030075,25.5436090225564,52,40.1578947368421,28.3,26.7025641025641,41,32.4358974358974,-2.37196012680449,-0.780835165475811,-0.0203749174450765,-0.143383673831337,-2.66558843378557,-0.661485518178754,-0.00363803791307937,0.063833760240327,0.13427043381331
"5",5,NA,NA,NA,NA,0,2,1,1,0,0,29.68,28.1,35,28.4,NA,NA,NA,NA,2.40032031458006,-1.30882377734144,-0.119719447158416,-0.143287302831449,1.83825221135314,-2.31068910439973,0.131016041386694,0.264193001428567,0.11032553574708
"6",6,0.583905206686346,-0.230997094613657,-0.558080030301091,-0.223410793704676,0,2,1,7,29,15,28.7533333333333,26.58,38.5,28.7666666666667,28.855,26.36,39.4,28.5,0.914615793073354,-0.257833772274464,0.30922605196088,-0.168753019854259,0.537431055537514,-1.16235012405479,0.814725850566848,0.12953347135111,0.12173932246923
"7",7,-0.266390170295301,-0.553222872490222,-0.0882717912936409,-0.0705237184807767,0,2,1,18,44,13,26.9223529411765,25.3517647058824,53.5882352941176,43.7647058823529,28.2944444444444,26.3833333333333,41.8333333333333,32.8333333333333,-2.97345028930996,-1.02332659006686,-0.0837285076181405,0.146385214713599,-3.26867047333636,-0.675394372328876,-0.254742796318478,-0.0142577033085122,-0.140536614353012
"8",8,-1.89479965195198,-0.951519275924524,0.0678985008629652,0.0516950115159398,0,2,1,14,40,25,27.1424242424242,25.4924242424242,51.8636363636364,42.3030303030303,27.588,25.89,48.22,39,-2.54497956830143,-0.964229055644497,-0.0409073659901703,0.141870427480523,-2.85215475410244,-0.747293483421635,-0.153535093762535,-0.00826728113704833,-0.14054376441865
"9",9,NA,NA,NA,NA,0,2,1,13,0,0,27.2737704918033,25.6081967213115,50.6229508196721,41.2786885245902,NA,NA,NA,NA,-2.246173645203,-0.920653143513313,-0.0388596917104385,0.130170884080836,-2.56126009347823,-0.795112186499884,-0.0945893430639371,0.0216617605181653,-0.133598904527685
"10",10,0.294807716680853,-0.15985295126585,-0.947374560895788,-0.187048509987237,0,2,1,11,20,14,27.5137254901961,25.7666666666667,47.843137254902,38.843137254902,28.9533333333333,25.9266666666667,40.9333333333333,28.7333333333333,-1.64110856991764,-0.727246834661611,-0.00533768163379916,0.105430253679493,-1.96009493872019,-0.816217360043368,0.102168614845584,0.0891255891072645,-0.121956921373025
"11",11,-1.93790088278496,-0.665942586272664,-0.0170103927713488,0.0478243132316724,0,2,1,14,31,22,26.9591549295775,25.3366197183099,52.9859154929577,43.6197183098592,27.4880952380952,25.6571428571429,47.6904761904762,38.1904761904762,-2.9067451945478,-0.981455177913768,-0.0712009932366451,0.196190588672893,-3.19999892794115,-0.66281368094897,-0.218597180582523,-0.0125152197149581,-0.192079819396535
"12",12,-0.825465821942745,-0.486669961662198,0.384365707701054,-0.102124733361462,0,2,1,9,43,33,27.6439024390244,25.7878048780488,47.4146341463415,38.1707317073171,27.6481481481481,26.3851851851852,42.8148148148148,34.6296296296296,-1.47532985739545,-0.709563877620345,0.0780398008082341,0.0929467845225761,-1.79993422018876,-0.849363235578467,0.170847725383373,0.0323107486051606,-0.107532673567084
"13",13,-0.895831683657461,-0.658081919938153,0.0020723232337137,0.0169544965019953,0,2,2,22,38,29,27.1828571428571,25.6057142857143,52.0761904761905,42.0761904761905,27.9871794871795,26.1717948717949,43.8974358974359,35.2564102564103,-2.46528614533517,-1.03963075042133,-0.0635110462594017,0.0726892192437529,-2.78466479218594,-0.822964578974955,-0.198559604606641,-0.00147569284588267,-0.069981159137155
