"","varriates","uni_est","uni_p","interact_est","interact_p"
"1","avtemp_total",0.21824001029227,0.0879296127322672,0.147085680770255,0.579999881877974
"2","avlowtemp_total",0.252723863997895,0.0403920350793504,0.153274836199369,0.551441063852269
"3","avhightemp_total",0.167149992967574,0.192113536708218,0.126012367538716,0.635517353712139
"4","hightemp_total",0.0283573131386005,0.407534408467254,0.0933720527248861,0.174005947033681
"5","lowtemp_total",0.104982467761911,0.205702026567251,-0.162439535257692,0.345747526613899
"6","avhum_total",0.0151649168011519,0.424342798057217,0.018874904546224,0.616520754052901
"7","avlowhum_total",0.0224452611974355,0.307756408799941,0.0195626511854528,0.654151417803061
"8","avhighhum_total",0.0105846835127936,0.520726490556275,0.0173796336931679,0.596076525514303
"9","highhum_total",-0.00866856311185621,0.338258842061277,0.00477391668941592,0.794246318569026
"10","lowhum_total",0.179712014006324,0.0381871352264985,0.145975445587805,0.509593735050824
