"","Estimate","lCI","uCI","Std. Error","P-Value","Exp_Est","Exp_lCI","Exp_uCI"
"(Intercept)","3.18274171265203","1.5270782825573","4.91490555009637","0.803915349920322","7.52482302162199e-05","24.1127733027554","4.60470350671965","136.306435064889"
"infected","0.379243862879378","0.222397326069039","0.535224528468925","0.0799986107189185","2.1305405404844e-06","1.46117931969564","1.24906756638956","1.70783165603586"
"PC1","1.41587635851601","0.167975644675077","2.61720256516368","0.575980515809417","0.0139634674485135","4.12009556514515","1.18290780019314","13.697352488763"
"factor(trial)1","0.31806487896983","-1.51406547713996","2.08825701339544","0.859731837966826","0.711413604727733","1.37446543223618","0.220013696634101","8.07083553933801"
"Rep1","0.619874968312275","-1.13131752575417","2.29951887023712","0.820757056198437","0.450100307568134","1.85869563146554","0.322607932036906","9.96938473303126"
"Rep2","0.691634825997938","-0.698585715961176","2.03400132637401","0.649310784561133","0.286793113507641","1.99697757693972","0.497288113329486","7.64461383781459"
"PC1_Rep1_Int","-1.78973898123793","-3.00922558564069","-0.525734987723449","0.586546146225435","0.00227838912375708","0.167003755091901","0.0493298657286487","0.591120738178287"
"PC1_Rep2_Int","-1.89096097933502","-3.09578257095023","-0.640008351038898","0.578219241389661","0.0010742652286531","0.150926701683629","0.0452395954107168","0.527288020621891"
"PC2_Rep1_Int","-1.52305808551265","-3.36341373037677","0.351449341915578","0.866141907371461","0.0786727683570119","0.218044068942019","0.0346168843006501","1.42112575383375"
"PC2_Rep2_Int","0.053674134890625","-1.34841199729851","1.50278156408132","0.682424622434548","0.937309339936872","1.0551407125836","0.259652261923123","4.49417252940161"
"Theta","1.87314258798367","-","-","0.136342049069147","-","-","-","-"
"2xLog Likelihood","-4105.05971684418","-","-","-","-","-","-","-"
"AIC","4127.05971684418","-","-","-","-","-","-","-"
