"","Estimate","lCI","uCI","Std. Error","P-Value","Exp_Est","Exp_lCI","Exp_uCI"
"(Intercept)","3.27921222036839","2.80728663894658","3.73716554723844","0.246284151628617","1.90004174762227e-40","26.5548450917009","16.5649106021619","41.9788343510565"
"infected","0.37056163522351","0.212197955683978","0.528057229423847","0.0804000980935466","4.0466883055558e-06","1.44854794179242","1.23639261180032","1.69563487703216"
"PC2","0.617948582067931","0.256166202825443","0.993249688438293","0.197408396299924","0.00174624615136901","1.85511851233143","1.29196743873514","2.69999437166149"
"PC1","1.34990488414864","0.977024198062709","1.73037575307444","0.192724674705631","2.48192038755381e-12","3.85705864583212","2.65653913359844","5.64277379972917"
"Rep1","0.930419318028251","0.265981422840969","1.61618969248798","0.361280048938934","0.0100141307313037","2.53557216585829","1.30471082064139","5.03387312352954"
"Rep2","0.454440994107811","-0.235387065569045","1.17121100208746","0.375709711057468","0.226450272217843","1.57529253904719","0.790264906086879","3.22589684186158"
"PC1_Rep1_Int","-1.93002849807886","-2.37686595539834","-1.49277902985339","0.230329286828612","5.31839246074026e-17","0.145144062097757","0.0928410901501647","0.224747207673231"
"PC1_Rep2_Int","-1.81195092734504","-2.23625143272042","-1.39772290012741","0.216227939942097","5.30093076168008e-17","0.163335170713088","0.106858320145375","0.24715912966762"
"Theta","1.84896926570337","-","-","0.134342874143929","-","-","-","-"
"2xLog Likelihood","-4110.52671160131","-","-","-","-","-","-","-"
"AIC","4128.52671160131","-","-","-","-","-","-","-"
