"","idnum","HComp.1","HComp.2","HComp.3","HComp.4","HComp.5","HComp.6","HComp.7","HComp.8","HComp.9","HComp.10","id","parents","infected","start","week","date","eggs","hatch","alive","mouse","procedencia","trial","perferc","avtemphigh","avtemplow","avtemp","tempmax","tempmin","tempdiff","avhumhigh","avhumlow","avhum","hummax","hummin","humdiff","eggevent","hatchevent","egg_total","hatch_total","mouseidnum","lifespan","avtemp_total","avlowtemp_total","avhightemp_total","avhum_total","avlowhum_total","avhighhum_total","hightemp_total","highhum_total","lowtemp_total","lowhum_total","Havtemp_total","Havlowtemp_total","Havhightemp_total","Havhum_total","Havlowhum_total","Havhighhum_total","Hhightemp_total","Hhighhum_total","Hlowtemp_total","Hlowhum_total","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10"
"1",1,15.1066532217447,-0.409656559390285,1.83466142500372,-0.24080079392515,0.517411649319381,-0.641449510151701,0.436833884439065,-0.0869124244021895,-4.42363681472757e-14,-1.66786893391968e-14,"P1-2","P1","0",2014-11-20,"1",2014-11-27,6,3,1,"CO-A-2","CO-A",2,0.5,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,77,70,1,16,26.8616145833333,25.9803125,27.7429166666667,42.4739583333333,38.0083333333333,46.9395833333333,36.3,70,22.6,26,27.1171527777778,26.1170833333333,28.1172222222222,39.3402777777778,34.8944444444444,43.7861111111111,36.3,68,22.6,26,14.8438721574754,-4.2706015047328,-1.05933199041023,-1.00120407130068,-0.240951619386716,-0.413278411251429,-0.00276316905594071,0.0863973280083156,1.49327464627741e-13,1.24997249399289e-13
"2",2,13.9256648971751,1.54498265898539,1.99349421454467,-0.0755194612718957,0.439248797268881,-0.564666109797759,0.335999553106543,0.133775175662678,5.97221403210623e-14,4.46953833422098e-14,"P2-2","P2","0",2014-11-20,"1",2014-11-27,2,2,1,"CO-A-2","CO-A",2,1,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,46,35,1,16,26.8616145833333,25.9803125,27.7429166666667,42.4739583333333,38.0083333333333,46.9395833333333,36.3,70,22.6,26,27.2614393939394,26.3495454545455,28.1733333333333,38.0166666666667,33.5212121212121,42.5121212121212,36.3,68,22.6,26,14.8438721574754,-4.2706015047328,-1.05933199041023,-1.00120407130068,-0.240951619386716,-0.413278411251429,-0.00276316905594071,0.0863973280083156,1.49327464627741e-13,1.24997249399289e-13
"3",3,-20.1645510868006,-3.59636160181213,2.85222668269034,-1.78001211958294,-0.60573405387055,2.59863283232133,-0.174107260748811,0.235074172801299,1.20372236377554e-13,6.17064493907384e-14,"P3-2","P3","0",2014-11-27,"1",2014-12-04,5,4,1,"CO-A-2","CO-A",2,0.8,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,11,10,1,2,28.8625,28.0825,29.6425,30.4875,27.5,33.475,30.2,37,27.4,26,28.8625,28.0825,29.6425,30.4875,27.5,33.475,30.2,37,27.4,26,-24.8751441696058,-7.33993796205849,-1.89642329612575,0.298061681357992,2.24878143716454,0.612448744335533,0.0161219707516849,-0.0371646769595425,-6.06226482227805e-14,-5.03841597574011e-14
"4",4,12.7218166936073,3.61503063740402,1.55968291833797,0.496005919005913,-1.43194699047564,0.0132113708532382,-0.0463729838108952,0.308635727632837,1.44924818567139e-13,8.3555349635716e-14,"P4-2","P4","0",2014-11-27,"1",2014-12-04,4,2,1,"CO-A-2","CO-A",2,0.5,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,38,16,1,28,26.3666369047619,25.5646428571429,27.168630952381,45.7886904761905,39.7672619047619,51.810119047619,36.3,72,22.6,24,27.5239814814815,26.6472222222222,28.4007407407407,36.5981481481481,32.0148148148148,41.1814814814815,36.3,68,25,26,20.053938824869,-7.71426925283125,0.657050822586525,0.850020288068915,0.501970097722254,0.338482942738803,0.0694826143057241,-0.141734621853465,-2.44846811924565e-13,-1.81548417040216e-13
"5",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P5-2","P5","0",2014-12-04,"1",2014-12-11,0,NA,1,"CO-A-2","CO-A",2,NA,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,0,NA,0,0,1,1,28.875,28.025,29.725,32.375,29,35.75,30.2,37,27.4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.9508142363752,-10.0024052638787,-1.98476514292207,-0.485932113178236,2.07137730830758,1.2905223969878,-0.28885032518646,-0.0295871841251203,-3.76184802078521e-14,-3.22375080413893e-14
"6",6,10.8857940245402,6.78138626357597,2.42178576744937,1.26876827274433,0.83047129927634,1.18599017321241,-0.126800945832232,0.342052829391411,1.65406698647997e-13,9.11037408494988e-14,"P6-2","P6","0",2014-12-04,"1",2014-12-11,0,NA,1,"CO-A-2","CO-A",2,NA,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,0,NA,29,15,1,7,27.6308333333333,26.4778571428571,28.7838095238095,34.1404761904762,28.9333333333333,39.347619047619,36.3,68,23.1,26,27.5721666666667,26.276,28.8683333333333,34.4616666666667,28.6666666666667,40.2566666666667,36.3,68,23.1,26,4.86946766814523,6.08167805321345,-2.6552158716464,0.565105176000575,0.0125060485445212,1.54531869695982,-0.0534944610618966,-0.140876447404917,-2.48293707471331e-13,-2.07256428528667e-13
"7",7,13.1868239077009,2.81980113099453,2.13119032774933,0.263736090482649,0.505020777785646,-0.245396629575366,0.0960273305605548,0.146744718638835,6.69663455567415e-14,4.46172943214015e-14,"P7-2","P7","0",2014-12-04,"1",2014-12-11,9,9,1,"CO-A-2","CO-A",2,1,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,1,44,13,1,18,26.2081018518519,25.3802777777778,27.0359259259259,48.037962962963,42.9962962962963,53.0796296296296,36.3,72,22.6,26,27.4057291666667,26.388125,28.4233333333333,37.15625,32.375,41.9375,36.3,68,23.1,26,22.1559614869491,-10.8522130539094,0.233254633718116,-1.56024866970169,-0.148068645487405,-0.30234988115533,0.18332711435038,0.130135813608012,2.16856780100566e-13,1.65301781571968e-13
"8",8,18.3969248436377,-5.77997744533763,1.4312838749564,-0.364514092199176,0.914313435582753,-0.473735230379276,0.391920649500857,-0.0438339432448237,-2.21915022145625e-14,-2.96521824559528e-16,"P8-2","P8","0",2014-12-11,"1",2014-12-18,2,2,1,"CO-A-2","CO-A",2,1,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,1,1,40,25,1,14,26.3643452380952,25.4928571428571,27.2358333333333,46.5220238095238,41.552380952381,51.4916666666667,36.3,70,22.6,26,26.8018939393939,25.8945454545455,27.7092424242424,42.9643939393939,38.1212121212121,47.8075757575758,36.3,68,23.1,26,19.0321828201651,-9.92318043205725,-0.169827640375915,-1.181837537908,-0.352739806361723,-0.190614454744626,0.164486671431871,0.142109201428473,2.34842393099493e-13,1.69901832690756e-13
"9",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P9-2","P9","0",2014-12-11,"1",2014-12-18,0,NA,1,"CO-A-2","CO-A",2,NA,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,0,NA,0,0,1,13,26.4839102564103,25.6015384615385,27.3662820512821,45.4160256410256,40.5333333333333,50.298717948718,36.3,70,22.6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8959196797378,-8.38085378974539,-0.39335825511614,-1.10291561541366,-0.333195043121331,-0.184397052895344,0.130526383407717,0.124588458314953,2.06448439244705e-13,1.49406795590164e-13
"10",10,11.6908487565751,5.61103850209879,2.15019499143682,2.01394571970976,1.21351471019614,1.34692880516647,-0.421981369797703,0.201491214895847,1.01986943089761e-13,3.80097862694131e-14,"P10-2","P10","0",2014-12-11,"1",2014-12-18,4,4,1,"CO-A-2","CO-A",2,1,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,1,1,20,14,1,11,26.6764393939394,25.7472727272727,27.6056060606061,42.9007575757576,38.1393939393939,47.6621212121212,36.3,68,22.6,26,27.4377083333333,25.93,28.9454166666667,35.2520833333333,28.8833333333333,41.6208333333333,36.3,68,23.1,26,13.7557528936615,-6.06051214283162,-0.937986283589566,-0.636785603187529,-0.573784648490615,-0.0233452162057857,0.171488839170994,0.105061242247603,1.69283723495378e-13,1.1028623807801e-13
