semana,,,GRUPO 1 (SIN INFECCION),,,,,,,,,,,,,,,,,GRUPO 2 (infectado con TC 35),,,,,,,,,,,,,,,
,Fecha,frasco( 50 c/u),NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,,,NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,
,,,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue
0,09/01/2014,A,50,0,,,,,,,,,,,,,50,0,,50,0,,,,,,,,,,,,,50,0
0,09/01/2014,B,50,0,,,,,,,,,,,,,50,0,,50,0,,,,,,,,,,,,,50,0
1,09/08/2014,A,50,0,,,,,,,,,,,,,50,0,,50,0,,,,,,,,,,,,,50,0
1,09/08/2014,B,49,0,1,0,,,,,,,,,,,50,0,,49,1,,,,,,,,,,,,,49,1
2,9/15/2014,A,33,0,17,0,,,,,,,,,,,50,0,,29,0,21,0,,,,,,,,,,,50,0
2,9/15/2014,B,39,0,11,0,,,,,,,,,,,50,0,,34,0,15,0,,,,,,,,,,,49,1
3,9/22/2014,A,21,0,29,0,,,,,,,,,,,50,0,,10,0,40,0,,,,,,,,,,,50,0
3,9/22/2014,B,16,1,33,0,,,,,,,,,,,49,1,,14,0,35,0,,,,,,,,,,,49,1
4,9/29/2014,A,5,0,39,0,6,0,,,,,,,,,50,0,,1,0,49,0,,,,,,,,,,,50,0
4,9/29/2014,B,3,0,46,0,,,,,,,,,,,49,1,,0,0,49,0,,,,,,,,,,,49,1
5,10/06/2014,A,2,1,23,0,24,0,,,,,,,,,49,1,,,,49,0,1,0,,,,,,,,,50,0
5,10/06/2014,B,1,0,41,0,7,0,,,,,,,,,49,1,,,,45,0,4,0,,,,,,,,,49,1
6,10/13/2014,A,1,1,18,0,29,0,,,,,,,,,48,2,,,,48,0,2,0,,,,,,,,,50,0
6,10/13/2014,B,1,0,30,0,18,0,,,,,,,,,49,1,,,,35,0,14,0,,,,,,,,,49,1
7,10/20/2014,A,1,0,5,0,33,0,9,0,,,,,,,48,2,,,,2,0,48,0,,,,,,,,,50,0
7,10/20/2014,B,,,2,0,43,0,4,0,,,,,,,49,1,,,,,,49,0,,,,,,,,,49,1
8,10/27/2014,A,1,0,2,0,20,0,23,2,,,,,,,46,4,,,,,,49,0,1,0,,,,,,,50,0
8,10/27/2014,B,,,1,0,35,0,12,1,,,,,,,48,2,,,,,,35,1,13,0,,,,,,,48,2
9,11/03/2014,A,,,1,1,14,0,29,1,,,,,,,44,6,,,,,,28,0,22,0,,,,,,,50,0
9,11/03/2014,B,,,,,17,0,31,0,,,,,,,48,2,,,,,,20,0,28,0,,,,,,,48,2
10,11/10/2014,A,,,1,0,9,0,34,0,,,,,,,44,6,,,,,,13,0,37,0,,,,,,,50,0
10,11/10/2014,B,,,,,5,0,42,1,,,,,,,47,3,,,,,,7,0,41,0,,,,,,,48,2
