semana,,,GRUPO 1 (SIN INFECCION),,,,,,,,,,,,,,,,,GRUPO 2 (infectado con TC 35),,,,,,,,,,,,,,,
,Fecha,frasco( 50 c/u),NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,,,NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,
,,,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue
0,10/16/2014,A,50,,,,,,,,,,,,,,50,0,,50,,,,,,,,,,,,,,50,0
0,10/16/2014,B,50,,,,,,,,,,,,,,50,0,,50,,,,,,,,,,,,,,50,0
1,10/23/2014,A,9,1,40,0,,,,,,,,,,,49,1,,12,1,37,,,,,,,,,,,,49,1
1,10/23/2014,B,5,0,45,0,,,,,,,,,,,50,0,,7,1,42,,,,,,,,,,,,49,1
2,10/30/2014,A,0,2,22,0,25,0,,,,,,,,,47,3,,3,1,15,7,23,,,,,,,,,,41,9
2,10/30/2014,B,0,1,4,0,45,0,,,,,,,,,49,1,,,1,14,3,31,0,,,,,,,,,45,5
3,11/06/2014,A,,,,,25,0,22,0,,,,,,,47,3,,2,1,6,3,8,0,21,0,,,,,,,37,13
3,11/06/2014,B,,,2,0,2,0,45,0,,,,,,,49,1,,,,2,1,16,0,26,0,,,,,,,44,6
4,13/11/2014,A,,,1,0,1,1,27,0,17,0,,,,,46,4,,,,2,1,5,1,15,0,13,0,,,,,35,15
4,13/11/2014,B,,,,,4,0,15,1,29,0,,,,,48,2,,,,0,2,3,1,17,0,21,0,,,,,41,9
5,20/11/2014,A,,,,,1,0,11,2,26,0,4,0,2,0,44,6,,,,,,2,1,4,2,19,0,4,0,3,0,32,18
5,20/11/2014,B,,,,,1,2,1,1,34,0,6,0,3,0,45,5,,,,,,1,0,6,1,17,0,10,0,6,0,40,10
6,27/11/2014,A,,,,,0,1,4,1,24,4,4,0,6,0,38,12,,,,,,1,0,2,0,2,1,10,0,16,0,31,19
6,27/11/2014,B,,,,,,,1,1,3,4,15,3,18,0,37,13,,,,,,,,3,0,12,1,13,1,10,0,38,12
7,04/12/2014,A,,,,,,,1,1,9,7,6,1,11,2,27,23,,,,,,1,0,1,0,1,1,10,0,17,0,30,20
7,04/12/2014,B,,,,,,,0,1,,,15,1,17,3,32,18,,,,,,,,3,0,1,1,17,0,16,0,37,13
8,11/12/2014,A,,,,,,,,1,3,3,5,1,11,3,19,31,,,,,,1,0,0,1,,,9,1,18,0,28,22
8,11/12/2014,B,,,,,,,,,,,13,2,17,0,30,20,,,,,,,,1,1,2,0,17,0,16,0,36,14
9,18/12/2014,A,,,,,,,,,1,1,5,0,12,0,18,32,,,,,,1,0,,,,,9,0,17,1,27,23
9,18/12/2014,B,,,,,,,,,,,9,4,17,0,26,24,,,,,,,,,1,1,0,17,0,17,0,35,15
10,26/12/2014,A,,,,,,,,,1,0,5,0,12,0,18,32,,,,,,1,0,,,,,9,0,17,0,27,23
10,26/12/2014,B,,,,,,,,,,,8,1,17,0,25,25,,,,,,,,,,1,0,17,0,17,0,35,15
11,02/01/2015,A,,,,,,,,,1,0,4,1,12,0,17,33,,,,,,1,0,,,,,9,0,13,4,23,27
11,02/01/2015,B,,,,,,,,,,,8,0,17,0,25,25,,,,,,,,,,1,0,17,0,14,3,32,18
12,08/01/2015,A,,,,,,,,,1,0,4,0,12,0,17,33,,,,,,1,0,,,,,8,1,13,0,22,28
12,08/01/2015,B,,,,,,,,,,,8,0,15,2,23,27,,,,,,,,,,1,0,17,0,14,0,32,18
13,15/01/2015,A,,,,,,,,,1,0,4,0,11,1,16,34,,,,,,1,0,,,,,8,0,12,1,21,29
13,15/01/2015,B,,,,,,,,,,,8,0,13,2,21,29,,,,,,,,,,1,0,17,0,14,0,32,18
14,22/01/2015,A,,,,,,,,,1,0,3,0,10,1,14,36,,,,,,1,0,,,,,8,0,12,0,21,29
14,22/01/2015,B,,,,,,,,,,,8,0,13,0,21,29,,,,,,,,,,1,0,17,0,14,0,32,18
15,29/01/2015,A,,,,,,,,,1,0,3,0,10,0,14,36,,,,,,,1,,,,,8,0,11,1,19,31
15,29/01/2015,B,,,,,,,,,,,8,0,13,0,21,29,,,,,,,,,,1,0,17,0,13,1,31,19
16,05/02/2015,A,,,,,,,,,1,0,3,0,9,1,13,37,,,,,,,,,,,,8,0,11,0,19,31
16,05/02/2015,B,,,,,,,,,,,8,0,13,0,21,29,,,,,,,,,,1,0,17,0,13,0,31,19
17,12/02/2015,A,,,,,,,,,0,1,3,0,10,0,13,37,,,,,,,,,,,,8,0,10,1,18,32
17,12/02/2015,B,,,,,,,,,,,8,0,13,0,21,29,,,,,,,,,,1,0,16,1,13,0,30,20
18,19/02/2015,A,,,,,,,,,,,3,0,9,1,12,38,,,,,,,,,,,,8,0,9,1,17,33
18,19/02/2015,B,,,,,,,,,,,8,0,13,0,21,29,,,,,,,,,,1,0,16,0,13,0,30,20
19,26/02/2015,A,,,,,,,,,,,3,0,9,0,12,38,,,,,,,,,,,,7,1,9,0,16,34
19,26/02/2015,B,,,,,,,,,,,8,0,13,0,21,29,,,,,,,,,,1,0,16,0,12,1,29,21
20,05/03/2015,A,,,,,,,,,,,3,0,9,0,12,38,,,,,,,,,,,,5,2,9,0,14,36
20,05/03/2015,B,,,,,,,,,,,7,1,11,2,18,32,,,,,,,,,,1,0,15,1,12,0,28,22
21,12/03/2015,A,,,,,,,,,,,3,0,5,3,8,42,,,,,,,,,,,,5,0,9,0,14,36
21,12/03/2015,B,,,,,,,,,,,6,1,10,1,16,34,,,,,,,,,,,,16,0,12,0,28,22
22,19/03/2015,A,,,,,,,,,,,3,0,4,1,7,43,,,,,,,,,,,,5,0,9,0,14,36
22,19/03/2015,B,,,,,,,,,,,5,1,9,1,14,36,,,,,,,,,,,,15,1,12,0,27,23
23,26/03/2015,A,,,,,,,,,,,3,0,3,1,6,44,,,,,,,,,,,,5,0,9,0,14,36
23,26/03/2015,B,,,,,,,,,,,5,0,8,1,13,37,,,,,,,,,,,,15,0,10,2,25,25
24,02/04/2015,A,,,,,,,,,,,3,0,3,0,6,44,,,,,,,,,,,,4,1,9,0,13,37
24,02/04/2015,B,,,,,,,,,,,5,0,8,0,13,37,,,,,,,,,,,,14,1,10,0,24,26
25,09/04/2015,A,,,,,,,,,,,3,0,2,1,5,45,,,,,,,,,,,,2,2,9,0,11,39
25,09/04/2015,B,,,,,,,,,,,4,1,8,0,12,38,,,,,,,,,,,,14,0,9,1,23,27
26,16/04/2015,A,,,,,,,,,,,2,1,2,0,4,46,,,,,,,,,,,,2,0,9,0,11,39
26,16/04/2015,B,,,,,,,,,,,4,0,7,1,11,39,,,,,,,,,,,,14,0,9,0,23,27
27,23/04/2015,A,,,,,,,,,,,2,0,2,0,4,46,,,,,,,,,,,,2,0,9,0,11,39
27,23/04/2015,B,,,,,,,,,,,3,1,6,1,9,41,,,,,,,,,,,,14,0,9,0,23,27
28,30/04/2015,A,,,,,,,,,,,2,0,2,0,4,46,,,,,,,,,,,,2,0,8,1,10,40
28,30/04/2015,B,,,,,,,,,,,2,1,4,2,6,44,,,,,,,,,,,,14,0,9,0,23,27
29,07/05/2015,A,,,,,,,,,,,2,0,2,0,4,46,,,,,,,,,,,,2,0,8,0,10,40
29,07/05/2015,B,,,,,,,,,,,2,0,4,0,6,44,,,,,,,,,,,,13,1,9,0,22,28
