repeticion,grupo,raton,semana,fecha,Viv1t,Mue1t,Viv2t,Mue2t,Viv3t,Mue3t,Viv4t,Mue4t,Viv5t,Mue5t,Vivmt,Muemt,Vivht,Mueht,Vivtt,Muett
piloto,control,1,0,10/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,control,1,1,17/03/2014,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
piloto,control,1,2,24/03/2014,33,1,6,0,0,0,0,0,0,0,0,0,0,0,39,1
piloto,control,1,3,31/03/2014,21,1,17,0,0,0,0,0,0,0,0,0,0,0,38,2
piloto,control,1,4,07/04/2014,0,0,38,0,0,0,0,0,0,0,0,0,0,0,38,2
piloto,control,1,5,14/04/2014,0,0,28,0,10,0,0,0,0,0,0,0,0,0,38,2
piloto,control,1,6,21/04/2014,0,0,15,0,23,0,0,0,0,0,0,0,0,0,38,2
piloto,control,1,7,28/04/2014,0,0,4,0,34,0,0,0,0,0,0,0,0,0,38,2
piloto,control,1,8,05/05/2014,0,0,3,0,35,0,0,0,0,0,0,0,0,0,38,2
piloto,control,1,9,12/05/2014,0,0,1,0,33,0,4,0,0,0,0,0,0,0,38,2
piloto,control,1,10,19/05/2014,0,0,1,0,28,0,7,2,0,0,0,0,0,0,36,4
piloto,control,1,11,26/05/2014,0,0,1,0,22,0,13,0,0,0,0,0,0,0,36,4
piloto,control,1,12,02/06/2014,0,0,1,0,19,0,16,0,0,0,0,0,0,0,36,4
piloto,control,1,13,09/06/2014,0,0,1,0,14,0,21,0,0,0,0,0,0,0,36,4
piloto,control,1,14,16/06/2014,0,0,1,0,10,1,23,1,0,0,0,0,0,0,34,6
piloto,control,1,15,23/06/2014,0,0,1,0,9,0,24,0,0,0,0,0,0,0,34,6
piloto,control,1,16,30/06/2014,0,0,1,0,8,1,22,2,0,0,0,0,0,0,31,9
piloto,control,1,17,07/07/2014,0,0,1,0,7,0,20,3,0,0,0,0,0,0,28,12
piloto,control,1,18,14/07/2014,0,0,0,1,7,0,20,0,0,0,0,0,0,0,27,13
piloto,control,1,19,21/07/2014,0,0,0,0,6,1,18,1,1,0,0,0,0,0,25,15
piloto,control,1,20,28/07/2014,0,0,0,0,5,1,17,1,1,0,0,0,0,0,23,17
piloto,control,1,21,04/08/2014,0,0,0,0,3,2,15,1,2,0,0,0,0,0,20,20
piloto,control,1,22,11/08/2014,0,0,0,0,3,0,14,1,2,0,0,0,0,0,19,21
piloto,control,1,23,18/08/2014,0,0,0,0,3,0,13,1,2,0,0,0,0,0,18,22
piloto,control,1,24,25/08/2014,0,0,0,0,2,1,12,0,3,0,0,0,0,0,17,23
piloto,control,1,25,01/09/2014,0,0,0,0,2,0,11,1,3,0,0,0,0,0,16,24
piloto,control,1,26,08/09/2014,0,0,0,0,0,1,12,0,3,0,0,0,0,0,15,25
piloto,control,1,27,15/09/2014,0,0,0,0,0,0,10,2,3,0,0,0,0,0,13,27
piloto,control,1,28,22/09/2014,0,0,0,0,0,0,8,2,2,0,0,0,1,0,11,29
piloto,control,1,29,29/09/2014,0,0,0,0,0,0,7,1,1,0,1,0,1,0,10,30
piloto,control,1,30,06/10/2014,0,0,0,0,0,0,5,2,1,0,1,0,1,0,8,32
piloto,control,1,31,13/10/2014,0,0,0,0,0,0,5,0,1,0,1,0,1,0,8,32
piloto,control,1,32,20/10/2014,0,0,0,0,0,0,5,0,1,0,1,0,1,0,8,32
piloto,control,1,33,27/10/2014,0,0,0,0,0,0,4,1,1,0,1,0,1,0,7,33
piloto,control,1,34,03/11/2014,0,0,0,0,0,0,4,0,1,0,1,0,1,0,7,33
piloto,control,1,35,10/11/2014,0,0,0,0,0,0,3,0,2,0,1,0,1,0,7,33
piloto,control,1,36,17/11/2014,0,0,0,0,0,0,3,0,2,0,1,0,1,0,7,33
piloto,control,1,37,24/11/2014,0,0,0,0,0,0,3,0,1,0,1,0,2,0,7,33
