semana,,,GRUPO 1 (SIN INFECCION),,,,,,,,,,,,,,,,,GRUPO 2 (infectado con TC 35),,,,,,,,,,,,,,,
,Fecha,frasco( 50 c/u),NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,,,NINFAS 1,,NINFAS 2,,NINFAS 3,,NINFAS 4,,NINFAS 5,,MACHOS,,HEMBRAS,,TOTAL,
,,,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue,Viv,Mue
0,16/10/2014,A,50,0,,,,,,,,,,,,,50,0,,50,0,,,,,,,,,,,,,50,0
0,16/10/2014,B,50,0,,,,,,,,,,,,,50,0,,50,0,,,,,,,,,,,,,50,0
1,23/10/2014,A,50,0,,,,,,,,,,,,,50,0,,49,1,,,,,,,,,,,,,49,1
1,23/10/2014,B,49,1,,,,,,,,,,,,,49,1,,49,1,,,,,,,,,,,,,49,1
2,30/11/2014,A,44,0,6,0,,,,,,,,,,,50,0,,22,0,27,0,,,,,,,,,,,49,1
2,30/11/2014,B,30,0,19,0,,,,,,,,,,,49,1,,30,0,19,0,,,,,,,,,,,49,1
3,06/11/2014,A,11,0,39,0,,,,,,,,,,,50,0,,,,49,0,,,,,,,,,,,49,1
3,06/11/2014,B,5,0,44,0,,,,,,,,,,,49,1,,3,0,46,0,,,,,,,,,,,49,1
4,13/11/2014,A,1,1,46,0,2,0,,,,,,,,,49,1,,,,35,0,14,0,,,,,,,,,49,1
4,13/11/2014,B,,,47,0,2,0,,,,,,,,,49,1,,,,39,0,10,0,,,,,,,,,49,1
5,20/11/2014,A,,,47,0,2,0,,,,,,,,,49,1,,,,31,0,18,0,,,,,,,,,49,1
5,20/11/2014,B,,,44,0,5,0,,,,,,,,,49,1,,,,37,0,12,0,,,,,,,,,49,1
6,27/11/2014,A,,,45,0,4,0,,,,,,,,,49,1,,,,17,0,32,0,,,,,,,,,49,1
6,27/11/2014,B,,,37,1,11,0,,,,,,,,,48,2,,,,18,0,31,0,,,,,,,,,49,1
7,04/12/2014,A,,,2,0,46,0,1,0,,,,,,,49,1,,,,0,3,32,0,14,0,,,,,,,46,4
7,04/12/2014,B,,,1,0,45,0,2,0,,,,,,,48,2,,,,4,0,39,0,6,0,,,,,,,49,1
8,11/12/2014,A,,,1,0,46,0,2,0,,,,,,,49,1,,,,,,20,0,26,0,,,,,,,46,4
8,11/12/2014,B,,,,,41,0,7,0,,,,,,,48,2,,,,,,39,0,10,0,,,,,,,49,1
9,18/12/2014,A,,,0,1,33,0,15,0,,,,,,,48,2,,,,,,11,0,35,0,,,,,,,46,4
9,18/12/2014,B,,,,,16,0,32,0,,,,,,,48,2,,,,,,24,0,25,0,,,,,,,49,1
10,26/12/2014,A,,,,,11,0,35,2,,,,,,,46,4,,,,,,3,0,40,1,2,0,,,,,45,5
10,26/12/2014,B,,,,,4,0,42,2,,,,,,,46,4,,,,,,5,0,43,1,,,,,,,48,2
11,02/01/2015,A,,,,,7,0,36,3,,,,,,,43,7,,,,,,2,0,35,0,8,0,,,,,45,5
11,02/01/2015,B,,,,,4,0,41,1,,,,,,,45,5,,,,,,4,0,42,0,2,0,,,,,48,2
12,08/01/2015,A,,,,,2,0,38,2,1,0,,,,,41,9,,,,,,2,0,31,1,8,3,,,,,41,9
12,08/01/2015,B,,,,,1,0,44,0,,,,,,,45,5,,,,,,1,0,39,2,3,3,,,,,43,7
13,15/01/2015,A,,,,,1,1,36,0,2,1,,,,,39,11,,,,,,2,0,27,0,11,1,,,,,40,10
13,15/01/2015,B,,,,,1,0,40,2,0,2,,,,,41,9,,,,,,1,0,35,3,2,2,,,,,38,12
14,22/01/2015,A,,,,,1,0,36,0,2,0,,,,,39,11,,,,,,2,0,24,1,11,2,,,,,37,13
14,22/01/2015,B,,,,,1,0,37,1,1,1,,,,,39,11,,,,,,1,0,31,2,4,0,,,,,36,14
15,29/01/2015,A,,,,,1,0,32,2,3,1,,,,,36,14,,,,,,2,0,21,0,13,0,1,0,,,37,13
15,29/01/2015,B,,,,,1,0,34,2,2,0,,,,,37,13,,,,,,1,0,27,0,8,0,,,,,36,14
16,05/02/2015,A,,,,,1,0,31,0,4,0,,,,,36,14,,,,,,2,0,19,2,13,0,1,0,,,35,15
16,05/02/2015,B,,,,,1,0,32,1,2,1,,,,,35,15,,,,,,1,0,25,1,7,2,,,,,33,17
17,12/02/2015,A,,,,,,,31,1,4,0,,,,,35,15,,,,,,1,1,19,0,13,0,1,0,,,34,16
17,12/02/2015,B,,,,,1,0,31,1,2,0,,,,,34,16,,,,,,1,0,23,1,8,0,,,,,32,18
18,19/02/2015,A,,,,,,,18,10,6,1,,,,,24,26,,,,,,1,0,17,1,12,2,1,0,,,31,19
18,19/02/2015,B,,,,,1,0,20,9,3,1,,,,,24,26,,,,,,,1,17,5,9,0,,,,,26,24
19,26/02/2015,A,,,,,,,15,3,5,1,,,,,20,30,,,,,,1,0,13,1,14,0,2,0,,,30,20
19,26/02/2015,B,,,,,1,0,20,0,2,1,,,,,23,27,,,,,,,,13,2,10,1,,,,,23,27
20,05/03/2015,A,,,,,,,15,0,5,0,,,,,20,30,,,,,,1,0,12,1,14,0,2,0,,,29,21
