repeticion,grupo,raton,semana,fecha,Viv1t,Mue1t,Viv2t,Mue2t,Viv3t,Mue3t,Viv4t,Mue4t,Viv5t,Mue5t,Vivmt,Muemt,Vivht,Mueht,Vivtt,Muett,Muetxweek
pull,control,1,0,,240,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0
pull,control,1,1,,42,5,193,0,0,0,0,0,0,0,0,0,0,0,235,5,5
pull,control,1,2,,1,3,83,3,145,0,0,0,0,0,0,0,0,0,229,11,6
pull,control,1,3,,0,0,6,0,110,1,112,0,0,0,0,0,0,0,228,12,1
pull,control,1,4,,0,0,3,0,37,2,134,1,51,0,0,0,0,0,225,15,3
pull,control,1,5,,0,0,0,0,22,4,63,5,106,0,14,0,11,0,216,24,9
pull,control,1,6,,0,0,0,0,11,1,30,3,75,10,33,3,50,0,199,41,17
pull,control,1,7,,0,0,0,0,2,0,24,4,26,14,41,5,75,8,168,72,31
pull,control,1,8,,0,0,0,0,2,0,16,4,15,6,41,7,69,8,143,97,25
pull,control,1,9,,0,0,0,0,1,0,13,1,14,2,37,4,63,8,128,112,15
pull,control,1,10,,0,0,0,0,0,0,9,1,11,2,33,5,62,5,115,125,13
pull,control,1,11,,0,0,0,0,0,0,5,4,4,7,31,2,60,2,100,140,15
pull,control,1,12,,0,0,0,0,0,0,3,2,4,0,30,1,56,4,93,147,7
pull,control,1,13,,0,0,0,0,0,0,2,0,3,0,29,1,53,5,87,153,6
pull,control,1,14,,0,0,0,0,0,0,2,0,2,0,27,2,49,5,80,160,7
pull,control,1,15,,0,0,0,0,0,0,2,0,1,0,27,0,47,3,77,163,3
pull,control,1,16,,0,0,0,0,0,0,2,0,1,0,27,0,40,7,70,170,7
pull,control,1,17,,0,0,0,0,0,0,2,0,0,1,27,0,40,0,69,171,1
pull,control,1,18,,0,0,0,0,0,0,2,0,0,0,27,0,37,3,66,174,3
pull,control,1,19,,0,0,0,0,0,0,2,0,0,0,24,3,34,3,60,180,6
pull,control,1,20,,0,0,0,0,0,0,2,0,0,0,23,1,30,4,55,185,5
pull,control,1,21,,0,0,0,0,0,0,2,0,0,0,21,2,26,4,49,191,6
pull,control,1,22,,0,0,0,0,0,0,2,0,0,0,19,2,22,4,43,197,6
pull,control,1,23,,0,0,0,0,0,0,2,0,0,0,18,1,18,4,38,202,5
pull,control,1,24,,0,0,0,0,0,0,2,0,0,0,18,0,17,1,37,203,1
pull,control,1,25,,0,0,0,0,0,0,2,0,0,0,16,2,16,1,34,206,3
pull,control,1,26,,0,0,0,0,0,0,2,0,0,0,14,2,14,2,30,210,4
pull,control,1,27,,0,0,0,0,0,0,1,0,0,1,12,2,12,2,25,215,5
pull,control,1,28,,0,0,0,0,0,0,0,1,0,0,11,1,10,2,21,219,4
pull,control,1,29,,0,0,0,0,0,0,0,0,0,0,11,0,8,2,19,221,2
pull,control,1,30,,0,0,0,0,0,0,0,0,0,0,10,1,6,2,16,224,3
pull,control,1,31,,0,0,0,0,0,0,0,0,0,0,7,3,5,1,12,228,4
pull,control,1,32,,0,0,0,0,0,0,0,0,0,0,6,1,4,1,10,230,2
pull,control,1,33,,0,0,0,0,0,0,0,0,0,0,6,0,4,0,10,230,0
pull,control,1,34,,0,0,0,0,0,0,0,0,0,0,6,0,2,2,8,232,2
pull,control,1,35,,0,0,0,0,0,0,0,0,0,0,6,0,2,0,8,232,0
pull,control,1,36,,0,0,0,0,0,0,0,0,0,0,3,3,1,1,4,236,4
pull,control,1,37,,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,237,1
pull,control,1,38,,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,237,0
pull,control,1,39,,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,237,0
pull,control,1,40,,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,237,0
pull,control,1,41,,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,237,0
pull,control,1,42,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,238,1
pull,control,1,43,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,238,0
pull,control,1,44,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,238,0
pull,control,1,45,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,238,0
pull,control,1,46,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,238,0
pull,control,1,47,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,239,1
pull,control,1,48,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,239,0
pull,control,1,49,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,239,0
pull,control,1,50,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,240,1
pull,control,1,51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
pull,control,1,52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
pull,control,1,53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
pull,control,1,54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
pull,control,1,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
pull,infectado,2,0,,280,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0
pull,infectado,2,1,,55,10,214,1,0,0,0,0,0,0,0,0,0,0,269,11,11
pull,infectado,2,2,,5,3,90,16,152,3,0,0,0,0,0,0,0,0,247,33,22
pull,infectado,2,3,,2,3,20,5,110,1,106,0,0,0,0,0,0,0,238,42,9
pull,infectado,2,4,,0,0,5,3,50,3,138,0,39,0,0,0,0,0,232,48,6
pull,infectado,2,5,,0,0,2,0,25,3,72,4,103,0,14,0,9,0,225,55,7
pull,infectado,2,6,,0,0,1,0,12,1,42,2,78,3,40,1,45,0,218,62,7
pull,infectado,2,7,,0,0,0,0,7,0,29,2,39,6,63,3,68,1,207,73,12
