weeks,co_pil_m,co_pil_h,inf_pil_m,inf_pil_h,co_rep1_m,co_rep1_h,inf_rep1_m,inf_rep1_h,co_rep2_m,co_rep2_h,inf_rep2_m,inf_rep2_h,co_pull_m,co_pull_h,inf_pull_m,inf_pull_h,co_pull_tot_ad,inf_pull_tot_ad
1,2,7,19,17,29,51,42,40,26,37,29,35,57,95,90,92,152,182
2,2,7,17,17,24,47,37,40,23,32,28,35,49,86,82,92,135,174
3,2,7,17,17,23,37,35,39,21,28,28,35,46,72,80,91,118,171
4,2,7,17,17,19,28,34,36,19,27,27,34,40,62,78,87,102,165
5,2,7,17,16,17,26,34,32,16,27,27,34,35,60,78,82,95,160
6,2,7,17,15,15,23,32,29,14,27,27,30,31,57,76,74,88,150
7,2,6,17,15,15,20,32,26,14,26,27,27,31,52,76,68,83,144
8,2,6,17,15,15,16,32,25,13,25,26,26,30,47,75,66,77,141
9,2,6,17,12,14,13,31,22,13,23,26,26,29,42,74,60,71,134
10,2,6,17,11,13,12,30,19,13,22,26,26,28,40,73,56,68,129
11,2,6,17,11,12,11,28,17,13,21,26,26,27,38,71,54,65,125
12,2,6,17,10,12,10,28,16,13,21,26,24,27,37,71,50,64,121
13,2,6,17,10,12,6,28,14,13,20,26,24,27,32,71,48,59,119
14,2,6,17,10,12,5,27,14,13,20,25,23,27,31,69,47,58,116
15,2,5,15,9,10,3,26,12,13,19,23,22,25,27,64,43,52,107
16,2,5,15,9,8,3,26,10,12,16,23,21,22,24,64,40,46,104
17,2,5,14,8,8,3,26,10,12,14,23,20,22,22,63,38,44,101
18,1,4,13,8,7,1,24,10,11,11,22,19,19,16,59,37,35,96
19,1,3,13,8,6,1,20,9,11,10,22,19,18,14,55,36,32,91
20,1,2,11,8,6,0,18,9,11,9,21,18,18,11,50,35,29,85
21,1,2,11,7,5,0,17,7,9,9,20,18,15,11,48,32,26,80
22,1,2,11,6,5,0,17,5,9,8,19,17,15,10,47,28,25,75
23,1,2,11,6,4,0,16,4,8,8,19,16,13,10,46,26,23,72
24,1,2,11,6,4,0,15,4,8,5,19,16,13,7,45,26,20,71
25,1,1,11,6,2,0,14,4,7,5,19,15,10,6,44,25,16,69
26,1,1,11,4,1,0,12,3,6,4,17,13,8,5,40,20,13,60
27,1,1,10,3,1,0,12,3,6,2,16,12,8,3,38,18,11,56
28,1,1,10,3,1,0,11,3,4,2,15,10,6,3,36,16,9,52
29,1,1,10,1,1,0,11,3,4,2,14,8,6,3,35,12,9,47
30,1,1,9,1,1,0,9,2,4,1,13,8,6,2,31,11,8,42
31,1,1,9,1,0,0,7,2,3,1,12,8,4,2,28,11,6,39
32,1,1,9,1,0,0,7,2,2,0,11,6,3,1,27,9,4,36
33,1,1,9,0,0,0,7,2,1,0,10,4,2,1,26,6,3,32
34,1,1,9,0,0,0,6,2,1,0,10,2,2,1,25,4,3,29
35,1,1,8,0,0,0,6,1,1,0,9,2,2,1,23,3,3,26
36,1,0,6,0,0,0,5,1,1,0,9,2,2,0,20,3,2,23
37,1,0,5,0,0,0,4,0,1,0,9,1,2,0,18,1,2,19
38,1,0,5,0,0,0,4,0,1,0,7,1,2,0,16,1,2,17
39,1,0,5,0,0,0,4,0,0,0,6,1,1,0,15,1,1,16
40,1,0,2,0,0,0,4,0,0,0,5,0,1,0,11,0,1,11
41,1,0,2,0,0,0,4,0,0,0,5,0,1,0,11,0,1,11
42,0,0,2,0,0,0,4,0,0,0,5,0,0,0,11,0,0,11
43,0,0,2,0,0,0,4,0,0,0,4,0,0,0,10,0,0,10
44,0,0,2,0,0,0,2,0,0,0,4,0,0,0,8,0,0,8
45,0,0,1,0,0,0,1,0,0,0,4,0,0,0,6,0,0,6
46,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,3
47,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
