treatment,stage,replicate,mean,sd,mean.sum,,mean de mean,sd,mean.sum
control,n1,replicate 1,1.2,0.41,1.2,,1.2,0.41,1.2
control,n2,replicate 1,1,0.0000001,2.2,,1,0.0000001,2.2
control,n3,replicate 1,2.17,1.58,4.37,,2.17,1.58,4.37
control,n4,replicate 1,4.91,3.94,9.28,,4.91,3.94,9.28
control,n5,replicate 1,3.67,1.53,12.95,,3.67,1.53,12.95
control,n1,replicate 2,1.21,0.43,1.21,,1.21,0.43,1.21
control,n2,replicate 2,1.39,0.53,2.6,,1.39,0.53,2.6
control,n3,replicate 2,1.61,0.86,4.21,,1.61,0.86,4.21
control,n4,replicate 2,1.94,0.63,6.15,,1.94,0.63,6.15
control,n5,replicate 2,1.64,0.62,7.79,,1.64,0.62,7.79
control,n1,replicate 3,1.14,0.35,1.14,,1.14,0.35,1.14
control,n2,replicate 3,1.2,0.43,2.34,,1.2,0.43,2.34
control,n3,replicate 3,1.07,0.07,3.41,,1.07,0.07,3.41
control,n4,replicate 3,1.46,0.6,4.87,,1.46,0.6,4.87
control,n5,replicate 3,1.65,0.99,6.52,,1.65,0.99,6.52
control,n1,all replicates,1.18,0.4,1.18,,1.18,0.04,1.18
control,n2,all replicates,1.25,0.46,2.43,,1.2,0.2,2.38
control,n3,all replicates,1.47,0.93,3.9,,1.62,0.55,4
control,n4,all replicates,2.18,2.01,6.08,,2.77,1.87,6.77
control,n5,all replicates,1.86,1.11,7.94,,2.32,1.17,9.09
infected,n1,replicate 1,1.23,0.48,1.23,,1.23,0.48,1.23
infected,n2,replicate 1,1,0.0000001,2.23,,1,0.0000001,2.23
infected,n3,replicate 1,1.95,1.51,4.18,,1.95,1.51,4.18
infected,n4,replicate 1,3.54,1.69,7.72,,3.54,1.69,7.72
infected,n5,replicate 1,2.98,2.96,10.7,,2.98,2.96,10.7
infected,n1,replicate 2,1.2,0.4,1.2,,1.2,0.4,1.2
infected,n2,replicate 2,1.56,0.78,2.76,,1.56,0.78,2.76
infected,n3,replicate 2,1.49,0.8,4.25,,1.49,0.8,4.25
infected,n4,replicate 2,1.64,0.67,5.89,,1.64,0.67,5.89
infected,n5,replicate 2,1.34,0.6,7.23,,1.34,0.6,7.23
infected,n1,replicate 3,1.24,0.57,1.24,,1.24,0.57,1.24
infected,n2,replicate 3,1.27,0.45,2.51,,1.27,0.45,2.51
infected,n3,replicate 3,1.26,1.07,3.77,,1.26,1.07,3.77
infected,n4,replicate 3,1.31,0.52,5.08,,1.31,0.52,5.08
infected,n5,replicate 3,1.35,0.51,6.43,,1.35,0.51,6.43
infected,n1,all replicates,1.22,0.49,1.22,,1.22,0.02,1.22
infected,n2,all replicates,1.3,0.58,2.52,,1.28,0.28,2.5
infected,n3,all replicates,1.54,1.15,4.06,,1.57,0.35,4.07
infected,n4,all replicates,2.02,1.35,6.08,,2.16,1.2,6.23
infected,n5,all replicates,1.74,1.68,7.82,,1.89,0.94,8.12
