treatment,cohort,n_weeks_alive as nymph,n_weeks_alive as adult,tot_weeks_alived,n_weeks laying_eggs,n_weeks_hatching eggs,tot_eggs_laid_ x_fem,tot_eggs_hatched_x_fem,%_hatched
control,rep1A,10,16,26,9,8,18,10,55.6
control,rep1A,10,18,28,15,14,47,15,31.9
control,rep1A,11,5,16,4,4,17,7,41.2
control,rep1A,11,23,34,23,23,171,88,51.5
control,rep1A,13,34,47,25,25,91,63,69.2
control,rep1A,14,17,31,16,16,63,41,65.1
control,rep1A,15,13,28,13,13,44,24,54.5
infected,rep1A,8,13,21,13,13,35,29,82.9
infected,rep1A,8,24,32,19,18,56,35,62.5
infected,rep1A,9,27,36,23,23,79,59,74.7
infected,rep1A,9,7,16,6,6,24,20,83.3
infected,rep1A,9,20,29,16,16,54,44,81.5
infected,rep1A,10,25,35,25,25,127,63,49.6
infected,rep1A,10,19,29,19,16,62,54,87.1
infected,rep1A,11,10,21,9,9,35,27,77.1
infected,rep1A,11,24,35,21,20,84,44,52.4
infected,rep1B,8,27,35,24,23,106,59,55.7
infected,rep1B,8,27,35,27,27,122,87,71.3
infected,rep1B,9,7,16,6,6,12,5,41.7
infected,rep1B,11,8,19,8,8,8,5,62.5
infected,rep1B,11,15,26,14,14,33,21,63.6
infected,rep1B,11,3,14,0,0,0,0,#¡DIV/0!
infected,rep1B,13,7,20,5,5,7,5,71.4
control,rep2A,5,11,16,8,8,30,25,83.3
control,rep2A,6,9,15,7,7,34,26,76.5
control,rep2A,6,4,10,3,3,17,15,88.2
control,rep2A,6,3,9,1,1,15,15,100
control,rep2A,6,2,8,1,0,7,0,0
control,rep2A,6,2,8,0,0,0,0,#¡DIV/0!
control,rep2A,6,10,16,8,8,50,33,66
control,rep2A,6,6,12,5,5,44,35,79.5
control,rep2A,7,12,19,7,7,13,9,69.2
control,rep2A,7,7,14,1,1,4,3,75
control,rep2A,7,11,18,8,8,46,40,87
control,rep2A,9,2,11,1,1,6,3,50
control,rep2A,9,7,16,3,3,15,2,13.3
control,rep2A,13,2,15,0,0,0,0,#¡DIV/0!
control,rep2B,5,11,16,7,6,16,13,81.3
control,rep2B,5,18,23,16,13,85,58,68.2
control,rep2B,5,13,18,8,8,25,23,92
control,rep2B,6,4,10,1,1,6,6,100
control,rep2B,6,16,22,6,6,45,18,40
control,rep2B,6,5,11,4,4,43,33,76.7
control,rep2B,7,6,13,6,6,20,13,65
control,rep2B,7,17,24,11,10,52,31,59.6
control,rep2B,8,8,16,7,7,13,12,92.3
