"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
1 17663.9130384284 1927 4548.66079749123 8.6 39.8 "day 1" "cam 1" "arena 1" "infected"
2 12756.8297801266 306 795.198230273647 1.4 47 "day 1" "cam 1" "arena 1" "infected"
3 0 0 0 0 48.4 "day 1" "cam 1" "arena 1" "control"
4 4044.18170697724 705 1034.03263393998 3.1 45.2 "day 1" "cam 1" "arena 1" "control"
1 17990.7580006959 440 873.267794595911 2 46.4 "day 1" "cam 2" "arena 2" "infected"
2 15304.2495246205 1017 1883.87107114714 4.5 43.8 "day 1" "cam 2" "arena 2" "infected"
3 18516.1029332058 2667 4516.61870827375 11.9 36.5 "day 1" "cam 2" "arena 2" "control"
4 18151.7344382869 90 213.226674791764 0.4 47.9 "day 1" "cam 2" "arena 2" "control"
1 4422.60215950779 8800 1067.41951279165 39.2 9.1 "day 1" "cam 3" "arena 3" "infected"
2 4310.54305944637 7554 826.306840122698 33.7 14.7 "day 1" "cam 3" "arena 3" "infected"
3 11776.0679848045 2017 2535.27216426029 9 39.4 "day 1" "cam 3" "arena 3" "control"
4 11164.1766756347 1885 4237.79358644439 8.4 39.9 "day 1" "cam 3" "arena 3" "control"
1 3023.64885369004 0 0 0 48.3 "day 1" "cam 4" "arena 4" "infected"
2 11820.7554609369 147 619.666037279163 0.7 47.7 "day 1" "cam 4" "arena 4" "infected"
3 19991.7441343719 2611 6385.51742804705 11.6 36.7 "day 1" "cam 4" "arena 4" "control"
4 16749.8550991217 846 2086.38716474205 3.8 44.6 "day 1" "cam 4" "arena 4" "control"
1 0 0 0 0 60.1 "day 2" "cam 1" "arena 5" "infected"
2 22137.2131316157 4769 8886.8995466948 21.3 38.9 "day 2" "cam 1" "arena 5" "infected"
3 6950.00322597552 1322 2388.22214566788 5.9 54.2 "day 2" "cam 1" "arena 5" "control"
4 23167.9924710758 2672 7665.30761801825 11.9 48.2 "day 2" "cam 1" "arena 5" "control"
1 11495.5138979844 1521 2376.86745050449 6.8 53.4 "day 2" "cam 2" "arena 6" "infected"
2 11340.9255737549 3206 4425.77868258576 14.3 45.9 "day 2" "cam 2" "arena 6" "infected"
3 16760.5304427703 2454 3085.11228788756 10.9 49.2 "day 2" "cam 2" "arena 6" "control"
4 20784.8053421315 1126 3585.87668544312 5 55.1 "day 2" "cam 2" "arena 6" "control"
1 12926.4849004461 0 0 0 60.1 "day 2" "cam 3" "arena 7" "infected"
2 15426.0179023794 2446 5520.82777840682 10.9 49.2 "day 2" "cam 3" "arena 7" "infected"
3 13446.9066271974 168 898.809430232665 0.7 59.4 "day 2" "cam 3" "arena 7" "control"
4 21928.0248968795 3325 4754.91371998215 14.8 45.3 "day 2" "cam 3" "arena 7" "control"
1 0 0 0 0 60.2 "day 2" "cam 4" "arena 8" "infected"
2 22304.3909273742 1823 4028.58410730475 8.1 52 "day 2" "cam 4" "arena 8" "infected"
3 16081.2370815586 6269 7401.78410602698 28 32.2 "day 2" "cam 4" "arena 8" "control"
4 17633.0841018459 4381 7034.84487507211 19.5 40.6 "day 2" "cam 4" "arena 8" "control"
1 13053.6241266166 217 754.038266196673 1 37.3 "day 3" "cam 1" "arena 9" "infected"
2 16613.4882584088 1295 3460.89799535482 5.8 32.5 "day 3" "cam 1" "arena 9" "infected"
3 12634.1678322082 941 1852.86336712424 4.2 34.1 "day 3" "cam 1" "arena 9" "control"
4 14706.0950590865 1208 2831.0951859527 5.4 32.9 "day 3" "cam 1" "arena 9" "control"
1 12041.4536147239 718 1619.33909212148 3.2 34.2 "day 3" "cam 2" "arena 10" "infected"
2 9250.03056109301 1745 3164.82991247319 7.8 29.7 "day 3" "cam 2" "arena 10" "infected"
3 5485.94265788722 97 371.426552646142 0.4 37 "day 3" "cam 2" "arena 10" "control"
4 3058.71847252056 2 3.25953859183219 0 37.4 "day 3" "cam 2" "arena 10" "control"
1 12382.5532167 243 718.884198004712 1.1 37.5 "day 3" "cam 3" "arena 11" "infected"
2 11409.5998909094 1201 2318.93556081528 5.4 33.2 "day 3" "cam 3" "arena 11" "infected"
3 686.760098902227 0 0 0 38.6 "day 3" "cam 3" "arena 11" "control"
4 11683.9735815675 1190 2327.69357407738 5.3 33.3 "day 3" "cam 3" "arena 11" "control"
1 18098.572772692 1166 3732.17462129681 5.2 32.5 "day 3" "cam 4" "arena 12" "infected"
2 3862.86250022565 679 1124.15374521141 3 34.7 "day 3" "cam 4" "arena 12" "infected"
3 10035.263339671 1158 2200.54025259982 5.2 32.5 "day 3" "cam 4" "arena 12" "control"
4 14712.1178962583 1085 2623.6735711535 4.8 32.9 "day 3" "cam 4" "arena 12" "control"
1 8184.88368868818 11009 5076.2139268138 49.1 11.1 "day 4" "cam 1" "arena 13" "infected"
2 28594.5431260269 1312 3644.94599709154 5.9 54.3 "day 4" "cam 1" "arena 13" "infected"
3 17811.5512730101 440 999.041694048208 2 58.2 "day 4" "cam 1" "arena 13" "control"
4 0 0 0 0 60.2 "day 4" "cam 1" "arena 13" "control"
1 7796.03786835296 103 86.3337653271437 0.5 59.7 "day 4" "cam 2" "arena 14" "infected"
2 7497.16646709095 0 0 0 60.1 "day 4" "cam 2" "arena 14" "infected"
3 0 0 0 0 60.1 "day 4" "cam 2" "arena 14" "control"
4 15704.6085179022 783 2249.88594728153 3.5 56.6 "day 4" "cam 2" "arena 14" "control"
1 3295.1932045601 12064 1625.27606988403 53.8 6.4 "day 4" "cam 3" "arena 15" "infected"
2 16964.482077267 573 1532.72319477428 2.6 57.6 "day 4" "cam 3" "arena 15" "infected"
3 24136.5858220168 4087 5856.95410278696 18.2 41.9 "day 4" "cam 3" "arena 15" "control"
4 10394.5248322765 1133 2631.82602679689 5.1 55.1 "day 4" "cam 3" "arena 15" "control"
1 16503.6137473149 413 1625.13237112077 1.8 58.3 "day 4" "cam 4" "arena 16" "infected"
2 18878.7091221187 1231 2313.88651487512 5.5 54.7 "day 4" "cam 4" "arena 16" "infected"
3 14742.5092031054 542 1731.39752317154 2.4 57.7 "day 4" "cam 4" "arena 16" "control"
4 15132.6003712593 178 503.799142696068 0.8 59.4 "day 4" "cam 4" "arena 16" "control"
1 19239.7956429461 1799 3469.4258428992 8 52.1 "day 5" "cam 1" "arena 17" "infected"
2 20219.2479109096 1296 2554.039001581 5.8 54.4 "day 5" "cam 1" "arena 17" "infected"
