"day" "camera" "hour" "arena" "infection.status" "track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "tot.distance.cm" "speed.cmxmin" "tot.distance.m" "seconds.moving" "speed.mxsec" "speed.cmxsec"
"day 1" "cam 1" "hour 1" "arena 1" "infected" 1 25347.5817780961 1450 5559.76297229192 6.5 53.7 670.65 103.2 6.7065 387.959866220736 0.02 1.73
"day 1" "cam 1" "hour 1" "arena 1" "infected" 2 34542.2228063117 1686 8149.24977230766 7.5 52.6 913.93 121.9 9.1393 451.103678929766 0.02 2.03
"day 1" "cam 1" "hour 1" "arena 1" "control" 3 0 0 0 0 60.1 0 0 0 0 0 0
"day 1" "cam 1" "hour 1" "arena 1" "control" 4 52928.5977592111 2216 16204.2661970809 9.9 50.3 1400.4 141.5 14.004 592.909698996655 0.02 2.36
"day 1" "cam 2" "hour 1" "arena 2" "infected" 1 26767.9562171948 1539 4339.45396042182 6.9 53.3 708.24 102.6 7.0824 411.772575250836 0.02 1.72
"day 1" "cam 2" "hour 1" "arena 2" "infected" 2 19034.4599255587 592 2416.85764929514 2.6 57.5 503.62 193.7 5.0362 158.394648829431 0.03 3.18
"day 1" "cam 2" "hour 1" "arena 2" "control" 3 38611.8286195938 1887 6997.24104745445 8.4 51.7 1021.6 121.6 10.216 504.882943143813 0.02 2.02
"day 1" "cam 2" "hour 1" "arena 2" "control" 4 22227.7088714734 894 2262.32893508453 4 56.1 588.11 147 5.8811 239.197324414716 0.02 2.46
"day 1" "cam 3" "hour 1" "arena 3" "infected" 1 26835.1683477178 1413 4253.47226518481 6.3 53.8 710.01 112.7 7.1001 378.060200668896 0.02 1.88
"day 1" "cam 3" "hour 1" "arena 3" "infected" 2 27810.6797683353 2104 5130.84653512286 9.4 50.8 735.82 78.3 7.3582 562.943143812709 0.01 1.31
"day 1" "cam 3" "hour 1" "arena 3" "control" 3 24055.1799708206 659 2430.69268093688 2.9 57.2 636.46 219.5 6.3646 176.321070234114 0.04 3.61
