"day","camera","arena","infection.status","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open"
"day 1","cam 1","arena 1","infected",124.02,163.16,148.28,93.6,80.56,96.35,54.64,72.6,97.6,104.44,76.41,105.79,110.22,102.9,107.88,69.94,NA,NA,8.2943143812709,142.341137123746,52.1739130434783,0,0,0,236.521739130435,0,30.5016722408027,0,0,51.1036789297659,44.9498327759197,0,61.0033444816054,229.565217391304,NA,NA,3.26,43.07,20.97,0,0,0,26.4,0,5.73,0,0,20.45,15.91,0,21.75,29.53,NA,NA
"day 1","cam 1","arena 1","infected",193.33,157.45,188.98,179.44,113.84,132.74,101.98,114.85,69.05,141.81,135.77,99.82,118.39,71.5,49.41,29.42,NA,NA,63.1438127090301,17.123745819398,62.3411371237458,111.839464882943,0,77.3244147157191,20.3344481605351,0,0,56.7224080267559,22.2073578595318,0,36.9230769230769,0,0,0,NA,NA,47.45,13.54,31.78,16.3,0,29.03,7.88,0,0,18.65,7.32,0,10.26,0,0,0,NA,NA
"day 1","cam 1","arena 1","control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"day 1","cam 1","arena 1","control",281,356.29,284.54,147.09,226.59,172.67,160.54,116.67,101,136.73,110.53,123.45,38.89,0,0,0,NA,NA,17.123745819398,74.6488294314381,94.9832775919732,31.8394648829431,22.2073578595318,75.7190635451505,99.2642140468227,0,85.61872909699,35.5852842809365,51.9063545150502,318.394648829431,0,0,0,0,NA,NA,20.18,52.31,74.35,21.81,18.04,41.06,45.66,0,11.29,22.64,24.5,69.13,0,0,0,0,NA,NA
"day 1","cam 2","arena 2","infected",153.39,149.84,147.62,144.3,82.65,66.66,152.32,98.84,71.02,77.74,120.76,157.09,127.42,92.67,83.65,57.44,NA,NA,0,42.809364548495,12.0401337792642,134.046822742475,0,0,162.675585284281,0,50.8361204013378,0,1.33779264214047,40.6688963210702,2.67558528428094,0,0,0,NA,NA,0,18.56,4.57,31.39,0,0,59.61,0,10.55,0,0.56,9.46,1.04,0,0,0,NA,NA
"day 1","cam 2","arena 2","infected",61.48,69.94,61.19,118.43,118.04,111.15,80.96,90.12,89.72,115.49,73.34,108.23,113.5,75.81,66.62,63.02,NA,NA,0,2.14046822742475,0,0,32.3745819397993,0,0,0,0,25.4180602006689,0,0,0,37.4581939799331,0,0,NA,NA,0,7.57,0,0,16.92,0,0,0,0,11.68,0,0,0,5.12,0,0,NA,NA
"day 1","cam 2","arena 2","control",186.05,200.62,180.71,166.3,163.56,158.22,115.49,132.64,110.17,85.14,132.21,103.78,145.87,124.24,72.68,79.85,NA,NA,21.4046822742475,42.5418060200669,22.2073578595318,44.9498327759197,9.36454849498328,7.49163879598662,0,6.68896321070234,0,42.5418060200669,147.157190635452,0,0,72.7759197324415,0,28.628762541806,NA,NA,18.59,29.81,5.83,24.58,4.17,4.91,0,4.88,0,19.27,37.25,0,0,27.27,0,12.46,NA,NA
"day 1","cam 2","arena 2","control",32.97,114.36,136.19,119.62,106.45,117.38,114.99,133.25,103.61,113.29,97.12,117.61,108.8,108,115.96,82.4,NA,NA,0,0,39.0635451505017,0,5.08361204013378,0,36.3879598662207,64.7491638795987,122.541806020067,5.35117056856187,122.541806020067,2.67558528428094,0,0,0,0,NA,NA,0,0,17.55,0,3.47,0,16.96,27.75,30.34,2.51,31.67,1.42,0,0,0,0,NA,NA
"day 1","cam 3","arena 3","infected",134.95,184.13,164.28,103.98,78.27,75.49,83.39,79.4,100.62,82.75,109.79,101.22,40.59,0,0,0,NA,NA,0,141.270903010033,39.0635451505017,54.8494983277592,0,0,0,0,1.60535117056856,0,81.0702341137124,0,0,0,0,0,NA,NA,0,37.82,11.16,14.24,0,0,0,0,0.52,0,26.48,0,0,0,0,0,NA,NA
"day 1","cam 3","arena 3","infected",251.16,130.53,117.16,85.95,84.84,109.18,75.27,54.33,45.16,48.62,61.99,69.75,66.02,0,0,0,NA,NA,27.2909698996656,100.602006688963,32.6421404682274,0,0,40.4013377926421,0,0,0,0,0,0,0,0,0,0,NA,NA,15.31,24.38,10.78,0,0,5.43,0,0,0,0,0,0,0,0,0,0,NA,NA
