"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 1","cam 1","rep1","infected",112.86,163.94,143.06,80.98,86.38,81.8,60.64,71.21,67.93,90.95,99.31,78.97,95.76,106.44,100.56,96.95,NA,NA,1537.74,0,150.635451505017,52.1739130434783,0,0,0,54.314381270903,182.207357859532,0,30.5016722408027,0,0,51.1036789297659,44.9498327759197,13.9130434782609,47.0903010033445,NA,NA,626.889632107023,0,46.33,20.97,0,0,0,8.99,17.41,0,5.73,0,0,20.45,15.91,5.36,16.39,NA,NA,157.54
"day 1","cam 1","rep1","infected",189.85,147.78,165.93,173.29,110.43,126.26,126.08,75.24,94.13,85.36,142.15,118.79,93.83,110.82,62.49,45.91,NA,NA,1868.34,63.1438127090301,17.123745819398,34.5150501672241,139.665551839465,0,39.0635451505017,58.5953177257525,0,0,2.14046822742475,76.7892976588629,0,0,36.9230769230769,0,0,NA,NA,467.959866220736,47.45,13.54,27.2,20.89,0,15.46,21.45,0,0,0.46,25.5,0,0,10.26,0,0,NA,NA,182.21
"day 1","cam 1","rep1","control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"day 1","cam 1","rep1","control",261.18,324.56,300.8,162.53,167.89,176.32,190.3,82.87,125.28,98.79,123.71,132.76,85.54,23.47,0,0,NA,NA,2256,17.123745819398,51.9063545150502,108.361204013378,41.2040133779264,20.3344481605351,40.4013377926421,136.454849498328,0,0,85.61872909699,35.5852842809365,166.95652173913,203.344481605351,0,0,0,NA,NA,907.290969899666,20.18,33.61,87.21,27.66,16.66,18.36,69.74,0,0,11.29,22.64,66.05,27.58,0,0,0,NA,NA,400.98
"day 1","cam 2","rep2","infected",143.64,144.71,133.89,136.82,99.09,49.28,121.34,113.59,101.43,41.63,97.1,121.03,142.04,120.08,82.57,77.32,NA,NA,1725.56,0,42.809364548495,12.0401337792642,134.046822742475,0,0,85.8862876254181,76.7892976588629,50.8361204013378,0,0,42.0066889632107,0,2.67558528428094,0,0,NA,NA,447.090301003345,0,18.56,4.57,31.39,0,0,31.81,27.79,10.55,0,0,10.02,0,1.04,0,0,NA,NA,135.73
"day 1","cam 2","rep2","infected",58.4,64.8,47.5,114.61,93.36,124.54,87.13,67.03,88.54,103.21,88.53,70.93,109.47,100.95,71.74,63,NA,NA,1353.74,0,2.14046822742475,0,0,9.36454849498328,23.0100334448161,0,0,0,25.4180602006689,0,0,0,0,37.4581939799331,0,NA,NA,97.3913043478261,0,7.57,0,0,5.7,11.22,0,0,0,11.68,0,0,0,0,5.12,0,NA,NA,41.29
"day 1","cam 2","rep2","control",162.91,188.72,173.49,160.87,150.86,182.84,95.67,146.64,81.85,119.65,75.75,123.38,99.95,126.33,123.37,65.01,NA,NA,2077.29,6.42140468227425,36.1204013377926,43.6120401337793,8.82943143812709,36.1204013377926,16.8561872909699,0,6.68896321070234,0,42.5418060200669,0,147.157190635452,0,0,72.7759197324415,0,NA,NA,417.123745819398,5.41,30.83,17.99,7.35,17.22,9.08,0,4.88,0,19.27,0,37.25,0,0,27.27,0,NA,NA,176.55
"day 1","cam 2","rep2","control",29.86,97.87,135.83,117.53,98.19,106.86,104.56,121.02,117.91,107.8,98.35,101.24,85.82,103.24,105.66,107.71,NA,NA,1639.45,0,0,39.0635451505017,0,0,5.08361204013378,0,80,71.1705685618729,72.5083612040134,127.892976588629,2.67558528428094,0,0,0,0,NA,NA,398.394648829431,0,0,17.55,0,0,3.47,0,30.61,28.78,15.68,34.17,1.42,0,0,0,0,NA,NA,131.68
"day 1","cam 3","rep3","infected",124.68,170.7,165.14,108.47,71.46,68.55,78.5,62.89,98.15,86.47,79.16,105.34,95.16,24.18,0,0,NA,NA,1338.85,0,141.270903010033,39.0635451505017,54.8494983277592,0,0,0,0,0,1.60535117056856,0,81.0702341137124,0,0,0,0,NA,NA,317.859531772575,0,37.82,11.16,14.24,0,0,0,0,0,0.52,0,26.48,0,0,0,0,NA,NA,90.22
"day 1","cam 3","rep3","infected",235.8,125.41,124,74.74,89.05,86.82,88.05,62.75,41.71,42.71,51.65,60.98,62.27,54.02,0,0,NA,NA,1199.96,27.2909698996656,21.4046822742475,111.839464882943,0,0,40.4013377926421,0,0,0,0,0,0,0,0,0,0,NA,NA,200.936454849498,15.31,4.46,30.7,0,0,5.43,0,0,0,0,0,0,0,0,0,0,NA,NA,55.9
"day 1","cam 3","rep3","control",126.75,106.84,155.88,122.72,55.57,67.47,16.86,0,0,0,0,0,89.48,79.23,23.55,78,NA,NA,922.35,0,0,12.8428093645485,18.4615384615385,0,0,0,0,0,0,0,0,0,0,0,83.7458193979933,NA,NA,115.05016722408,0,0,8.79,9.6,0,0,0,0,0,0,0,0,0,0,0,12.1,NA,NA,30.49
"day 1","cam 3","rep3","control",112.87,203.23,165.31,176.56,164.18,94.8,96.48,99.16,119.81,68.89,78.83,90.49,82.13,122.1,93.22,0,NA,NA,1768.06,15.5183946488294,45.2173913043478,17.6588628762542,117.725752508361,41.4715719063545,0,0,4.54849498327759,59.3979933110368,0,15.2508361204013,0,0,66.6220735785953,158.929765886288,0,NA,NA,542.341137123746,9.62,13.15,6.9,57.35,16.15,0,0,2.43,18.33,0,9.11,0,0,22.79,34.14,0,NA,NA,189.97
"day 1","cam 4","rep4","infected",162.03,100.35,57.72,70.89,142.19,51.34,24.14,0,0,0,0,0,0.08,0,0,0,NA,NA,608.74,9.89966555183947,4.0133779264214,0,0,46.8227424749164,0,0,0,0,0,0,0,0,0,0,0,NA,NA,60.7357859531773,8.71,2.87,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0,NA,NA,27.19
"day 1","cam 4","rep4","infected",186.78,190.35,182.28,143.76,82.07,107.75,120.19,86.85,104.55,110.8,75.42,120.52,106.27,96.53,89.59,24.39,NA,NA,1828.1,53.7792642140468,22.4749163879599,89.6321070234114,41.4715719063545,0,11.505016722408,55.9197324414716,0,0,83.4782608695652,0,51.1036789297659,0,0,0,0,NA,NA,409.364548494983,11.75,16.79,20.25,25.45,0,4.2,19.6,0,0,17.79,0,20.88,0,0,0,0,NA,NA,136.71
"day 1","cam 4","rep4","control",112.74,184.83,154.89,159.3,136.1,97.29,121.51,91.1,111.87,146.94,76.95,70.03,103.29,106,130.73,113.64,NA,NA,1917.21,8.2943143812709,46.8227424749164,24.3478260869565,42.2742474916388,0,41.2040133779264,142.608695652174,0,135.117056856187,326.421404682274,98.7290969899666,0,74.6488294314381,30.2341137123746,142.073578595318,73.5785953177258,NA,NA,1186.35451505017,10.64,8.5,9.95,16.23,0,9.44,36.09,0,43.6,80.82,22.8,0,17.79,10.17,41.81,21.82,NA,NA,329.66
"day 1","cam 4","rep4","control",0,0,0,0,0,85.05,128.66,121.31,122.51,130.38,115.92,125.56,74.33,99.02,127.08,80.06,NA,NA,1209.88,0,0,0,0,0,119.33110367893,0,0.802675585284281,45.2173913043478,33.7123745819398,27.8260869565217,5.61872909698997,65.0167224080268,6.95652173913044,22.4749163879599,0,NA,NA,326.95652173913,0,0,0,0,0,30.9,0,0.17,13.79,13.35,15.67,2.79,14.47,1.89,7.21,0,NA,NA,100.24
"day 2","cam 1","rep5","infected",309.25,243.57,255.65,182.9,149.74,128.57,73.93,113.22,10.37,0,0,0,14.57,0,0,0,0,0,1481.77,32.1070234113712,36.9230769230769,27.2909698996656,0,91.505016722408,44.6822742474916,0,22.742474916388,0,0,0,0,0,0,0,0,0,0,255.250836120401,28.87,15.3,32.48,0,21.16,17.96,0,19.82,0,0,0,0,0,0,0,0,0,0,135.59
"day 2","cam 1","rep5","infected",285.2,198.61,189.81,166.09,133.8,102.24,147.37,136.23,121.8,110.83,114.29,72.58,86.33,133.74,94.18,101.45,71.79,96.36,2362.7,7.22408026755853,20.066889632107,9.36454849498328,0,36.9230769230769,62.6086956521739,0,26.7558528428094,0,52.9765886287625,39.5986622073579,0,0,71.7056856187291,193.177257525084,0,0,149.297658862876,669.698996655518,18.74,19.42,5.44,0,23.24,15.22,0,10.4,0,23.51,20.86,0,0,33.08,31.18,0,0,25.6,226.69
"day 2","cam 1","rep5","control",278.07,301.98,121.74,114.15,112.14,129.79,154.64,95.87,105.15,144.32,68.49,73.5,44.34,69.36,71.71,0,0,0,1885.25,7.22408026755853,17.6588628762542,0,0,25.685618729097,82.4080267558528,138.595317725753,49.4983277591973,58.8628762541806,21.6722408026756,0,0,0,0,43.0769230769231,0,0,0,444.682274247492,12.82,27.3,0,0,24.43,20.92,34.42,11.83,16.06,12.46,0,0,0,0,11.14,0,0,0,171.38
"day 2","cam 1","rep5","control",280.93,57.66,13.44,6.95,28.8,351.06,230.91,243.37,237.92,205.35,85.12,58.51,143.03,124.74,103.92,74.97,71.07,94.33,2412.08,5.88628762541806,0,0,0,8.561872909699,34.247491638796,45.4849498327759,82.943143812709,47.0903010033445,12.0401337792642,0,0,85.8862876254181,38.5284280936455,89.3645484949833,0,0,59.1304347826087,509.163879598662,8.54,0,0,0,7.31,20.66,28.96,57.07,22.06,11.83,0,0,38.6,12.29,30.81,0,0,20.46,258.59
"day 2","cam 2","rep6","infected",195.91,177.48,232.11,112.68,222.65,36.26,136.1,163.97,132.69,58.48,57.01,121.97,50.19,118.16,34.79,33.44,46.36,22.09,1952.34,56.9899665551839,30.5016722408027,37.7257525083612,0.802675585284281,30.7692307692308,38.7959866220736,62.0735785953177,77.3244147157191,229.832775919732,0,0,0,0,52.1739130434783,0,0,0,0,616.989966555184,19.38,38.44,51.68,1.85,34.85,8.85,25.64,45.37,41.75,0,0,0,0,16.65,0,0,0,0,284.46
"day 2","cam 2","rep6","infected",0,0,0,0,0,0,0,0,0,0,0,0,19.74,27.88,59.15,76.43,60.61,73.79,317.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87290969899666,149.565217391304,0,178.996655518395,330.434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,22.6,0,30.66,53.27
"day 2","cam 2","rep6","control",205.18,88.63,88.78,115.59,99.48,55.4,54.05,55.8,89.05,78.32,67.47,55.78,126.73,82.82,76.03,72.19,48.23,36.91,1496.44,18.9966555183947,21.6722408026756,0,46.0200668896321,61.8060200668896,282.809364548495,0,0,207.892976588629,141.80602006689,0,0,30.5016722408027,0,0,0,0,0,811.505016722408,25.06,16.9,0,22.62,28.06,26.19,0,0,32.24,25.26,0,0,10.65,0,0,0,0,0,186.98
