"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 1","cam 1","rep1","control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"day 1","cam 1","rep1","control",261.18,324.56,300.8,162.53,167.89,176.32,190.3,82.87,125.28,98.79,123.71,132.76,85.54,23.47,0,0,NA,NA,2256,17.123745819398,51.9063545150502,108.361204013378,41.2040133779264,20.3344481605351,40.4013377926421,136.454849498328,0,0,85.61872909699,35.5852842809365,166.95652173913,203.344481605351,0,0,0,NA,NA,907.290969899666,20.18,33.61,87.21,27.66,16.66,18.36,69.74,0,0,11.29,22.64,66.05,27.58,0,0,0,NA,NA,400.98
"day 1","cam 2","rep2","control",162.91,188.72,173.49,160.87,150.86,182.84,95.67,146.64,81.85,119.65,75.75,123.38,99.95,126.33,123.37,65.01,NA,NA,2077.29,6.42140468227425,36.1204013377926,43.6120401337793,8.82943143812709,36.1204013377926,16.8561872909699,0,6.68896321070234,0,42.5418060200669,0,147.157190635452,0,0,72.7759197324415,0,NA,NA,417.123745819398,5.41,30.83,17.99,7.35,17.22,9.08,0,4.88,0,19.27,0,37.25,0,0,27.27,0,NA,NA,176.55
"day 1","cam 2","rep2","control",29.86,97.87,135.83,117.53,98.19,106.86,104.56,121.02,117.91,107.8,98.35,101.24,85.82,103.24,105.66,107.71,NA,NA,1639.45,0,0,39.0635451505017,0,0,5.08361204013378,0,80,71.1705685618729,72.5083612040134,127.892976588629,2.67558528428094,0,0,0,0,NA,NA,398.394648829431,0,0,17.55,0,0,3.47,0,30.61,28.78,15.68,34.17,1.42,0,0,0,0,NA,NA,131.68
"day 1","cam 3","rep3","control",126.75,106.84,155.88,122.72,55.57,67.47,1.24,0,0,0,0,0,74.74,79.23,23.55,78,NA,NA,891.99,0,0,12.8428093645485,18.4615384615385,0,0,0,0,0,0,0,0,0,0,0,83.7458193979933,NA,NA,115.05016722408,0,0,8.79,9.6,0,0,0,0,0,0,0,0,0,0,0,12.1,NA,NA,30.49
"day 1","cam 3","rep3","control",112.87,203.23,165.31,176.56,164.18,94.8,96.48,99.16,119.81,68.89,78.83,90.49,82.13,122.1,93.22,0,NA,NA,1768.06,15.5183946488294,45.2173913043478,17.6588628762542,117.725752508361,41.4715719063545,0,0,4.54849498327759,59.3979933110368,0,15.2508361204013,0,0,66.6220735785953,158.929765886288,0,NA,NA,542.341137123746,9.62,13.15,6.9,57.35,16.15,0,0,2.43,18.33,0,9.11,0,0,22.79,34.14,0,NA,NA,189.97
"day 1","cam 4","rep4","control",112.74,184.83,154.89,159.3,136.1,97.29,121.51,91.1,111.87,146.94,76.95,70.03,103.29,106,130.73,113.64,NA,NA,1917.21,8.2943143812709,46.8227424749164,24.3478260869565,42.2742474916388,0,41.2040133779264,142.608695652174,0,135.117056856187,326.421404682274,98.7290969899666,0,74.6488294314381,30.2341137123746,142.073578595318,73.5785953177258,NA,NA,1186.35451505017,10.64,8.5,9.95,16.23,0,9.44,36.09,0,43.6,80.82,22.8,0,17.79,10.17,41.81,21.82,NA,NA,329.66
"day 1","cam 4","rep4","control",0,0,0,0,0,85.05,128.66,121.31,122.51,130.38,115.92,125.56,74.33,99.02,127.08,80.06,NA,NA,1209.88,0,0,0,0,0,119.33110367893,0,0.802675585284281,45.2173913043478,33.7123745819398,27.8260869565217,5.61872909698997,65.0167224080268,6.95652173913044,22.4749163879599,0,NA,NA,326.95652173913,0,0,0,0,0,30.9,0,0.17,13.79,13.35,15.67,2.79,14.47,1.89,7.21,0,NA,NA,100.24
"day 2","cam 1","rep5","control",278.07,301.98,121.74,114.15,112.14,129.79,154.64,95.87,105.15,144.32,68.49,73.5,44.34,69.36,71.71,0,0,0,1885.25,7.22408026755853,17.6588628762542,0,0,25.685618729097,82.4080267558528,138.595317725753,49.4983277591973,58.8628762541806,21.6722408026756,0,0,0,0,43.0769230769231,0,0,0,444.682274247492,12.82,27.3,0,0,24.43,20.92,34.42,11.83,16.06,12.46,0,0,0,0,11.14,0,0,0,171.38
"day 2","cam 1","rep5","control",280.93,57.66,13.44,6.95,28.8,351.06,230.91,243.37,237.92,205.35,85.12,58.51,143.03,124.74,103.92,74.97,71.07,94.33,2412.08,5.88628762541806,0,0,0,8.561872909699,34.247491638796,45.4849498327759,82.943143812709,47.0903010033445,12.0401337792642,0,0,85.8862876254181,38.5284280936455,89.3645484949833,0,0,59.1304347826087,509.163879598662,8.54,0,0,0,7.31,20.66,28.96,57.07,22.06,11.83,0,0,38.6,12.29,30.81,0,0,20.46,258.59
