"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 1","cam 1","rep1","infected",112.86,163.94,143.06,80.98,86.38,81.8,60.64,71.21,67.93,90.95,99.31,78.97,95.76,106.44,100.56,96.95,NA,NA,1537.74,0,150.635451505017,52.1739130434783,0,0,0,54.314381270903,182.207357859532,0,30.5016722408027,0,0,51.1036789297659,44.9498327759197,13.9130434782609,47.0903010033445,NA,NA,626.889632107023,0,46.33,20.97,0,0,0,8.99,17.41,0,5.73,0,0,20.45,15.91,5.36,16.39,NA,NA,157.54
"day 1","cam 1","rep1","infected",189.85,147.78,165.93,173.29,110.43,126.26,126.08,75.24,94.13,85.36,142.15,118.79,93.83,110.82,62.49,45.91,NA,NA,1868.34,63.1438127090301,17.123745819398,34.5150501672241,139.665551839465,0,39.0635451505017,58.5953177257525,0,0,2.14046822742475,76.7892976588629,0,0,36.9230769230769,0,0,NA,NA,467.959866220736,47.45,13.54,27.2,20.89,0,15.46,21.45,0,0,0.46,25.5,0,0,10.26,0,0,NA,NA,182.21
"day 1","cam 2","rep2","infected",143.64,144.71,133.89,136.82,99.09,49.28,121.34,113.59,101.43,41.63,97.1,121.03,142.04,120.08,82.57,77.32,NA,NA,1725.56,0,42.809364548495,12.0401337792642,134.046822742475,0,0,85.8862876254181,76.7892976588629,50.8361204013378,0,0,42.0066889632107,0,2.67558528428094,0,0,NA,NA,447.090301003345,0,18.56,4.57,31.39,0,0,31.81,27.79,10.55,0,0,10.02,0,1.04,0,0,NA,NA,135.73
"day 1","cam 2","rep2","infected",58.4,64.8,47.5,114.61,93.36,124.54,87.13,67.03,88.54,103.21,88.53,70.93,109.47,100.95,71.74,63,NA,NA,1353.74,0,2.14046822742475,0,0,9.36454849498328,23.0100334448161,0,0,0,25.4180602006689,0,0,0,0,37.4581939799331,0,NA,NA,97.3913043478261,0,7.57,0,0,5.7,11.22,0,0,0,11.68,0,0,0,0,5.12,0,NA,NA,41.29
"day 1","cam 3","rep3","infected",124.68,170.7,165.14,108.47,71.46,68.55,78.5,62.89,98.15,86.47,79.16,105.34,95.16,24.18,0,0,NA,NA,1338.85,0,141.270903010033,39.0635451505017,54.8494983277592,0,0,0,0,0,1.60535117056856,0,81.0702341137124,0,0,0,0,NA,NA,317.859531772575,0,37.82,11.16,14.24,0,0,0,0,0,0.52,0,26.48,0,0,0,0,NA,NA,90.22
"day 1","cam 3","rep3","infected",235.8,125.41,124,74.74,89.05,86.82,88.05,62.75,41.71,42.71,51.65,60.98,62.27,54.02,0,0,NA,NA,1199.96,27.2909698996656,21.4046822742475,111.839464882943,0,0,40.4013377926421,0,0,0,0,0,0,0,0,0,0,NA,NA,200.936454849498,15.31,4.46,30.7,0,0,5.43,0,0,0,0,0,0,0,0,0,0,NA,NA,55.9
"day 1","cam 4","rep4","infected",162.03,100.35,57.72,70.89,142.19,51.34,24.14,0,0,0,0,0,0,0,0,0,NA,NA,608.66,9.89966555183947,4.0133779264214,0,0,46.8227424749164,0,0,0,0,0,0,0,0,0,0,0,NA,NA,60.7357859531773,8.71,2.87,0,0,15.61,0,0,0,0,0,0,0,0,0,0,0,NA,NA,27.19
"day 1","cam 4","rep4","infected",186.78,190.35,182.28,143.76,82.07,107.75,120.19,86.85,104.55,110.8,75.42,120.52,106.27,96.53,89.59,24.39,NA,NA,1828.1,53.7792642140468,22.4749163879599,89.6321070234114,41.4715719063545,0,11.505016722408,55.9197324414716,0,0,83.4782608695652,0,51.1036789297659,0,0,0,0,NA,NA,409.364548494983,11.75,16.79,20.25,25.45,0,4.2,19.6,0,0,17.79,0,20.88,0,0,0,0,NA,NA,136.71
"day 2","cam 1","rep5","infected",309.25,243.57,255.65,182.9,149.74,128.57,73.93,113.22,10.37,0,0,0,0,0,0,0,0,0,1467.2,32.1070234113712,36.9230769230769,27.2909698996656,0,91.505016722408,44.6822742474916,0,22.742474916388,0,0,0,0,0,0,0,0,0,0,255.250836120401,28.87,15.3,32.48,0,21.16,17.96,0,19.82,0,0,0,0,0,0,0,0,0,0,135.59
"day 2","cam 1","rep5","infected",285.2,198.61,189.81,166.09,133.8,102.24,147.37,136.23,121.8,110.83,114.29,72.58,86.33,133.74,94.18,101.45,71.79,96.36,2362.7,7.22408026755853,20.066889632107,9.36454849498328,0,36.9230769230769,62.6086956521739,0,26.7558528428094,0,52.9765886287625,39.5986622073579,0,0,71.7056856187291,193.177257525084,0,0,149.297658862876,669.698996655518,18.74,19.42,5.44,0,23.24,15.22,0,10.4,0,23.51,20.86,0,0,33.08,31.18,0,0,25.6,226.69
"day 2","cam 2","rep6","infected",195.91,177.48,232.11,112.68,222.65,36.26,136.1,163.97,132.69,58.48,57.01,121.97,50.19,118.16,34.79,33.44,46.36,22.09,1952.34,56.9899665551839,30.5016722408027,37.7257525083612,0.802675585284281,30.7692307692308,38.7959866220736,62.0735785953177,77.3244147157191,229.832775919732,0,0,0,0,52.1739130434783,0,0,0,0,616.989966555184,19.38,38.44,51.68,1.85,34.85,8.85,25.64,45.37,41.75,0,0,0,0,16.65,0,0,0,0,284.46
"day 2","cam 2","rep6","infected",0,0,0,0,0,0,0,0,0,0,0,0,0,27.88,59.15,76.43,60.61,73.79,297.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87290969899666,149.565217391304,0,178.996655518395,330.434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,22.6,0,30.66,53.27
"day 2","cam 3","rep7","infected",96.59,100.94,143.91,154.19,106.43,121.05,137.38,105.98,84.12,114.95,123.58,89.51,112.01,53.51,33.83,92.52,52.43,0,1722.93,3.47826086956522,29.9665551839465,17.123745819398,1.33779264214047,7.49163879598662,0,22.2073578595318,0,0,0,0,0,0,0,0,0,0,0,81.6053511705686,4.4,22.79,14.57,1.67,4.79,0,12.43,0,0,0,0,0,0,0,0,0,0,0,60.65
"day 2","cam 3","rep7","infected",161.37,110.35,163.45,67.35,121.18,132.44,121.54,60.91,61.21,61.7,64.83,9.51,0,31.15,98.62,91.64,59.96,118.63,1535.84,0,0,20.3344481605351,0,0,19.5317725752508,19.2642140468227,0,0,0,0,0,0,0,64.4816053511706,323.745819397993,0,24.6153846153846,471.973244147157,0,0,13.21,0,0,13.11,9,0,0,0,0,0,0,0,26.63,55.58,0,10.14,127.67
"day 2","cam 4","rep8","infected",385.92,270.5,129.06,113.09,71,116.69,112.93,124.32,65.28,69.24,69.2,64.85,2.09,0,0,0,0,0,1594.17,5.35117056856187,147.157190635452,0,0,0,35.3177257525084,44.4147157190635,109.43143812709,0,0,0,0,0,0,0,0,0,0,341.672240802676,8,33.77,0,0,0,16.29,12.27,29.21,0,0,0,0,0,0,0,0,0,0,99.54
"day 2","cam 4","rep8","infected",239.66,17.39,13.13,13.03,101.58,133.1,125.92,172.82,107.98,72.01,78.69,146.63,136.26,148.73,64.9,73.15,93.55,80.69,1819.22,20.3344481605351,0,0,0,36.3879598662207,34.247491638796,33.4448160535117,44.9498327759197,69.5652173913043,0,113.444816053512,57.7926421404682,28.3612040133779,39.5986622073579,0,109.698996655518,16.0535117056856,0,603.879598662207,30.15,0,0,0,8.67,19.56,18.13,18.15,28.5,0,14.69,22.66,14.1,16.35,0,20.55,6,0,217.51
"day 3","cam 1","rep9","infected",127.45,122.58,54.02,56.74,70.03,58.88,127.64,121.94,116.5,104.72,95.08,110.73,81.01,81.43,99.2,NA,NA,NA,1427.95,26.4882943143813,43.3444816053512,0,0,5.61872909698997,0,118.528428093645,0.802675585284281,0,50.8361204013378,44.1471571906355,115.317725752508,0,0,20.3344481605351,NA,NA,NA,425.418060200669,13.03,14.71,0,0,1.1,0,43.16,0.31,0,13.34,11.65,22.78,0,0,7.25,NA,NA,NA,127.33
"day 3","cam 1","rep9","infected",224.97,188.43,155.04,88.42,71.9,96.14,149.71,99.48,97.97,136.74,159.77,91.64,108.87,87.16,112.2,NA,NA,NA,1868.44,118.528428093645,26.7558528428094,49.7658862876254,0,0.267558528428094,0,63.1438127090301,83.7458193979933,0,74.9163879598662,252.307692307692,42.5418060200669,65.819397993311,0,120.936454849498,NA,NA,NA,898.729096989967,42.03,7.29,13.97,0,0,0,13.95,29.95,0,26.2,72.84,1,15.63,0,31.36,NA,NA,NA,254.22
"day 3","cam 2","rep10","infected",225.02,267.13,167.98,158.93,150.71,124.94,103.17,111.32,89.59,83.24,81.63,85.43,82.86,86.98,67.87,NA,NA,NA,1886.8,13.1103678929766,36.6555183946488,0,0,26.7558528428094,14.7157190635452,0,33.4448160535117,0,49.7658862876254,0,52.1739130434783,0,0,40.4013377926421,NA,NA,NA,267.023411371238,6.35,24.5,0,0,10.05,8.06,0,10.38,0,12.16,0,16.69,0,0,8.15,NA,NA,NA,96.34
"day 3","cam 2","rep10","infected",132.45,99.4,104.38,86.84,100.19,73.92,85.32,87.98,94.92,86.67,54.16,48.23,102.98,58.81,50.95,NA,NA,NA,1267.2,0,0,0,13.9130434782609,24.6153846153846,0,0,68.7625418060201,40.6688963210702,0,0,0,12.3076923076923,8.2943143812709,25.4180602006689,NA,NA,NA,193.979933110368,0,0,0,9.62,12.23,0,0,14.43,4.68,0,0,0,2.85,1.48,4.15,NA,NA,NA,49.44
"day 3","cam 3","rep11","infected",104.95,107.73,108.32,106.71,104.57,95.58,86.51,81.84,69.07,77.86,105.55,78.56,113.16,78.04,82.93,NA,NA,NA,1401.38,0,0,0,18.7290969899666,0,0,0,0,0,0,82.6755852842809,0,50.0334448160535,0,0,NA,NA,NA,151.438127090301,0,0,0,9.09,0,0,0,0,0,0,14.41,0,12.78,0,0,NA,NA,NA,36.28
"day 3","cam 3","rep11","infected",108.33,98.4,92.24,88.8,77.49,82.74,95,68.43,73.26,72.6,78.38,97.98,75.58,75.4,86.26,NA,NA,NA,1270.89,0,33.4448160535117,0,0,0,23.2775919732441,45.752508361204,0,20.6020066889632,0,0,18.7290969899666,0,0,173.645484949833,NA,NA,NA,315.451505016722,0,9.48,0,0,0,5.57,11.09,0,5.48,0,0,4.21,0,0,38.37,NA,NA,NA,74.2
"day 3","cam 4","rep12","infected",92.3,181.09,128.84,114.17,146.6,176.37,75.95,139.08,99.26,55.14,102.79,89.81,116.98,148.08,138.73,NA,NA,NA,1805.19,22.2073578595318,12.8428093645485,4.0133779264214,7.22408026755853,16.0535117056856,62.6086956521739,0,96.8561872909699,0,0,0,0,0,5.61872909698997,64.7491638795987,NA,NA,NA,292.173913043478,18.55,9.3,2.39,3.84,10.65,36.5,0,26.28,0,0,0,0,0,2.95,17.98,NA,NA,NA,128.44
