"track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "day" "camera" "arena" "infection.status"
1 17766.3799356469 998 1214.2121867814 4.5 55.7 "day 1" "cam 1" "arena 1" "infected"
2 24418.2035712891 514 1791.91861089585 2.3 57.8 "day 1" "cam 1" "arena 1" "infected"
3 0 0 0 0 60.1 "day 1" "cam 1" "arena 1" "control"
4 28234.497738884 1620 6162.18615258267 7.2 52.9 "day 1" "cam 1" "arena 1" "control"
1 22632.4832562362 955 3030.46523797558 4.3 55.9 "day 1" "cam 2" "arena 2" "infected"
2 19174.710314407 95 441.54566184321 0.4 59.7 "day 1" "cam 2" "arena 2" "infected"
3 24350.5832838713 734 2320.51508457676 3.3 56.9 "day 1" "cam 2" "arena 2" "control"
4 24663.4385169295 1324 4182.08939221613 5.9 54.2 "day 1" "cam 2" "arena 2" "control"
1 19342.1048324125 309 1020.59963556074 1.4 58.8 "day 1" "cam 3" "arena 3" "infected"
2 13191.8696390109 0 0 0 60.1 "day 1" "cam 3" "arena 3" "infected"
3 0 0 0 0 60.1 "day 1" "cam 3" "arena 3" "control"
4 20800.2131012213 296 1129.07083211836 1.3 58.8 "day 1" "cam 3" "arena 3" "control"
1 885.969039616769 0 0 0 60.2 "day 1" "cam 4" "arena 4" "infected"
2 23433.6830190668 712 2202.4097772353 3.2 57 "day 1" "cam 4" "arena 4" "infected"
3 23510.2200823371 2627 6928.09035856282 11.7 48.4 "day 1" "cam 4" "arena 4" "control"
4 28227.1540517271 423 1729.81051986654 1.9 58.3 "day 1" "cam 4" "arena 4" "control"
1 7440.26166340987 85 749.10417859865 0.4 59.8 "day 2" "cam 1" "arena 5" "infected"
2 26673.5759063696 446 2069.98798204562 2 58.2 "day 2" "cam 1" "arena 5" "infected"
3 24273.4471034362 1004 2825.80617939531 4.5 55.7 "day 2" "cam 1" "arena 5" "control"
4 39937.6993093138 701 4532.34988686363 3.1 57 "day 2" "cam 1" "arena 5" "control"
1 25294.8147298177 1352 4189.51798602453 6 54.1 "day 2" "cam 2" "arena 6" "infected"
2 0 0 0 0 60.1 "day 2" "cam 2" "arena 6" "infected"
3 15166.8291344068 1307 2173.48857659432 5.8 54.3 "day 2" "cam 2" "arena 6" "control"
4 23834.6291429663 657 1976.36255100849 2.9 57.2 "day 2" "cam 2" "arena 6" "control"
1 24814.8669099855 83 469.87598240385 0.4 59.8 "day 2" "cam 3" "arena 7" "infected"
2 14233.2418025997 72 340.305704601909 0.3 59.8 "day 2" "cam 3" "arena 7" "infected"
3 30214.9279924037 662 2956.12384025096 3 57.2 "day 2" "cam 3" "arena 7" "control"
4 12875.6209105962 0 0 0 60.2 "day 2" "cam 3" "arena 7" "control"
1 19108.899525516 548 1511.39650699255 2.4 57.7 "day 2" "cam 4" "arena 8" "infected"
2 26867.319629818 1222 4035.43473823096 5.4 54.7 "day 2" "cam 4" "arena 8" "infected"
3 25710.2373875225 492 1820.02341902981 2.2 58 "day 2" "cam 4" "arena 8" "control"
4 15853.4027145255 3812 4292.35960082968 17 43.2 "day 2" "cam 4" "arena 8" "control"
1 25732.667531035 1232 3448.0564422653 5.5 54.7 "day 3" "cam 1" "arena 9" "infected"
2 27937.5504608039 1984 5666.07528639295 8.8 51.3 "day 3" "cam 1" "arena 9" "infected"
3 8132.30749261918 1096 1863.69614329728 4.9 55.3 "day 3" "cam 1" "arena 9" "control"
4 29942.4820186939 1759 4239.71955060931 7.8 52.3 "day 3" "cam 1" "arena 9" "control"
1 20958.8599818223 506 1482.59300589041 2.3 57.9 "day 3" "cam 2" "arena 10" "infected"
2 17316.8711648602 409 722.271721039589 1.8 58.3 "day 3" "cam 2" "arena 10" "infected"
3 19240.7041172523 1160 1724.8334106028 5.2 55 "day 3" "cam 2" "arena 10" "control"
4 16293.8764485159 170 371.344095719646 0.8 59.4 "day 3" "cam 2" "arena 10" "control"
1 18945.2434704899 309 544.625089221928 1.4 58.8 "day 3" "cam 3" "arena 11" "infected"
2 18381.3816851612 318 785.296249494659 1.4 58.7 "day 3" "cam 3" "arena 11" "infected"
3 8655.51947864428 386 1195.60136445321 1.7 58.4 "day 3" "cam 3" "arena 11" "control"
4 18278.5025748879 362 1665.13510936443 1.6 58.5 "day 3" "cam 3" "arena 11" "control"
1 21323.1436340773 362 993.09498633875 1.6 58.5 "day 3" "cam 4" "arena 12" "infected"
2 20186.6524437525 618 2030.901848647 2.8 57.4 "day 3" "cam 4" "arena 12" "infected"
3 22925.6260034853 522 1137.87674279969 2.3 57.8 "day 3" "cam 4" "arena 12" "control"
4 23768.6969179159 983 2560.15041275633 4.4 55.8 "day 3" "cam 4" "arena 12" "control"
1 19440.0677811973 3857 5340.32089262283 17.2 42.9 "day 4" "cam 1" "arena 13" "infected"
2 29811.3750682434 638 1743.46570702166 2.8 57.3 "day 4" "cam 1" "arena 13" "infected"
3 22370.5978918308 180 833.078676823013 0.8 59.3 "day 4" "cam 1" "arena 13" "control"
4 19003.7023456922 569 1677.7173371666 2.5 57.6 "day 4" "cam 1" "arena 13" "control"
1 17701.578688411 430 1243.66972976318 1.9 58.2 "day 4" "cam 2" "arena 14" "infected"
2 8201.1021980232 254 562.468798842589 1.1 59 "day 4" "cam 2" "arena 14" "infected"
3 6742.66430724696 143 481.21236961562 0.6 59.5 "day 4" "cam 2" "arena 14" "control"
4 25038.0243372383 28 174.306380851018 0.1 60 "day 4" "cam 2" "arena 14" "control"
1 17911.2473038029 87 415.703952126256 0.4 59.7 "day 4" "cam 3" "arena 15" "infected"
2 20875.8563931976 879 1652.88252516649 3.9 56.2 "day 4" "cam 3" "arena 15" "infected"
3 30127.6576843042 304 1576.61683268627 1.4 58.8 "day 4" "cam 3" "arena 15" "control"
4 33571.8123277348 776 3016.18307400754 3.5 56.7 "day 4" "cam 3" "arena 15" "control"
1 26878.5424660324 416 2476.528152223 1.9 58.3 "day 4" "cam 4" "arena 16" "infected"
