"day","camera","hour","arena","infection.status","track","total_distance_traveled_pixels","time_spent_in_open","distance_spent_in_open","minutes.moving","minutes.staying","tot.distance.cm","tot.distance.m","seconds.time.spent.in.open","open.distance.cm","open.speed.cmxmin"
"day 1","cam 1","hour 1","arena 1","infected",1,25347.5817780961,758,2543.55652661969,3.4,56.8,670.65,6.7065,202.809364548495,67.3,19.8
"day 1","cam 1","hour 1","arena 1","infected",2,34542.2228063117,1097,4706.85814757114,4.9,55.2,913.93,9.1393,293.511705685619,124.54,25.4
"day 1","cam 1","hour 1","arena 1","control",3,0,0,0,0,60.1,0,0,0,0,0
"day 1","cam 1","hour 1","arena 1","control",4,52928.5977592111,1077,7967.30472008144,4.8,55.3,1400.4,14.004,288.160535117057,210.8,43.9
"day 1","cam 2","hour 1","arena 2","infected",1,26767.9562171948,706,2060.58069235674,3.1,57,708.24,7.0824,188.896321070234,54.52,17.6
"day 1","cam 2","hour 1","arena 2","infected",2,19034.4599255587,129,925.723668794126,0.6,59.5,503.62,5.0362,34.5150501672241,24.49,40.8
"day 1","cam 2","hour 1","arena 2","control",3,38611.8286195938,553,3321.62224955528,2.5,57.7,1021.6,10.216,147.959866220736,87.88,35.2
"day 1","cam 2","hour 1","arena 2","control",4,22227.7088714734,165,794.348389091724,0.7,59.4,588.11,5.8811,44.1471571906355,21.02,30
"day 1","cam 3","hour 1","arena 3","infected",1,26835.1683477178,879,2389.61098237476,3.9,56.2,710.01,7.1001,235.183946488294,63.23,16.2
"day 1","cam 3","hour 1","arena 3","infected",2,27810.6797683353,751,2112.81312959983,3.3,56.8,735.82,7.3582,200.936454849498,55.9,16.9
"day 1","cam 3","hour 1","arena 3","control",3,24055.1799708206,117,695.268532743115,0.5,59.6,636.46,6.3646,31.304347826087,18.4,36.8
"day 1","cam 3","hour 1","arena 3","control",4,34839.0721115582,888,3899.41572143126,4,56.2,921.78,9.2178,237.591973244147,103.17,25.8
"day 1","cam 4","hour 1","arena 4","infected",1,22110.1297180197,227,1027.5622643667,1,59.1,585,5.85,60.7357859531773,27.19,27.2
"day 1","cam 4","hour 1","arena 4","infected",2,33827.2617433483,818,2964.58424079502,3.6,56.5,895.01,8.9501,218.862876254181,78.44,21.8
"day 1","cam 4","hour 1","arena 4","control",3,31996.5947742852,609,2069.55292643136,2.7,57.4,846.58,8.4658,162.943143812709,54.76,20.3
"day 1","cam 4","hour 1","arena 4","control",4,3257.91169356811,446,1167.88724994461,2,58.1,86.2,0.862,119.33110367893,30.9,15.4
"day 2","cam 1","hour 1","arena 5","infected",1,48007.9108495682,869,4375.41713853828,3.9,56.2,1270.21,12.7021,232.508361204013,115.77,29.7
"day 2","cam 1","hour 1","arena 5","infected",2,40677.0107330519,509,3101.68321436659,2.3,57.8,1076.25,10.7625,136.1872909699,82.07,35.7
"day 2","cam 1","hour 1","arena 5","control",3,40015.4151976815,497,3230.44347467658,2.2,57.9,1058.74,10.5874,132.976588628763,85.47,38.8
"day 2","cam 1","hour 1","arena 5","control",4,28076.3570008819,182,1379.7429503426,0.8,59.3,742.85,7.4285,48.695652173913,36.51,45.6
"day 2","cam 2","hour 1","arena 6","infected",1,37001.0276333442,759,5931.98539678999,3.4,56.7,978.99,9.7899,203.076923076923,156.95,46.2
"day 2","cam 2","hour 1","arena 6","infected",2,0,0,0,0,60.1,0,0,0,0,0
"day 2","cam 2","hour 1","arena 6","control",3,24700.1440807236,1612,4491.73217493437,7.2,52.9,653.52,6.5352,431.304347826087,118.84,16.5
"day 2","cam 2","hour 1","arena 6","control",4,39867.661639569,1091,4066.88795976164,4.9,55.2,1054.83,10.5483,291.90635451505,107.6,22
"day 2","cam 3","hour 1","arena 7","infected",1,27370.4803701192,222,1822.14820743995,1,59.1,724.18,7.2418,59.3979933110368,48.21,48.2
"day 2","cam 3","hour 1","arena 7","infected",2,28674.1525535662,149,994.902205900839,0.7,59.5,758.67,7.5867,39.866220735786,26.32,37.6
